Honourable	Honourable	j	Honourable	honourable	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
WHen	WHen	c-crq	WHen	when	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
people	people	n1	people	people	0
the	the	dt	the	the	0
Tables	Tables	n2	Tables	table	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
the	the	dt	the	the	0
second	second	ord	second	second	0
time	time	n1	time	time	0
,	,	,	,	,	0
he	he	pns31	he	he	0
commanded	commanded	vvd	commanded	command	0
the	the	dt	the	the	0
people	people	n1	people	people	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
foot	foot	n1	foot	foot	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
Aaron	Aaron	np1	Aaron	Aaron	0
,	,	,	,	,	0
Nadab	Nadab	np1	Nadab	Nadab	0
,	,	,	,	,	0
Exod.	Exod.	np1	Exod.	Exod.	1
24.2	24.2	crd	24.2	24.2	0
,	,	,	,	,	0
3	3	crd	3	3	0
,	,	,	,	,	0
and	and	cc	and	and	0
18.	18.	crd	18.	18.	0
and	and	cc	and	and	0
Abihu	Abihu	np1	Abihu	Abihu	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
seventy	seventy	crd	seventy	seventy	0
Elders	Elders	n2-jn	Elders	elder	0
of	of	pp-f	of	of	0
Jsrael	Jsrael	np1	Jsrael	Jsrael	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
worship	worship	vvi	worship	worship	0
a	a	dt	a	a	0
farre	farre	av-j	far	far	0
off	off	a-acp	off	off	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
middle	middle	n-jn	middle	middle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
Moses	Moses	np1	Moses	Moses	0
should	should	vmd	should	shall	0
ascend	ascend	vvi	ascend	ascend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
top	top	n1	top	top	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
&	&	cc	&	and	0
enter	enter	vvi	enter	enter	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
cloud	cloud	n1	cloud	cloud	0
;	;	;	;	;	0
These	These	d	These	these	0
three	three	crd	three	three	0
represented	represented	vvn	represented	represent	0
very	very	av	very	very	0
well	well	av	well	well	0
the	the	dt	the	the	0
three	three	crd	three	three	0
estates	estates	n2	estates	estate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
they	they	pns32	they	they	0
who	who	r-crq	who	who	0
stood	stood	vvd	stood	stand	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
foot	foot	n1	foot	foot	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
resembled	resembled	vvd	resembled	resemble	0
the	the	dt	the	the	0
Iewish	Iewish	jp	Jewish	jewish	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
Aaron	Aaron	np1	Aaron	Aaron	0
,	,	,	,	,	0
Nadab	Nadab	np1	Nadab	Nadab	0
,	,	,	,	,	0
and	and	cc	and	and	0
Abihu	Abihu	np1	Abihu	Abihu	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
seventy	seventy	crd	seventy	seventy	0
who	who	r-crq	who	who	0
ascended	ascended	vvd	ascended	ascend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
middle	middle	n-jn	middle	middle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
resembled	resembled	vvd	resembled	resemble	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
and	and	cc	and	and	0
Mo	Mo	zz	Mo	mo	0
∣	∣	sy	∣	∣	0
ses	ses	fw-fr	ses	ses	0
who	who	r-crq	who	who	0
ascended	ascended	vvn	ascended	ascend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
top	top	n1	top	top	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
and	and	cc	and	and	0
entred	entred	vvd	entered	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
cloud	cloud	n1	cloud	cloud	0
,	,	,	,	,	0
resembled	resembled	vvd	resembled	resemble	0
the	the	dt	the	the	0
glorified	glorified	vvn	glorified	glorify	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Fathers	Fathers	n2	Father's	father	0
say	say	vvb	say	say	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
three	three	crd	three	three	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Iewish	Iewish	jp	Jewish	jewish	0
Church	Church	n1	Church	church	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
extimis	extimis	fw-la	extimis	extimis	0
,	,	,	,	,	0
and	and	cc	and	and	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
atrijs	atrijs	fw-la	atrijs	atrijs	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
triumphant	triumphant	j	triumphant	triumphant	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
intimis	intimis	fw-la	intimis	intimis	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
Iewish	Iewish	jp	Jewish	jewish	0
Church	Church	n1	Church	church	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
utter	utter	j	utter	utter	0
court	court	n1	court	court	0
;	;	;	;	;	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
middle	middle	j-jn	middle	middle	0
court	court	n1	court	court	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
glorified	glorified	vvn	glorified	glorify	0
Church	Church	n1	Church	church	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
inner	inner	j	inner	inner	0
court	court	n1	court	court	0
.	.	.	.	.	1
Let	Let	vvb	Let	let	0
us	us	pno12	us	we	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
comparison	comparison	n1	comparison	comparison	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
Iewish	Iewish	jp	Jewish	jewish	0
Church	Church	n1	Church	church	0
standing	standing	vvg	standing	stand	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
foot	foot	n1	foot	foot	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Church	Church	n1	Church	church	0
which	which	r-crq	which	which	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
middle	middle	n-jn	middle	middle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mount	Mount	n1	Mount	mount	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
shal	shal	vmb	shall	shall	0
see	see	vvi	see	see	0
a	a	dt	a	a	0
great	great	j	great	great	0
difference	difference	n1	difference	difference	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
them	them	pno32	them	they	0
two	two	crd	two	two	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
compare	compare	vvi	compare	compare	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Priesthood	Priesthood	n1	Priesthood	priesthood	0
,	,	,	,	,	0
Melchizedeck	Melchizedeck	np1	Melchizedeck	Melchizedeck	0
and	and	cc	and	and	0
Aaron	Aaron	np1	Aaron	Aaron	0
.	.	.	.	.	1
Heb.	Heb.	np1	Heb.	Heb.	0
7.3	7.3	crd	7.3	7.3	0
.	.	.	.	.	1
Melchisedeck	Melchisedeck	np1	Melchisedeck	Melchisedeck	0
had	had	vhd	had	have	0
nei	nei	n1	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
beginnng	beginnng	j	beginnng	beginnng	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
borne	borne	vvn	born	bear	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pi	none	none	0
who	who	r-crq	who	who	0
lived	lived	vvd	lived	live	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
could	could	vmd	could	can	0
tell	tell	vvi	tell	tell	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
lived	lived	vvd	lived	live	0
five	five	crd	five	five	0
hundreth	hundreth	ord	hundreth	hundred	0
yeares	yeares	n2	years	year	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
seemed	seemed	vvd	seemed	seem	0
neither	neither	av-dx	neither	neither	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
beginning	beginning	n1	beginning	beginning	0
nor	nor	ccx	nor	nor	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
dayes	dayes	n2	days	day	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Priest	Priest	n1	Priest	priest	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
Aaron	Aaron	np1	Aaron	Aaron	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
hooved	hooved	vvd	hooved	hoove	0
to	to	p-acp	to	to	0
deduce	deduce	vvi	deduce	deduce	0
their	their	po32	their	their	0
genealogies	genealogies	n2	genealogies	genealogy	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
descended	descended	vvn	descended	descend	0
,	,	,	,	,	0
Nehem.	Nehem.	np1	Nehem.	Nehem.	1
7.64	7.64	crd	7.64	7.64	0
.	.	.	.	.	0
or	or	cc	or	or	0
else	else	av	else	else	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
secluded	secluded	vvn	secluded	seclude	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Priesthood	Priesthood	n1	Priesthood	priesthood	0
.	.	.	.	.	1
Eleaz.	Eleaz.	np1	Eleaz.	Eleazar	0
in	in	p-acp	in	in	0
Num.	Num.	np1	Num.	Num.	0
4.	4.	crd	4.	4.	1
Second	Second	np1	Second	Second	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
the	the	dt	the	the	0
Hebrewes	Hebrewes	njpg2	Hebrews	hebrew	0
say	say	n1	say	say	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
removed	removed	vvn	removed	remove	0
,	,	,	,	,	0
that	that	cst	that	that	0
Eleazar	Eleazar	np1	Eleazar	Eleazar	0
the	the	dt	the	the	0
Priest	Priest	n1	Priest	priest	0
carried	carried	vvd	carried	carry	0
the	the	dt	the	the	0
oyle	oyle	n1	oil	oil	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Lampes	Lampes	n2	Lamps	lamp	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
right	right	j-jn	right	right	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
Luc.	Luc.	np1	Luc.	Luc.	1
4.8	4.8	crd	4.8	4.8	0
.	.	.	.	.	0
and	and	cc	and	and	0
28.45	28.45	crd	28.45	28.45	0
.	.	.	.	.	0
and	and	cc	and	and	0
the	the	dt	the	the	0
anointing	anointing	vvg	anointing	anoint	0
oyle	oyle	n1	oil	oil	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
left	left	j	left	left	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
the	the	dt	the	the	0
in	in	n1	in	inn	0
