GENTLEMEN	GENTLEMEN	np1	GENTLEMEN	Gentlemen	0
,	,	,	,	,	0
WHEN	WHEN	c-crq	WHEN	when	0
I	I	pns11	I	i	0
Wrote	Wrote	vvd	Wrote	write	0
my	my	po11	my	my	0
Book	Book	n1	Book	book	0
of	of	pp-f	of	of	0
Fenc	Fenc	np1	Fenc	Fenc	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
,	,	,	,	,	0
Entituled	Entituled	vvd	Entitled	entitle	0
The	The	dt	The	the	0
SCOTS	SCOTS	np2	SCOTS	Scot	0
Fencing-Master	Fencing-Master	n1	Fencing-Master	fencing-master	0
,	,	,	,	,	0
I	I	pns11	I	i	0
designed	designed	vvd	designed	design	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
serve	serve	vvi	serve	serve	0
both	both	d	both	both	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
the	the	dt	the	the	0
Ig	Ig	n1	Ig	ig	0
∣	∣	sy	∣	∣	0
norant	norant	j	norant	norant	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
help	help	n1	help	help	0
to	to	p-acp	to	to	0
Art	Art	n1	Art	art	0
∣	∣	sy	∣	∣	0
ists	ists	fw-ge	ists	ists	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
the	the	dt	the	the	0
Ignorant	Ignorant	j	Ignorant	ignorant	0
by	by	p-acp	by	by	0
giving	giving	vvg	giving	give	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
true	true	j	true	true	0
and	and	cc	and	and	0
particular	particular	j	particular	particular	0
Description	Description	n1	Description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
common	common	j	common	common	0
Lessons	Lessons	n2	Lessons	lesson	0
taught	taught	vvn	taught	teach	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fencing	Fencing	j-vvg	Fencing	fence	0
Schools	Schools	n2	Schools	school	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
both	both	d	both	both	0
better	better	j	better	better	0
and	and	cc	and	and	0
sooner	sooner	av-c	sooner	soon	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lessons	Lessons	n2	Lessons	lesson	0
which	which	r-crq	which	which	0
their	their	po32	their	their	0
Masters	Masters	n2	Master's	master	0
were	were	vbdr	were	be	0
daily	daily	j	daily	daily	0
to	to	pc-acp	to	to	0
Descrive	Descrive	vvb	Describe	describe	0
and	and	cc	and	and	0
Teach	Teach	vvb	Teach	teach	0
them	them	pno32	them	they	0
