Worthy	Worthy	j	Worthy	worthy	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
unknown	unknown	j	unknown	unknown	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
appointment	appointment	n1	appointment	appointment	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Sea	Sea	n1	Sea	sea	0
Chirurgeon	Chirurgeon	n1	Chirurgeon	surgeon	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
not	not	xx	not	not	0
a	a	dt	a	a	0
few	few	d	few	few	0
years	years	n2	years	year	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
His	His	po31	His	his	0
Majesties	Majesties	n2	Majesties	majesty	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
vice	vice	n1	vice	vice	0
;	;	;	;	;	0
and	and	cc	and	and	0
now	now	av	now	now	0
I	I	pns11	I	i	0
find	find	vvb	find	find	0
my	my	po11	my	my	0
self	self	n1	self	self	0
in	in	p-acp	in	in	0
years	years	n2	years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
cannot	cannot	vmbx	cannot	can	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pect	pect	n1	pect	pect	0
to	to	p-acp	to	to	0
hold	hold	vvi	hold	hold	0
it	it	pn31	it	it	0
much	much	d	much	much	0
longer	longer	av-jc	longer	long	0
at	at	p-acp	at	at	0
Sea	Sea	n1	Sea	sea	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
turbulent	turbulent	j	turbulent	turbulent	0
Ele	Ele	n1	Ele	eye	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
requires	requires	vvz	requires	require	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Mans	Mans	ng1	men	man	0
Age	Age	n1	Age	age	0
in	in	p-acp	in	in	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
Capacity	Capacity	n1	Capacity	capacity	0
he	he	pns31	he	he	0
comes	comes	vvz	comes	come	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
before	before	p-acp	before	before	0
my	my	po11	my	my	0
Exit	Exit	n1	Exit	exit	0
I	I	pns11	I	i	0
resolved	resolved	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
this	this	d	this	this	0
Abstract	Abstract	n-jn	Abstract	abstract	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
what	what	r-crq	what	what	0
Skill	Skill	n1	Skill	skill	0
and	and	cc	and	and	0
Experience	Experience	n1	Experience	experience	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
attained	attained	vvn	attained	attain	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Calling	Calling	vvg	Calling	call	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
Sons	Sons	n2	Sons	son	0
of	of	pp-f	of	of	0
Es	Es	fw-ge	Es	es	0
∣	∣	sy	∣	∣	0
culapius	culapius	fw-la	culapius	culapius	0
,	,	,	,	,	0
and	and	cc	and	and	0
either	either	d	either	either	0
are	are	vbr	are	be	0
,	,	,	,	,	0
or	or	cc	or	or	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
Sea-Chirurgeons	Sea-Chirurgeons	n2	Sea-Chirurgeons	sea-chirurgeon	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
whose	whose	rg-crq	whose	who	0
younger	younger	jc	younger	young	0
years	years	n2	years	year	0
,	,	,	,	,	0
or	or	cc	or	or	0
non	non	fw-la	non	non	0
opportunities	opportunities	n2	opportunities	opportunity	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
permitted	permitted	vvn	permitted	permit	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
aim	aim	vvi	aim	aim	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
degree	degree	n1	degree	degree	0
of	of	pp-f	of	of	0
Experience	Experience	n1	Experience	experience	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
requisite	requisite	j	requisite	requisite	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
are	are	vbr	are	be	0
either	either	d	either	either	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
together	together	av	together	together	0
unacquainted	unacquainted	j	unacquainted	unacquainted	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
Practice	Practice	n1	Practice	practice	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
waies	waies	n2	ways	way	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
been	been	vbn	been	be	0
in	in	p-acp	in	in	0
In	In	p-acp	In	in	0
∣	∣	sy	∣	∣	0
gagements	gagements	n2	gagements	gagement	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
need	need	vvb	need	need	0
In	In	p-acp	In	in	0
∣	∣	sy	∣	∣	0
struction	struction	n1	struction	struction	0
.	.	.	.	.	1
I	I	pns11	I	i	0
undertake	undertake	vvb	undertake	undertake	0
this	this	d	this	this	0
,	,	,	,	,	0
not	not	xx	not	not	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
better	better	av-jc	better	better	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
self	self	n1	self	self	0
than	than	cs	than	than	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
Sea-Chirurgeons	Sea-Chirurgeons	n2	Sea-Chirurgeons	sea-chirurgeon	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
some	some	d	some	some	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
my	my	po11	my	my	0
Con	Con	vvi	Con	con	0
∣	∣	sy	∣	∣	0
temporaries	temporaries	n2-jn	temporaries	temporary	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Wars	Wars	n2	Wars	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
I	I	pns11	I	i	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
steem	steem	zz	steem	steem	0
as	as	p-acp	as	as	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
better	better	jc	better	better	0
than	than	cs	than	than	0
my	my	po11	my	my	0
own	own	d	own	own	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
I	I	pns11	I	i	0
undertake	undertake	vvb	undertake	undertake	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
this	this	d	this	this	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
others	others	n2-jn	others	other	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
:	:	:	:	:	0
And	And	cc	And	and	0
indeed	indeed	av	indeed	indeed	0
being	being	vbg	being	be	0
at	at	p-acp	at	at	0
present	present	j	present	present	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Imploy	Imploy	vvb	Employ	employ	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
more	more	dc	more	more	0
leisure	leisure	n1	leisure	leisure	0
time	time	n1	time	time	0
than	than	cs	than	than	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
or	or	cc	or	or	0
then	then	av	then	then	0
my	my	po11	my	my	0
self	self	n1	self	self	0
desires	desires	vvz	desires	desire	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
remedy	remedy	vvi	remedy	remedy	0
it	it	pn31	it	it	0
:	:	:	:	:	0
However	However	c-acp	However	however	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
juncture	juncture	n1	juncture	juncture	0
it	it	pn31	it	it	0
falls	falls	vvz	falls	fall	0
out	out	av	out	out	0
opportunely	opportunely	av-j	opportunely	opportune	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
reasons	reasons	n2	reasons	reason	0
urging	urging	vvg	urging	urge	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
my	my	po11	my	my	0
Imployments	Imployments	n2	Employments	employment	0
from	from	p-acp	from	from	0
Your	Your	po22	Your	your	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
Compa	Compa	np1	Compa	Compa	0
∣	∣	sy	∣	∣	0
ny	ny	fw-fr	ny	ny	0
,	,	,	,	,	0
so	so	av	so	so	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
unto	unto	p-acp	unto	unto	0
