❧	❧	sy	❧	❧	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
gracyous	gracyous	j	gracious	gracious	0
Quene	Quene	n1	Queen	queen	0
ANNE	ANNE	np1	ANNE	ANNE	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
wyfe	wyfe	n1	wife	wife	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
drade	drade	vvb	drade	dread	0
soueraygne	soueraygne	j-jn	sovereign	sovereign	0
lorde	lorde	n1	lord	lord	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
the	the	dt	the	the	0
eyght	eyght	crd	eyght	eight	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
Fraūce	Fraūce	np1	Fraūce	Fraūce	0
kynge	kynge	n1	king	king	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faythe	faythe	n1	faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
lorde	lorde	n1	lord	lord	0
of	of	pp-f	of	of	0
Irelande	Irelande	np1	Irelande	Ireland	0
,	,	,	,	,	0
and	and	cc	and	and	0
vnder	vnder	p-acp	under	under	0
god	god	n1	god	god	0
,	,	,	,	,	0
next	next	ord	next	next	0
,	,	,	,	,	0
chefe	chefe	j-jn	chief	chief	0
,	,	,	,	,	0
and	and	cc	and	and	0
supreme	supreme	j	supreme	supreme	0
heade	heade	n1	head	head	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
churche	churche	n1	church	church	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
bondē	bondē	j	bonden	bonden	0
ora	ora	n1	oram	oram	0
¦	¦	sy	¦	¦	0
tour	tour	fw-fr	tour	tour	0
Trystram	Trystram	np1	Trystram	Trystram	0
Reuel	Reuel	vvb	Revel	revel	0
wys	wys	vvb	wys	wis	0
∣	∣	sy	∣	∣	0
shethe	shethe	vvb	shethe	shethe	0
helthe	helthe	n1	health	health	0
.	.	.	.	.	1
GRace	GRace	n1	GRace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
the	the	dt	the	the	0
father	father	n1	father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
lorde	lorde	n1	lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Chryste	Chryste	np1	Chryste	Christ	0
,	,	,	,	,	0
be	be	vbb	be	be	0
