To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
Noble	Noble	j	Noble	noble	0
Lord	Lord	n1	Lord	lord	0
John	John	np1	John	John	0
Lord	Lord	n1	Lord	lord	0
Roos	Roos	np1	Roos	Roos	0
,	,	,	,	,	0
the	the	dt	the	the	0
only	only	j	only	only	0
Son	Son	n1	Son	son	0
and	and	cc	and	and	0
Heir	Heir	n1	Heir	heir	0
;	;	;	;	;	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Noble	Noble	j	Noble	noble	0
young	young	j	young	young	0
Ladies	Ladies	n2	Ladies	lady	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lady	Lady	n1	Lady	lady	0
Dorothy	Dorothy	np1	Dorothy	Dorothy	0
,	,	,	,	,	0
Lady	Lady	n1	Lady	lady	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
Lady	Lady	n1	Lady	lady	0
Anne	Anne	np1	Anne	Anne	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lady	Lady	n1	Lady	lady	0
Mary	Mary	vvi	Marry	marry	0
Mannors	Mannors	n2	Manors	manor	0
,	,	,	,	,	0
the	the	dt	the	the	0
eminently	eminently	av-j	eminently	eminent	0
virtuous	virtuous	j	virtuous	virtuous	0
Daugh	Daugh	wd	Daugh	daugh	0
∣	∣	sy	∣	∣	0
ters	ters	ng2-jc	ters	ters	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
Noble	Noble	j	Noble	noble	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
John	John	np1	John	John	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Rutland	Rutland	np1	Rutland	Rutland	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Right	Right	j-jn	Right	right	0
Noble	Noble	j	Noble	noble	0
Lady	Lady	n1	Lady	lady	0
the	the	dt	the	the	0
Lady	Lady	n1	Lady	lady	0
Frances	Frances	np1	Frances	Frances	0
,	,	,	,	,	0
the	the	dt	the	the	0
worthily	worthily	av-j	worthily	worthy	0
honoured	honoured	vvn	honoured	honour	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
tesse	tesse	n1	tesse	tesse	0
of	of	pp-f	of	of	0
Rutland	Rutland	np1	Rutland	Rutland	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
most	most	av-ds	most	most	0
free	free	j	free	free	0
and	and	cc	and	and	0
noble	noble	j	noble	noble	0
Patron	Patron	n1	Patron	patron	0
and	and	cc	and	and	0
Patronesse	Patronesse	n1	Patroness	patroness	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
honourable	honourable	j	honourable	honourable	0
Family	Family	n1	Family	family	0
and	and	cc	and	and	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
lations	lations	n2	lations	lation	0
:	:	:	:	:	0
All	All	d	All	all	0
health	health	n1	health	health	0
and	and	cc	and	and	0
happiness	happiness	n1	happiness	happiness	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
true	true	j	true	true	0
content	content	n1	content	content	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Noble	Noble	j	Noble	noble	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
sterity	sterity	n1	sterity	sterity	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
eternal	eternal	j	eternal	eternal	0
glory	glory	n1	glory	glory	0
and	and	cc	and	and	0
blessedness	blessedness	n1	blessedness	blessedness	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
life	life	n1	life	life	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
:	:	:	:	:	1
