To	To	p-acp	To	to	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
Honourable	Honourable	j	Honourable	honourable	0
JAMES	JAMES	np1	JAMES	James	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Mar	Mar	vvi	Mar	mar	0
∣	∣	sy	∣	∣	0
quess	quess	n1	quess	quess	0
,	,	,	,	,	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ossory	Ossory	np1	Ossory	Ossory	0
,	,	,	,	,	0
Brecknock	Brecknock	np1	Brecknock	Brecknock	0
,	,	,	,	,	0
Viscount	Viscount	np1	Viscount	Viscount	0
Thurles	Thurles	vvz	Thurles	thurle	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Baron	Baron	n1	Baron	baron	0
of	of	pp-f	of	of	0
Arklow	Arklow	np1	Arklow	Arklow	0
and	and	cc	and	and	0
Lanthony	Lanthony	np1	Lanthony	Lanthony	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regalities	Regalities	n2	Regalities	regality	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Tipperary	Tipperary	np1	Tipperary	Tipperary	0
,	,	,	,	,	0
Chan	Chan	np1	Chan	Chan	0
∣	∣	sy	∣	∣	0
cellor	cellor	n1	cellor	cellor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Vniversity	Vniversity	n1	University	university	0
of	of	pp-f	of	of	0
Dublin	Dublin	np1	Dublin	Dublin	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieute	Lieute	vvn	Lieute	lieute	0
∣	∣	sy	∣	∣	0
nant	nant	n1	nant	nant	0
General	General	n1	General	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
General	General	j	General	general	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesties	jesties	ng1	jesties	jesties	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Somerset	Somerset	np1	Somerset	Somerset	0
,	,	,	,	,	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
of	of	pp-f	of	of	0
Bath	Bath	n1	Bath	bath	0
and	and	cc	and	and	0
Wells	Wells	np1	Wells	Wells	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Most	Most	av-ds	Most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Councils	Councils	n2	Councils	council	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scot	Scot	np1	Scot	Scot	0
∣	∣	sy	∣	∣	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesties	jesties	ng1	jesties	jesties	0
Houshold	Houshold	n1	Household	household	0
,	,	,	,	,	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Bed-Chamber	Bed-Chamber	n1	Bed-Chamber	bedchamber	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
his	his	po31	his	his	0
Grace	Grace	n1	Grace	grace	0
.	.	.	.	.	1
