READER	READER	n1	READER	reader	0
,	,	,	,	,	0
TRuth	TRuth	n1	TRuth	truth	0
never	never	av-x	never	never	0
had	had	vhd	had	have	0
that	that	d	that	that	0
advantage	advantage	n1	advantage	advantage	0
nor	nor	ccx	nor	nor	0
countenance	countenance	n1	countenance	countenance	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	cs	though	though	0
wise	wise	j	wise	wise	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
generation	generation	n1	generation	generation	0
)	)	)	)	)	0
(	(	(	(	(	0
since	since	c-acp	since	since	0
sin	sin	n1	since	sin	0
entered	entered	vvd	entered	enter	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
powers	powers	n2	powers	power	0
and	and	cc	and	and	0
Potentates	Potentates	n2	Potentates	potentate	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
alwaies	alwaies	av	always	always	0
hated	hated	vvd	hated	hate	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
bore	bore	vvd	boar	bear	0
witness	witness	n1	witness	witness	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
deeds	deeds	n2	deeds	deed	0
and	and	cc	and	and	0
works	works	n2	works	work	0
thereof	thereof	av	thereof	thereof	0
