IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
truelie	truelie	av-j	truly	true	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
Lactantius	Lactantius	np1	Lactantius	Lactantius	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
that	that	cst	that	that	0
God	God	np1	God	God	0
made	made	vvd	made	make	0
man	man	n1	man	man	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
causes	causes	n2	causes	cause	0
:	:	:	:	:	0
the	the	dt	the	the	0
one	one	pi	one	one	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
acknow	acknow	vvi	acknow	acknow	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
and	and	cc	and	and	0
confesse	confesse	vvi	confess	confess	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
and	and	cc	and	and	0
immor	immor	fw-la	immor	immor	0
∣	∣	sy	∣	∣	0
tall	tall	j	tall	tall	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
honour	honour	vvi	honour	honour	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
holinesse	holinesse	n1	holiness	holiness	0
and	and	cc	and	and	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
.	.	.	.	.	1
The	The	dt	The	the	0
other	other	n-jn	other	other	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
mans	mans	ng1	men	man	0
owne	owne	d	own	own	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
that	that	cst	that	that	0
ech	ech	d	each	each	0
one	one	crd	one	one	0
should	should	vmd	should	shall	0
loue	loue	vvi	love	love	0
and	and	cc	and	and	0
