WHEN	WHEN	c-crq	WHEN	when	0
I	I	pns11	I	i	0
weye	weye	vvi	weye	weigh	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
&	&	cc	&	and	0
diligently	diligently	av-j	diligently	diligent	0
examine	examine	vvi	examine	examine	0
the	the	dt	the	the	0
similitude	similitude	n1	similitude	similitude	0
in	in	p-acp	in	in	0
S.	S.	n1	S.	saint	0
Paul	Paul	np1	Paul	Paul	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
compareth	compareth	vvz	compareth	compare	0
the	the	dt	the	the	0
Churche	Churche	n1	Church	church	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
naturall	naturall	j	natural	natural	0
bo	bo	zz	bo	bo	0
∣	∣	sy	∣	∣	0
dy	dy	zz	dy	dy	0
(	(	(	(	(	0
moste	moste	av-ds	most	most	0
honorable	honorable	j	honourable	honourable	0
Lorde	Lorde	n1	Lord	lord	0
)	)	)	)	)	0
I	I	pns11	I	i	0
fynde	fynde	vvi	find	find	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
iustely	iustely	av-j	justly	just	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
membre	membre	n1	member	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
imploy	imploy	vvi	employ	employ	0
his	his	po31	his	his	0
studies	studies	n2	studies	study	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
ende	ende	n1	end	end	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
likewise	likewise	av	likewise	likewise	0
conferre	conferre	vvi	confer	confer	0
some	some	d	some	some	0
thing	thing	n1	thing	thing	0
therunto	therunto	av	thereunto	thereunto	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
vocatiō	vocatiō	n1	vocation	vocation	0
and	and	cc	and	and	0
calling	calling	n1	calling	calling	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
naturall	naturall	j	natural	natural	0
body	body	n1	body	body	0
euery	euery	d	every	every	0
mem	mem	n1	man	man	0
∣	∣	sy	∣	∣	0
bre	bre	vvn	bre	breed	0
helpeth	helpeth	vvz	helpeth	help	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
we	we	pns12	we	we	0
se	se	vvb	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
naturall	naturall	j	natural	natural	0
body	body	n1	body	body	0
suche	suche	d	such	such	0
an	an	dt	and	a	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
and	and	cc	and	and	0
desyre	desyre	vvi	desire	desire	0
of	of	pp-f	of	of	0
euerye	euerye	d	every	every	0
mem	mem	n1	man	man	0
∣	∣	sy	∣	∣	0
bre	bre	vvn	bre	breed	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
and	and	cc	and	and	0
maynteyne	maynteyne	vvi	maintain	maintain	0
thother	thother	n-jn	tother	other	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
senses	senses	n2	senses	sense	0
be	be	vbb	be	be	0
redye	redye	j	ready	ready	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
their	their	po32	their	their	0
part	part	n1	part	part	0
and	and	cc	and	and	0
office	office	n1	office	office	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
,	,	,	,	,	0
the	the	dt	the	the	0
eare	eare	n1	ear	ear	0
to	to	p-acp	to	to	0
here	here	av	here	here	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
likewyse	likewyse	av	likewise	likewise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
teste	teste	fw-la	teste	testae	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
senses	senses	n2	senses	sense	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
all	all	d	all	all	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bodye	bodye	n1	body	body	0
do	do	vdb	do	do	0
soo	soo	av	so	so	0
muche	muche	av-d	much	much	0
care	care	vvi	care	care	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shunne	shunne	vvb	shun	shun	0
no	no	dx	no	no	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
thoughe	thoughe	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
so	so	av	so	so	0
great	great	j	great	great	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
and	and	cc	and	and	0
succour	succour	vvi	succour	succour	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
If	If	cs	If	if	0
any	any	d	any	any	0
man	man	n1	man	man	0
than	than	cs	than	than	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
bea	bea	fw-mi	bea	bea	0
∣	∣	sy	∣	∣	0
reth	reth	vvz	reth	r	0
