YOur	YOur	po22	YOur	your	0
Royal	Royal	j	Royal	royal	0
Highness	Highness	n1	Highness	highness	0
having	having	vhg	having	have	0
been	been	vbn	been	be	0
graciously	graciously	av-j	graciously	gracious	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
constitute	constitute	vvi	constitute	constitute	0
me	me	pno11	me	i	0
Judge	Judge	vvi	Judge	judge	0
or	or	cc	or	or	0
President	President	n1	President	precedent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
High	High	j	High	high	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
Admiralty	Admiralty	n1	Admiralty	admiralty	0
,	,	,	,	,	0
I	I	pns11	I	i	0
held	held	vvd	held	hold	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
poor	poor	j	poor	poor	0
ability	ability	n1	ability	ability	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
assert	assert	vvb	assert	assert	0
the	the	dt	the	the	0
just	just	j	just	just	0
Jurisdiction	Jurisdiction	n1	Jurisdiction	jurisdiction	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
those	those	d	those	those	0
undue	undue	j	undue	undue	0
encroachments	encroachments	n2	encroachments	encroachment	0
and	and	cc	and	and	0
usurpations	usurpations	n2	usurpations	usurpation	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
High	High	j	High	high	0
Admiral	Admiral	n1	Admiral	admiral	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
heretofore	heretofore	av	heretofore	heretofore	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
straightned	straightned	vvn	straightened	straighten	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
decision	decision	n1	decision	decision	0
of	of	pp-f	of	of	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
relating	relating	vvg	relating	relate	0
to	to	p-acp	to	to	0
Maritime	Maritime	j	Maritime	maritime	0
affairs	affairs	n2	affairs	affair	0
;	;	;	;	;	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
having	having	vhg	having	have	0
some	some	d	some	some	0
time	time	n1	time	time	0
since	since	c-acp	since	since	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
sad	sad	j	sad	sad	0
and	and	cc	and	and	0
distracted	distracted	j-vvn	distracted	distract	0
times	times	n2	times	time	0
,	,	,	,	,	0
bestowed	bestowed	vvd	bestowed	bestow	0
some	some	d	some	some	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
searching	searching	vvg	searching	search	0
and	and	cc	and	and	0
perusing	perusing	vvg	perusing	peruse	0
such	such	d	such	such	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Records	Records	n2	Records	record	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
own	own	d	own	own	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
For	For	c-acp	For	for	0
∣	∣	sy	∣	∣	0
reign	reign	n1	reign	reign	0
Nations	Nations	np1	Nations	Nations	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
just	just	j	just	just	0
extent	extent	n1	extent	extent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Admirals	Admirals	ng1	Admirals	admiral	0
Jurisdiction	Jurisdiction	n1	Jurisdiction	jurisdiction	0
is	is	vbz	is	be	0
suf	suf	n1	suf	suf	0
∣	∣	sy	∣	∣	0
ficiently	ficiently	av-j	ficiently	ficient	0
and	and	cc	and	and	0
undeniably	undeniably	av-j	undeniably	undeniable	0
evidenced	evidenced	vvn	evidenced	evidence	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
deciding	deciding	vvg	deciding	decide	0
all	all	d	all	all	0
controversies	controversies	n2	controversies	controversy	0
about	about	p-acp	about	about	0
Maritime	Maritime	j	Maritime	maritime	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
