MAny	MAny	av-d	MAny	many	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
the	the	dt	the	the	0
wel-willers	wel-willers	n2	wellwillers	wellwiller	0
and	and	cc	and	and	0
furtherers	furtherers	n2	furtherers	furtherer	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Grammar-schoole	Grammar-schoole	n1	Grammar-school	grammar-school	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
few	few	d	few	few	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
then	then	cs	then	than	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worthy	worthy	j	worthy	worthy	0
and	and	cc	and	and	0
louing	louing	j-vvg	loving	love	0
fathers	fathers	n2	father's	father	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Iohnson	Iohnson	np1	Iohnson	Johnson	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Chadeton	Chadeton	np1	Chadeton	Chadeton	0
;	;	;	;	;	0
both	both	d	both	both	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
direction	direction	n1	direction	direction	0
and	and	cc	and	and	0
incou	incou	fw-fr	incou	incou	0
∣	∣	sy	∣	∣	0
ragement	ragement	n1	ragement	ragement	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
giuen	giuen	vvn	given	give	0
me	me	pno11	me	i	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
Ha	Ha	uh	Would	ha	0
∣	∣	sy	∣	∣	0
uing	uing	zz	uing	uing	0
therfore	therfore	av	therefore	therefore	0
bthought	bthought	vvn	bthought	bthought	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Questions	Questions	n2	Questions	question	0
of	of	pp-f	of	of	0
Grammar	Grammar	n1	Grammar	grammar	0
(	(	(	(	(	0
hich	hich	j	hich	hich	0
re	re	zz	re	re	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
all	all	d	all	all	0
difficulties	difficulties	n2	difficulties	difficulty	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Accidence	Accidence	n1	Accidence	accidence	0
and	and	cc	and	and	0
Gram	Gram	np1	Gram	Gram	0
∣	∣	sy	∣	∣	0
mar	mar	vvi	mar	mar	0
most	most	av-ds	most	most	0
plaine	plaine	j	plain	plain	0
and	and	cc	and	and	0
easie	easie	j	easy	easy	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
containe	containe	n1	contain	contain	0
the	the	dt	the	the	0
very	very	j	very	very	0
ground	ground	n1	ground	ground	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
)	)	)	)	)	0
might	might	vmd	might	may	0
most	most	av-ds	most	most	0
fitly	fitly	av-j	fitly	fit	0
appertaine	appertaine	vvi	appertain	appertain	0
;	;	;	;	;	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
none	none	pix	none	none	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
those	those	d	those	those	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
dedcated	dedcated	vvn	dedcated	dedcate	0
my	my	po11	my	my	0
former	former	j	former	former	0
School-labours	School-labours	n2	School-labours	school-labour	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
these	these	d	these	these	0
doe	doe	n1	doe	doe	0
more	more	av-dc	more	more	0
of	of	pp-f	of	of	0
duty	duty	n1	duty	duty	0
belong	belong	vvb	belong	belong	0
then	then	av	then	then	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
part	part	n1	part	part	0
repay	repay	vvi	repay	repay	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
vnto	vnto	p-acp	unto	unto	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
debt	debt	n1	debt	debt	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
vnto	vnto	p-acp	unto	unto	0
themselues	themselues	px32	themselves	themselves	0
.	.	.	.	.	1
And	And	cc	And	and	0
first	first	ord	first	first	0
for	for	p-acp	for	for	0
M.	M.	n1	M.	m.	0
Iohnson	Iohnson	np1	Iohnson	Johnson	0
your	your	po22	your	your	0
father	father	n1	father	father	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
yeelded	yeelded	vvn	yielded	yield	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
help	help	n1	help	help	0
(	(	(	(	(	0
next	next	ord	next	next	0
vnto	vnto	p-acp	unto	unto	0
my	my	po11	my	my	0
Honou	Honou	np1	Honou	Honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
laying	laying	vvg	laying	lay	0
the	the	dt	the	the	0
foundation	foundation	n1	foundation	foundation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
my	my	po11	my	my	0
School	School	n1	School	school	0
trauels	trauels	vvz	travels	travel	0
;	;	;	;	;	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
setting	setting	vvg	setting	set	0
me	me	pno11	me	i	0
more	more	av-dc	more	more	0
earnestly	earnestly	av-j	earnestly	earnest	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
graue	graue	j	graven	grave	0
aduise	aduise	n1	advise	advice	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
supporting	supporting	vvg	supporting	support	0
me	me	pno11	me	i	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
bounty	bounty	n1	bounty	bounty	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
able	able	j	able	able	0
the	the	dt	the	the	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	p-acp	to	to	0
goe	goe	vvi	go	go	0
through	through	p-acp	through	through	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Worke	Worke	n1	Work	work	0
.	.	.	.	.	1
Moreouer	Moreouer	av	Moreover	moreover	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
(	(	(	(	(	0
besides	besides	p-acp	beside	beside	0
his	his	po31	his	his	0
singular	singular	j	singular	singular	0
indeuours	indeuours	n2	endeavours	endeavour	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
furtherance	furtherance	n1	furtherance	furtherance	0
and	and	cc	and	and	0
aduancement	aduancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
good	good	j	good	good	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
Vniuersity	Vniuersity	n1	University	university	0
,	,	,	,	,	0
Citty	Citty	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cou	Cou	np1	Cou	Cou	0
∣	∣	sy	∣	∣	0
trey	trey	n1	trey	trey	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
giuen	giuen	vvn	given	give	0
so	so	av	so	so	0
good	good	j	good	good	0
testimonie	testimonie	n1	testimony	testimony	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
knowen	knowen	vvn	known	know	0
none	none	pix	none	none	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
come	come	vvn	come	come	0
neere	neere	av-j	near	near	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
great	great	j	great	great	0
care	care	n1	care	care	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
best	best	js	best	best	0
▪	▪	▪	▪	▪	0
speedi	speedi	n1	speedi	speedi	0
∣	∣	sy	∣	∣	0
est	est	fw-fr	est	est	0
surest	surest	js	surest	sure	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
easie	easie	j	easy	easy	0
waies	waies	n2	ways	way	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
out	out	av	out	out	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
Schools	Schools	n2	Schools	school	0
,	,	,	,	,	0
