THERE	THERE	pc-acp	THERE	there	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Time	Time	n1	Time	time	0
when	when	c-crq	when	when	0
Truth	Truth	n1	Truth	truth	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
Believ'd	Believ'd	vvd	Believed	believe	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Witnesses	Witnesses	n2	Witnesses	witness	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
Iustify'd	Iustify'd	vvd	Justified	justify	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
World	World	n1	World	world	0
never	never	av-x	never	never	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
mending	mending	j-vvg	mending	mend	0
Hand	Hand	n1	Hand	hand	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
perhaps	perhaps	av	perhaps	perhaps	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
Matter	Matter	n1	Matter	matter	0
of	of	pp-f	of	of	0
Course	Course	n1	Course	course	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Reason	Reason	n1	Reason	reason	0
and	and	cc	and	and	0
Flux	Flux	n1	Flux	flux	0
of	of	pp-f	of	of	0
Humane	Humane	j	Humane	humane	0
Af	Af	pp-f	Of	of	0
∣	∣	sy	∣	∣	0
fairs	fairs	n2	fairs	fair	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Next	Next	ord	Next	next	0
Age	Age	n1	Age	age	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
That	That	d	That	that	0
Right	Right	n-jn	Right	right	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Former	Former	j	Former	former	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Former	Former	j	Former	former	0
could	could	vmd	could	can	0
Not	Not	xx	Not	not	0
do	do	vdi	do	do	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
.	.	.	.	.	1
'Tis	'Tis	pn31|vbz	It's	it|be	0
a	a	dt	a	a	0
Rare	Rare	j	Rare	rare	0
Felicity	Felicity	n1	Felicity	felicity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Times	Times	n2	Times	time	0
(	(	(	(	(	0
says	says	vvz	says	say	0
Ta	Ta	uh	Ta	ta	0
∣	∣	sy	∣	∣	0
citus	citus	fw-la	citus	citus	0
)	)	)	)	)	0
when	when	q-crq	when	when	0
the	the	dt	the	the	0
Present	Present	j	Present	present	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
Things	Things	n2	Things	thing	0
will	will	vmb	will	will	0
bear	bear	vvi	bear	bear	0
a	a	dt	a	a	0
True	True	j	True	true	0
History	History	n1	History	history	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
so	so	av	so	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
however	however	a-acp	however	however	0
,	,	,	,	,	0
that	that	cst	that	that	0
One	One	pi	One	one	0
Generation	Generation	n1	Generation	generation	0
finds	finds	vvz	finds	find	0
