MANY	MANY	av-d	MANY	many	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sings	sings	vvz	sings	sing	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
Almightie	Almightie	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
bestowe	bestowe	vvi	bestow	bestow	0
vpon	vpon	p-acp	upon	upon	0
this	this	d	this	this	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Ministery	Ministery	n1	Ministry	ministry	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
chosen	chosen	j-vvn	chosen	choose	0
ser	ser	n1	sir	sir	0
∣	∣	sy	∣	∣	0
vant	vant	n1	vant	vaunt	0
our	our	po12	our	our	0
late	late	j	late	late	0
Soveraigne	Soveraigne	n-jn	Sovereign	sovereign	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
thē	thē	pno32	them	they	0
were	were	vbdr	were	be	0
comparable	comparable	j	comparable	comparable	0
vnto	vnto	p-acp	unto	unto	0
these	these	d	these	these	0
,	,	,	,	,	0
the	the	dt	the	the	0
Purity	Purity	n1	Purity	purity	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
perpetually	perpetually	av-j	perpetually	perpetual	0
supported	supported	vvn	supported	support	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Vniforme	Vniforme	j	Uniform	uniform	0
most	most	av-ds	most	most	0
ancient	ancient	j	ancient	ancient	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
commendable	commendable	j	commendable	commendable	0
Church	Church	n1	Church	church	0
government	government	n1	government	government	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
plenty	plenty	n1	plenty	plenty	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
learning	learning	n1	learning	learning	0
,	,	,	,	,	0
abundantly	abundantly	av-j	abundantly	abundant	0
de	de	dt	the	the	0
∣	∣	sy	∣	∣	0
rived	rived	vvn	rived	rive	0
from	from	p-acp	from	from	0
