HOnoured	HOnoured	j-vvn	HOnoured	honour	0
Sister	Sister	n1	Sister	sister	0
,	,	,	,	,	0
I	I	pns11	I	i	0
salute	salute	vvb	salute	salute	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
Relation	Relation	n1	Relation	relation	0
follow	follow	vvi	follow	follow	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
touching	touching	vvg	touching	touch	0
your	your	po22	your	your	0
beloued	beloued	j-vvn	beloved	belove	0
Daughter	Daughter	n1	Daughter	daughter	0
,	,	,	,	,	0
[	[	[	[	[	0
the	the	dt	the	the	0
most	most	ds	most	most	0
whereof	whereof	c-crq	whereof	whereof	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
good	good	j	good	good	0
part	part	n1	part	part	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
your	your	po22	your	your	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
speciall	speciall	j	special	special	0
Prouidence	Prouidence	n1	Providence	providence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
bringing	bringing	vvg	bringing	bring	0
him	him	pno31	him	he	0
from	from	p-acp	from	from	0
Oxford	Oxford	np1	Oxford	Oxford	0
hither	hither	av	hither	hither	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
,	,	,	,	,	0
)	)	)	)	)	0
haue	haue	vhb	have	have	0
been	been	vbn	been	be	0
both	both	av-d	both	both	0
Eye-and	Eye-and	j	Eye-and	eye-and	0
Ear-witnesses	Ear-witnesses	n2	Ear-witnesses	ear-witness	0
,	,	,	,	,	0
]	]	]	]	]	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
neerest	neerest	js	nearest	near	0
interest	interest	n1	interest	interest	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
:	:	:	:	:	0
so	so	av	so	so	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
be	be	vbi	be	be	0
accepta	accepta	fw-la	accepta	accepta	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
retain	retain	vvi	retain	retain	0
such	such	d	such	such	0
a	a	dt	a	a	0
Monument	Monument	n1	Monument	monument	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
