LOuing	LOuing	vvg	Loving	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
beloued	beloued	j-vvn	beloved	belove	0
brethren	brethren	n2	brothers	brethren	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
true	true	j	true	true	0
,	,	,	,	,	0
naturall	naturall	j	natural	natural	0
,	,	,	,	,	0
honest	honest	j	honest	honest	0
,	,	,	,	,	0
and	and	cc	and	and	0
heartie	heartie	j	hearty	hearty	0
affections	affections	n2	affections	affection	0
,	,	,	,	,	0
your	your	po22	your	your	0
mutuall	mutuall	j	mutual	mutual	0
concurrence	concurrence	n1	concurrence	concurrence	0
,	,	,	,	,	0
and	and	cc	and	and	0
concordance	concordance	n1	concordance	concordance	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Matrimonies	Matrimonies	n2	Matrimonies	matrimony	0
,	,	,	,	,	0
Patri	Patri	fw-la	Patri	patri	0
∣	∣	sy	∣	∣	0
monies	monies	n2	moneys	money	0
,	,	,	,	,	0
legall	legall	j	legal	legal	0
Trade	Trade	n1	Trade	trade	0
,	,	,	,	,	0
and	and	cc	and	and	0
bro	bro	fw-ge	bro	bro	0
∣	∣	sy	∣	∣	0
therly	therly	av-j	therly	ther	0
Trust	Trust	vvb	Trust	trust	0
;	;	;	;	;	0
your	your	po22	your	your	0
Pious	Pious	j	Pious	pious	0
pra	pra	fw-la	pra	pra	0
∣	∣	sy	∣	∣	0
ctice	ctice	n1	ctice	ctice	0
in	in	p-acp	in	in	0
endeuouring	endeuouring	vvg	endeavouring	endeavour	0
to	to	p-acp	to	to	0
recon	recon	n1	recon	recon	0
∣	∣	sy	∣	∣	0
vnneighbourly	vnneighbourly	av-j	unneighbourly	unneighbourly	0
grudges	grudges	n2	grudges	grudge	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
composing	composing	vvg	composing	compose	0
of	of	pp-f	of	of	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
among	among	p-acp	among	among	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
ranke	ranke	n1	rank	rank	0
,	,	,	,	,	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
,	,	,	,	,	0
your	your	po22	your	your	0
true	true	j	true	true	0
,	,	,	,	,	0
and	and	cc	and	and	0
hearty	hearty	j	hearty	hearty	0
loue	loue	n1	love	love	0
to	to	p-acp	to	to	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
,	,	,	,	,	0
,	,	,	,	,	0
Citie	Citie	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
well	well	av	well	well	0
wishing	wishing	vvg	wishing	wish	0
all	all	d	all	all	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
your	your	po22	your	your	0
vnfained	vnfained	j	unfeigned	unfeigned	0
loue	loue	n1	love	love	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
charity	charity	n1	charity	charity	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
distressed	distressed	j-vvn	distressed	distress	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
suffi	suffi	n2	suffi	suffi	0
∣	∣	sy	∣	∣	0
vindicate	vindicate	vvi	vindicate	vindicate	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
aspersions	aspersions	n2	aspersions	aspersion	0
of	of	pp-f	of	of	0
Malig	Malig	np1	Malig	Malig	0
∣	∣	sy	∣	∣	0
,	,	,	,	,	0
vnlesse	vnlesse	cs	unless	unless	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
incarnate	incarnate	j	incarnate	incarnate	0
deuils	deuils	n2	devils	devil	0
,	,	,	,	,	0
and	and	cc	and	and	0
deterre	deterre	vvi	deter	deter	0
black-mouthed	black-mouthed	j	black-mouthed	black-mouthed	0
Shemei	Shemei	np1	Shemei	Shemei	0
,	,	,	,	,	0
or	or	cc	or	or	0
rayling	rayling	vvg	railing	rail	0
Rabshekah	Rabshekah	np1	Rabshekah	Rabshekah	0
once	once	a-acp	once	once	0
to	to	pc-acp	to	to	0
dare	dare	vvi	dare	dare	0
to	to	pc-acp	to	to	0
vent	vent	vvi	vent	vent	0
any	any	d	any	any	0
the	the	dt	the	the	0
least	least	ds	least	least	0
misprision	misprision	n1	misprision	misprision	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
particulars	particulars	n2-j	particulars	particular	0
,	,	,	,	,	0
so	so	av	so	so	0
would	would	vmd	would	will	0
they	they	pns32	they	they	0
continue	continue	vvi	continue	continue	0
blessed	blessed	vvn	blessed	bless	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
morials	morials	n2-jn	morials	morial	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
albeit	albeit	cs	albeit	albeit	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
neuer	neuer	av-x	never	never	0
beene	beene	vbn	been	be	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
or	or	cc	or	or	0
these	these	d	these	these	0
my	my	po11	my	my	0
lines	lines	n2	lines	line	0
had	had	vhd	had	have	0
neuer	neuer	av-x	never	never	0
beene	beene	vbn	been	be	0
directed	directed	vvn	directed	direct	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
yea	yea	uh	yea	yea	0
as	as	p-acp	as	as	0
these	these	d	these	these	0
blessings	blessings	n2	blessings	blessing	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
stirre	stirre	vvi	stir	stir	0
vp	vp	a-acp	up	up	0
all	all	d	all	all	0
good	good	j	good	good	0
mindes	mindes	n2	minds	mind	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
your	your	po22	your	your	0
ciuility	ciuility	n1	civility	civility	0
,	,	,	,	,	0
courtesie	courtesie	n1	courtesy	courtesy	0
,	,	,	,	,	0
Mansuetnesse	Mansuetnesse	n1	Mansuetnesse	mansuetnesse	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
natures	natures	n2	nature's	nature	0
;	;	;	;	;	0
so	so	av	so	so	0
also	also	av	also	also	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
as	as	c-acp	as	as	0
Precedents	Precedents	n2	Precedents	precedent	0
of	of	pp-f	of	of	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
disposition	disposition	n1	disposition	disposition	0
to	to	p-acp	to	to	0
