ACcording	ACcording	vvg	ACcording	accord	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
Worships	Worships	ng1	Worships	worship	0
pleasure	pleasure	n1	pleasure	pleasure	0
was	was	vbds	was	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
perused	perused	vvn	perused	peruse	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
wynde	wynde	n1	wind	wind	0
and	and	cc	and	and	0
weather	weather	n1	weather	weather	0
would	would	vmd	would	will	0
serue	serue	vvi	serve	serve	0
for	for	p-acp	for	for	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
brought	brought	vvn	brought	bring	0
it	it	pn31	it	it	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
into	into	p-acp	into	into	0
Eng	Eng	np1	Eng	Eng	0
∣	∣	sy	∣	∣	0
land	land	n1	land	land	0
:	:	:	:	:	0
The	The	dt	The	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
liking	liking	n-vvg	liking	like	0
,	,	,	,	,	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
misliked	misliked	vvn	misliked	mislike	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
iudgement	iudgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
my	my	po11	my	my	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
may	may	vmb	may	may	0
stande	stande	vvi	stand	stand	0
as	as	c-acp	as	as	0
most	most	ds	most	most	0
grounded	grounded	vvn	grounded	ground	0
in	in	p-acp	in	in	0
trueth	trueth	n1	truth	truth	0
and	and	cc	and	and	0
iustice	iustice	n1	justice	justice	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
he	he	pns31	he	he	0
sen	sen	fw-la	sen	sen	0
∣	∣	sy	∣	∣	0
tenced	tenced	j-vvn	tenced	tence	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
truely	truely	av-j	truly	true	0
a	a	dt	a	a	0
religious	religious	j	religious	religious	0
Christian	Christian	njp	Christian	christian	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
surely	surely	av-j	surely	sure	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
deceiued	deceiued	vvn	deceived	deceive	0
in	in	p-acp	in	in	0
iudgement	iudgement	n1	judgement	judgement	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
so	so	av	so	so	0
shal	shal	vmb	shall	shall	0
reade	reade	vvi	read	read	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
shal	shal	vmb	shall	shall	0
finde	finde	vvi	find	find	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
man	man	n1	man	man	0
,	,	,	,	,	0
&	&	cc	&	and	0
such	such	d	such	such	0
a	a	dt	a	a	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
as	as	a-acp	as	as	0
made	made	vvd	made	make	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
deede	deede	n1	deed	deed	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
daye	daye	n1	day	day	0
or	or	cc	or	or	0
two	two	crd	two	two	0
,	,	,	,	,	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
fayre	fayre	j	fair	fair	0
and	and	cc	and	and	0
calme	calme	j-jn	calm	calm	0
weather	weather	n1	weather	weather	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
first	first	ord	first	first	0
beginning	beginning	n1	beginning	beginning	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
entrance	entrance	n1	entrance	entrance	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
very	very	j	very	very	0
last	last	ord	last	last	0
breth	breth	n1	breath	breath	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
sharpe	sharpe	j	sharp	sharp	0
and	and	cc	and	and	0
stormie	stormie	j	stormy	stormy	0
tem	tem	n1	tem	tem	0
∣	∣	sy	∣	∣	0
pestes	pestes	n1	pestes	pestes	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
witnesseth	witnesseth	vvz	witnesseth	witness	0
his	his	po31	his	his	0
happy	happy	j	happy	happy	0
and	and	cc	and	and	0
blessed	blessed	j-vvn	blessed	bless	0
mar	mar	vvb	mar	mar	0
∣	∣	sy	∣	∣	0
tyrdome	tyrdome	n1	tyrdome	tyrdome	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
most	most	av-ds	most	most	0
horrible	horrible	j	horrible	horrible	0
slaughter	slaughter	n1	slaughter	slaughter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sainctes	Sainctes	n2	Saints	saint	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
Barthelmewes	Barthelmewes	npg1	Barthelmewes	barthelmewes	0
daye	daye	n1	day	day	0
in	in	p-acp	in	in	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
ris	ris	zz	ris	ris	0
that	that	d	that	that	0
wicked	wicked	j	wicked	wicked	0
murderesse	murderesse	n1	murderess	murderess	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
people	people	n1	people	people	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
whome	whome	ro-crq	whom	who	0
their	their	po32	their	their	0
innocent	innocent	j-jn	innocent	innocent	0
blood	blood	n1	blood	blood	0
crieth	crieth	vvz	cries	cry	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
vengeance	vengeance	n1	vengeance	vengeance	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
daye	daye	n1	day	day	0
of	of	pp-f	of	of	0
wrath	wrath	n1	wrath	wrath	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
he	he	pns31	he	he	0
felt	felt	vvd	felt	feel	0
,	,	,	,	,	0
so	so	av	so	so	0
he	he	pns31	he	he	0
wrote	wrote	vvd	wrote	write	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
feeling	feeling	n1	feeling	feeling	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
spirituall	spirituall	j	spiritual	spiritual	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
well	well	av	well	well	0
see	see	vvi	see	see	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
whome	whome	r-crq	whom	who	0
hee	hee	pns31	he	he	0
wrote	wrote	vvd	wrote	write	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
so	so	av	so	so	0
well	well	av	well	well	0
knowing	knowing	vvg	knowing	know	0
himselfe	himselfe	px31	himself	himself	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
euerlasting	euerlasting	j	everlasting	everlasting	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
gaue	gaue	vvd	gave	give	0
vs	vs	pno12	us	we	0
a	a	dt	a	a	0
waye	waye	n1	way	way	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
ioyous	ioyous	j	joyous	joyous	0
assu	assu	fw-fr	assu	assu	0
∣	∣	sy	∣	∣	0
rance	rance	n1	rance	rance	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
saluation	saluation	n1	salvation	salvation	0
.	.	.	.	.	1
The	The	dt	The	the	0
greatest	greatest	js	greatest	great	0
comfort	comfort	n1	comfort	comfort	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
so	so	av	so	so	0
would	would	vmd	would	will	0
honour	honour	vvi	honour	honour	0
vs	vs	pno12	us	we	0
the	the	dt	the	the	0
most	most	ds	most	most	0
,	,	,	,	,	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
better	better	av-jc	better	better	0
perfourme	perfourme	vvi	perform	perform	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
liking	liking	n-vvg	liking	like	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	pc-acp	to	to	0
assure	assure	vvi	assure	assure	0
vs	vs	pno12	us	we	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
childrē	childrē	n2	children	child	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
heauēly	heauēly	j	heavenly	heavenly	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
that	that	d	that	that	0
honour	honour	n1	honour	honour	0
and	and	cc	and	and	0
dignitie	dignitie	n1	dignity	dignity	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Christ	Christ	np1	Christ	Christ	0
that	that	cst	that	that	0
died	died	vvd	died	die	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
gaue	gaue	vvd	gave	give	0
himselfe	himselfe	px31	himself	himself	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
whome	whome	ro-crq	whom	who	0
we	we	pns12	we	we	0
dwell	dwell	vvb	dwell	dwell	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
in	in	p-acp	in	in	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
deceiue	deceiue	vvb	deceive	deceive	0
not	not	xx	not	not	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
cōfort	cōfort	n1	comfort	comfort	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
reape	reape	vvi	reap	reap	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
mē	mē	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
beastes	beastes	n2	beasts	beast	0
,	,	,	,	,	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
great	great	j	great	great	0
,	,	,	,	,	0
&	&	cc	&	and	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
ther	ther	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
greatly	greatly	av-j	greatly	great	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
magnified	magnified	vvn	magnified	magnify	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
considering	considering	vvg	considering	consider	0
what	what	r-crq	what	what	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
&	&	cc	&	and	0
what	what	r-crq	what	what	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
against	against	p-acp	against	against	0
him	him	pno31	him	he	0
