Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Have	Have	vhb	Have	have	0
for	for	p-acp	for	for	0
Twenty	Twenty	crd	Twenty	twenty	0
four	four	crd	four	four	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
used	used	vvd	used	use	0
my	my	po11	my	my	0
endeavours	endeavours	n2	endeavours	endeavour	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
the	the	dt	the	the	0
Loss	Loss	n1	Loss	loss	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Trade	Trade	n1	Trade	trade	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Woollen	Woollen	j	Woollen	woollen	0
Manufacture	Manufacture	n1	Manufacture	manufacture	0
(	(	(	(	(	0
set	set	vvd	set	set	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
France	France	np1	France	France	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
English	English	jp	English	english	0
,	,	,	,	,	0
and	and	cc	and	and	0
Irish	Irish	jp	Irish	irish	0
Wooll	Wooll	n1	Wool	wool	0
)	)	)	)	)	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Impor	Impor	n1	Impor	impor	0
∣	∣	sy	∣	∣	0
tation	tation	n1	tation	tation	0
of	of	pp-f	of	of	0
French	French	jp	French	french	0
Silks	Silks	n2	Silks	silk	0
,	,	,	,	,	0
Stuffs	Stuffs	vvz	Stuffs	stuff	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lace	Lace	n1	Lace	lace	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
But	But	p-acp	But	but	0
also	also	av	also	also	0
used	used	vvd	used	use	0
my	my	po11	my	my	0
utmost	utmost	j	utmost	utmost	0
to	to	pc-acp	to	to	0
regulate	regulate	vvi	regulate	regulate	0
the	the	dt	the	the	0
abuses	abuses	n2	abuses	abuse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Aulnage	Aulnage	n1	Aulnage	aulnage	0
(	(	(	(	(	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
the	the	dt	the	the	0
objections	objections	n2	objections	objection	0
against	against	p-acp	against	against	0
me	me	pno11	me	i	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
Steps	Steps	vvz	Steps	step	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
,	,	,	,	,	0
are	are	vbr	are	be	0
