Good	Good	j	Good	good	0
Mrs.	Mrs.	n1	Mrs.	mrs.	0
Roberts	Roberts	np1	Roberts	Roberts	0
,	,	,	,	,	0
THere	THere	pc-acp	THere	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
Mo	Mo	zz	Mo	mo	0
∣	∣	sy	∣	∣	0
nument	nument	n1	nument	nument	0
so	so	av	so	so	0
la	la	uh	la	la	0
∣	∣	sy	∣	∣	0
sting,2	sting,2	n1	sting,2	sting,2	0
Tim.	Tim.	np1	Tim.	Tim.	1
1.5	1.5	crd	1.5	1.5	0
.	.	.	.	.	0
to	to	pc-acp	to	to	0
perpe	perpe	vvi	perpe	perpe	0
∣	∣	sy	∣	∣	0
tuate	tuate	vvb	tuate	tuate	0
the	the	pno32	thee	they	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
godly	godly	j	godly	godly	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
survive	survive	vvi	survive	survive	0
after	after	p-acp	after	after	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
godlinesse	godlinesse	n1	godliness	godliness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Child	Child	n1	Child	child	0
:	:	:	:	:	0
Solomon	Solomon	np1	Solomon	Solomon	0
brings	brings	vvz	brings	bring	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Children	Children	n2	Children	child	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Vertuous	Vertuous	j	Virtuous	virtuous	0
Woman	Woman	n1	Woman	woman	0
,	,	,	,	,	0
spreading	spreading	vvg	spreading	spread	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
praise	praise	n1	praise	praise	0
;	;	;	;	;	0
They	They	pns32	They	they	0
arise	arise	vvb	arise	arise	0
up	up	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
call	call	vvi	call	call	0
her	her	po31	her	her	0
Blessed	Blessed	j-vvn	Blessed	bless	0
,	,	,	,	,	0
Prov.	Prov.	np1	Prov.	Prov.	1
31.28	31.28	crd	31.28	31.28	0
.	.	.	.	.	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
restrai	restrai	fw-la	restrai	restrai	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Verbal	Verbal	j	Verbal	verbal	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
gi	gi	zz	gi	gi	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
by	by	p-acp	by	by	0
Children	Children	n2	Children	child	0
to	to	p-acp	to	to	0
Parents	Parents	n2	Parents	parent	0
whilst	whilst	cs	while	while	0
they	they	pns32	they	they	0
live	live	vvb	live	live	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
may	may	vmb	may	may	0
proceed	proceed	vvi	proceed	proceed	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
times	times	n2	times	time	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
self-love	self-love	n1	selflove	self-love	0
and	and	cc	and	and	0
flattery	flattery	n1	flattery	flattery	0
)	)	)	)	)	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
principally	principally	av-j	principally	principal	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
under	under	p-acp	under	under	0
∣	∣	sy	∣	∣	0
stood	stood	vvd	stood	stand	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Actuall	Actuall	j	Actual	actual	0
and	and	cc	and	and	0
Real	Real	j	Real	real	0
praising	praising	n-vvg	praising	praise	0
of	of	pp-f	of	of	0
her	her	pno31	her	she	0
,	,	,	,	,	0
both	both	d	both	both	0
Living	Living	vvg	Living	live	0
and	and	cc	and	and	0
Dead	Dead	j	Dead	dead	0
)	)	)	)	)	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
those	those	d	those	those	0
shining	shining	j-vvg	shining	shine	0
vertues	vertues	n2	virtues	virtue	0
of	of	pp-f	of	of	0
Modesty	Modesty	n1	Modesty	modesty	0
