COurteous	COurteous	j	COurteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
dost	dost	vd2	dost	do	0
live	live	vvi	live	live	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
,	,	,	,	,	0
and	and	cc	and	and	0
art	art	n1	art	art	0
sensible	sensible	j	sensible	sensible	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
sad	sad	j	sad	sad	0
times	times	n2	times	time	0
,	,	,	,	,	0
or	or	cc	or	or	0
if	if	cs	if	if	0
Gods	Gods	npg1	Gods	God	0
visitation	visitation	n1	visitation	visitation	0
be	be	vbb	be	be	0
upon	upon	p-acp	upon	upon	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
makes	makes	vvz	makes	make	0
thee	thee	pno21	thee	thou	0
to	to	pc-acp	to	to	0
sigh	sigh	vvi	sighs	sigh	0
and	and	cc	and	and	0
groan	groan	vvi	groan	groan	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
bur	bur	n1	burr	burr	0
∣	∣	sy	∣	∣	0
den	den	n1	den	den	0
and	and	cc	and	and	0
pressure	pressure	n1	pressure	pressure	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
sorrowes	sorrowes	n2	sorrows	sorrow	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
thy	thy	po21	thy	thy	0
soul	soul	n1	soul	soul	0
desi	desi	fw-fr	desi	desi	0
∣	∣	sy	∣	∣	0
reth	reth	n1	reth	reth	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
thy	thy	po21	thy	thy	0
spirits	spirits	n2	spirits	spirit	0
want	want	vvb	want	want	0
spirituall	spirituall	j	spiritual	spiritual	0
refreshing	refreshing	n-vvg	refreshing	refresh	0
and	and	cc	and	and	0
heavenly	heavenly	j	heavenly	heavenly	0
consolation	consolation	n1	consolation	consolation	0
:	:	:	:	:	0
then	then	av	then	then	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
for	for	p-acp	for	for	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
to	to	p-acp	to	to	0
thy	thy	po21	thy	thy	0
view	view	n1	view	view	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
finde	finde	vvi	find	find	0
the	the	dt	the	the	0
true	true	j	true	true	0
way	way	n1	way	way	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
demean	demean	vvi	demean	demean	0
