TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
High	High	j	High	high	0
Puissant	Puissant	j	Puissant	puissant	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Prince	Prince	n1	Prince	prince	0
HENRY	HENRY	np1	HENRY	Henry	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
Earl-Marshall	Earl-Marshall	j	Earl-Marshall	earl-marshall	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Chief	Chief	j-jn	Chief	chief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Noble	Noble	j	Noble	noble	0
Family	Family	n1	Family	family	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
HOWARDS	HOWARDS	np1	HOWARDS	Howards	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Arundel	Arundel	np1	Arundel	Arundel	0
,	,	,	,	,	0
Surrey	Surrey	np1	Surrey	Surrey	0
,	,	,	,	,	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
and	and	cc	and	and	0
Norwich	Norwich	np1	Norwich	Norwich	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
Mowbray	Mowbray	np1	Mowbray	Mowbray	0
,	,	,	,	,	0
Howard	Howard	np1	Howard	Howard	0
,	,	,	,	,	0
Seagrave	Seagrave	np1	Seagrave	Seagrave	0
,	,	,	,	,	0
Bruse	Bruse	vvb	Bruise	bruise	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
Gower	Gower	np1	Gower	Gower	0
)	)	)	)	)	0
Fitz-Alan	Fitz-Alan	np1	Fitz-Alan	Fitz-Alan	0
,	,	,	,	,	0
War	War	n1	War	war	0
∣	∣	sy	∣	∣	0
ren	ren	fw-it	ren	ren	0
,	,	,	,	,	0
Clun	Clun	np1	Clun	Clun	0
,	,	,	,	,	0
Oswaldestrey	Oswaldestrey	np1	Oswaldestrey	Oswaldestrey	0
,	,	,	,	,	0
Maltravers	Maltravers	np1	Maltravers	Maltravers	0
,	,	,	,	,	0
Graystock	Graystock	np1	Graystock	Graystock	0
,	,	,	,	,	0
Verdon	Verdon	np1	Verdon	Verdon	0
,	,	,	,	,	0
Furnival	Furnival	np1	Furnival	Furnival	0
,	,	,	,	,	0
Lovetot	Lovetot	np1	Lovetot	Lovetot	0
,	,	,	,	,	0
Strange	Strange	j	Strange	strange	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
Blackmere	Blackmere	np1	Blackmere	Blackmere	0
)	)	)	)	)	0
and	and	cc	and	and	0
Howard	Howard	np1	Howard	Howard	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
Castle	Castle	n1	Castle	castle	0
Rising	Rising	vvg	Rising	rise	0
)	)	)	)	)	0
Constable	Constable	n1	Constable	constable	0
and	and	cc	and	and	0
Governor	Governor	n1	Governor	governor	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesties	jesties	ng1	jesties	jesties	0
Royal	Royal	j	Royal	royal	0
Castle	Castle	n1	Castle	castle	0
and	and	cc	and	and	0
Honor	Honor	n1	Honour	honour	0
of	of	pp-f	of	of	0
Windsor	Windsor	np1	Windsor	Windsor	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
War	War	n1	War	war	0
∣	∣	sy	∣	∣	0
den	den	n1	den	den	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Forest	Forest	n1	Forest	forest	0
of	of	pp-f	of	of	0
Windsor	Windsor	np1	Windsor	Windsor	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
Surrey	Surrey	np1	Surrey	Surrey	0
,	,	,	,	,	0
and	and	cc	and	and	0
Berks	Berks	np1	Berks	Berks	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Norwich	Norwich	np1	Norwich	Norwich	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
