WEll	WEll	n1	WEll	well	0
doth	doth	vdz	does	do	0
that	that	d	that	that	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvithout	vvithout	p-acp	without	without	0
doubt	doubt	n1	doubt	doubt	0
diserueth	diserueth	vvz	diserueth	diseru	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
vvho	vvho	r-crq	who	who	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
daughter	daughter	n1	daughter	daughter	0
a	a	dt	a	a	0
Virgin	Virgin	n1	Virgin	virgin	0
dravvne	dravvne	vvn	drawn	draw	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
guile	guile	n1	guile	guile	0
of	of	pp-f	of	of	0
panders	panders	n2	panders	pander	0
into	into	p-acp	into	into	0
some	some	d	some	some	0
levvd	levvd	j	lewd	lewd	0
and	and	cc	and	and	0
dishonest	dishonest	j	dishonest	dishonest	0
house	house	n1	house	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
trimmed	trimmed	vvn	trimmed	trim	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
vvhorish	vvhorish	j	whorish	whorish	0
guise	guise	n1	guise	guise	0
doth	doth	vdz	does	do	0
presently	presently	av-j	presently	present	0
rescue	rescue	vvi	rescue	rescue	0
her	her	pno31	her	she	0
thence	thence	av	thence	thence	0
and	and	cc	and	and	0
bring	bring	vvi	bring	bring	0
her	her	pno31	her	she	0
home	home	av-an	home	home	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
ovvne	ovvne	d	own	own	0
house	house	n1	house	house	0
before	before	c-acp	before	before	0
shee	shee	pns31	she	she	0
be	be	vbb	be	be	0
utterly	utterly	av-j	utterly	utter	0
spoyled	spoyled	vvn	spoiled	spoil	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
same	same	d	same	same	0
Father	Father	n1	Father	father	0
(	(	(	(	(	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
vvise	vvise	j	wise	wise	0
)	)	)	)	)	0
thinks	thinks	vvz	thinks	think	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
enough	enough	av-d	enough	enough	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
safty	safty	n1	safety	safety	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
daughter	daughter	n1	daughter	daughter	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
honor	honor	n1	honour	honour	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
house	house	n1	house	house	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
brought	brought	vvn	brought	bring	0
her	her	pno31	her	she	0
home	home	av-an	home	home	0
agayne	agayne	av	again	again	0
,	,	,	,	,	0
vnles	vnles	cs	unless	unless	0
he	he	pns31	he	he	0
take	take	vvb	take	take	0
from	from	p-acp	from	from	0
her	her	pno31	her	she	0
vvholly	vvholly	av-jn	wholly	whole	0
vvhatsoever	vvhatsoever	r-crq	whatsoever	whatsoever	0
he	he	pns31	he	he	0
knovves	knovves	vvz	knows	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
houses	houses	n2	houses	house	0
a	a	dt	a	a	0
vvhorish	vvhorish	j	whorish	whorish	0
attyre	attyre	n1	attire	attire	0
.	.	.	.	.	1
Neyther	Neyther	av-dx	Neither	neither	0
doth	doth	vdz	does	do	0
he	he	pns31	he	he	0
inquire	inquire	vvi	inquire	inquire	0
vvhence	vvhence	c-crq	whence	whence	0
such	such	d	such	such	0
attyre	attyre	n1	attire	attire	0
came	came	vvd	came	come	0
first	first	ord	first	first	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
iudgeth	iudgeth	vvz	judgeth	judge	0
it	it	pn31	it	it	0
dishonorable	dishonorable	j	dishonourable	dishonourable	0
to	to	p-acp	to	to	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
un	un	j	un	unacustomated	0
∣	∣	sy	∣	∣	0
vvorthy	vvorthy	j-jn	worthy	worthy	0
his	his	po31	his	his	0
daughter	daughter	n1	daughter	daughter	0
and	and	cc	and	and	0
vvhole	vvhole	j-jn	whole	whole	0
family	family	n1	family	family	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
such	such	d	such	such	0
thing	thing	n1	thing	thing	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
as	as	c-acp	as	as	0
strompets	strompets	n2	strompets	strompet	0
haue	haue	vhb	have	have	0
vsed	vsed	vvn	used	use	0
for	for	p-acp	for	for	0
dressings	dressings	n2-vvg	dressings	dress	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
appeare	appeare	vvi	appear	appear	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
.	.	.	.	.	1
Neyther	Neyther	av-dx	Neither	neither	0
doth	doth	vdz	does	do	0
hee	hee	pns31	he	he	0
giue	giue	vvi	give	give	0
eare	eare	n1	ear	ear	0
