RIght	RIght	av-jn	RIght	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
most	most	av-ds	most	most	0
euident	euident	j	evident	evident	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
present	present	j	present	present	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
En	En	fw-fr	En	en	0
∣	∣	sy	∣	∣	0
emie	emie	fw-fr	emie	emie	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
two	two	crd	two	two	0
waies	waies	n2	ways	way	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
exalts	exalts	vvz	exalts	exalt	0
the	the	dt	the	the	0
libertie	libertie	n1	liberty	liberty	0
of	of	pp-f	of	of	0
mans	mans	ng1	men	man	0
will	will	n1	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
extenu	extenu	fw-fr	extenu	extenu	0
∣	∣	sy	∣	∣	0
ates	ates	fw-la	ates	ates	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
in	in	p-acp	in	in	0
fiue	fiue	crd	fiue	five	0
respects	respects	n2	respects	respect	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
it	it	pn31	it	it	0
teacheth	teacheth	vvz	teaches	teach	0
,	,	,	,	,	0
that	that	cst	that	that	0
naturall	naturall	j	natural	natural	0
freewill	freewill	n1	freewill	freewill	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
one	one	pi	one	one	0
∣	∣	sy	∣	∣	0
ly	ly	vvi	lie	lie	0
a	a	dt	a	a	0
Passiue	Passiue	j	Passive	passive	0
or	or	cc	or	or	0
potentiall	potentiall	j	potential	potential	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
an	an	dt	and	a	0
Actiue	Actiue	j	Active	active	0
power	power	n1	power	power	0
,	,	,	,	,	0
or	or	cc	or	or	0
