THou	THou	pns21	THou	thou	0
remembrest	remembrest	vv2	remembrest	remember	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Wer	Wer	vbdr	Were	be	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
Spies	Spies	n2	Spies	spy	0
of	of	pp-f	of	of	0
Bullensheim	Bullensheim	np1	Bullensheim	Bullensheim	0
,	,	,	,	,	0
Provincial	Provincial	j-jn	Provincial	provincial	0
Commendator	Commendator	n1	Commendator	commendator	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Teutonick	Teutonick	np1	Teutonick	Teutonick	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Confluence	Confluence	n1	Confluence	confluence	0
of	of	pp-f	of	of	0
Baillive	Baillive	j	Baillive	baillive	0
,	,	,	,	,	0
and	and	cc	and	and	0
Commendator	Commendator	n1	Commendator	commendator	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
House	House	n1	House	house	0
of	of	pp-f	of	of	0
Pitzenburg	Pitzenburg	np1	Pitzenburg	Pitzenburg	0
of	of	pp-f	of	of	0
Mecheline	Mecheline	np1	Mecheline	Mecheline	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
Elsen	Elsen	np1	Elsen	Elsen	0
and	and	cc	and	and	0
Herrn-Mulheim	Herrn-Mulheim	j	Herrn-Mulheim	herrn-mulheim	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
thy	thy	po21	thy	thy	0
Uncle	Uncle	n1	Uncle	uncle	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
favourable	favourable	j	favourable	favourable	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
three	three	crd	three	three	0
dayes	dayes	n2	days	day	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
Death	Death	n1	Death	death	0
,	,	,	,	,	0
sent	sent	vvd	sent	send	0
his	his	po31	his	his	0
Horse-litter	Horse-litter	n1	Horse-litter	horse-litter	0
for	for	p-acp	for	for	0
me	me	pno11	me	i	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
lay	lay	vvd	lay	lie	0
sick	sick	j	sick	sick	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
cruel	cruel	j	cruel	cruel	0
Tertian	Tertian	n-jn	Tertian	tertian	0
Ague	Ague	n1	Ague	ague	0
;	;	;	;	;	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
as	as	p-acp	as	as	0
yet	yet	av	yet	yet	0
saluted	saluted	vvd	saluted	salute	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Head	Head	n1	Head	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
offered	offered	vvd	offered	offer	0
to	to	pc-acp	to	to	0
embrace	embrace	vvi	embrace	embrace	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
his	his	po31	his	his	0
Arms	Arms	n2	Arms	arm	0
:	:	:	:	:	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
willing	willing	vvg	willing	will	0
presently	presently	av-j	presently	present	0
to	to	pc-acp	to	to	0
succour	succour	vvi	succour	succour	0
the	the	dt	the	the	0
same	same	d	same	same	0
