AT	AT	p-acp	AT	at	0
the	the	dt	the	the	0
divulging	divulging	vvg	divulging	divulge	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
former	former	j	former	former	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
many	many	d	many	many	0
great	great	j	great	great	0
and	and	cc	and	and	0
vaunting	vaunting	j-vvg	vaunting	vaunt	0
speeches	speeches	n2	speeches	speech	0
uttered	uttered	vvn	uttered	utter	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
pretended	pretended	j-vvn	pretended	pretend	0
Catholickes	Catholickes	njp2	Catholics	catholic	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
forthwith	forthwith	av	forthwith	forthwith	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
,	,	,	,	,	0
very	very	av	very	very	0
speedily	speedily	av-j	speedily	speedy	0
,	,	,	,	,	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
beene	beene	vbn	been	be	0
fully	fully	av-j	fully	full	0
and	and	cc	and	and	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
answered	answered	vvn	answered	answer	0
.	.	.	.	.	1
And	And	cc	And	and	0
indeede	indeede	av	indeed	indeed	0
within	within	p-acp	within	within	0
a	a	dt	a	a	0
while	while	n1	while	while	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
came	came	vvd	came	come	0
forth	forth	av	forth	forth	0
an	an	cs	and	an	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swere	swere	vvb	swear	swear	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
part	part	n1	part	part	0
thereof	thereof	av	thereof	thereof	0
;	;	;	;	;	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
first	first	ord	first	first	0
two	two	crd	two	two	0
Chap	Chap	n1	Chap	chap	0
∣	∣	sy	∣	∣	0
ters	ters	fw-mi	ters	ters	0
contayned	contayned	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
one	one	pi	one	one	0
that	that	cst	that	that	0
calleth	calleth	vvz	calls	call	0
himselfe	himselfe	px31	himself	himself	0
Iohn	Iohn	np1	Iohn	John	0
at	at	p-acp	at	at	0
Stile	Stile	n1	Style	stile	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
knowing	knowing	vvg	knowing	know	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
)	)	)	)	)	0
,	,	,	,	,	0
the	the	dt	the	the	0
weakenesse	weakenesse	n1	weakness	weakness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swere	swere	vvb	swear	swear	0
,	,	,	,	,	0
therein	therein	av	therein	therein	0
promised	promised	vvn	promised	promise	0
,	,	,	,	,	0
a	a	dt	a	a	0
better	better	jc	better	better	0
and	and	cc	and	and	0
further	further	av-jc	further	further	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swere	swere	vvb	swear	swear	0
,	,	,	,	,	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
then	then	av	then	then	0
shortly	shortly	av-j	shortly	short	0
come	come	vvn	come	come	0
forth	forth	av	forth	forth	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Booke	Booke	n1	Book	book	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
so	so	av	so	so	0
substan	substan	fw-mi	substan	substan	0
∣	∣	sy	∣	∣	0
tially	tially	av-j	tially	tial	0
done	done	vdn	done	do	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
suteable	suteable	j	suitable	suitable	0
and	and	cc	and	and	0
cor	cor	fw-la	cor	cor	0
∣	∣	sy	∣	∣	0
respondent	respondent	j	respondent	respondent	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
three	three	crd	three	three	0
Conditions	Conditions	n2	Conditions	condition	0
required	required	vvn	required	require	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
.	.	.	.	.	1
This	This	d	This	this	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
answer	answer	n1	answer	answer	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
promised	promised	vvd	promised	promise	0
so	so	av	so	so	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
all	all	d	all	all	0
this	this	d	this	this	0
while	while	n1	while	while	0
expected	expected	vvd	expected	expect	0
;	;	;	;	;	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
expectation	expectation	n1	expectation	expectation	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
hitherto	hitherto	av	hitherto	hitherto	0
deferred	deferred	vvn	deferred	defer	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
a	a	dt	a	a	0
Reply	Reply	n1	Reply	reply	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
answere	answere	n1	answer	answer	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
having	having	vhg	having	have	0
now	now	av	now	now	0
thus	thus	av	thus	thus	0
long	long	av-j	long	long	0
expected	expected	vvd	expected	expect	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
,	,	,	,	,	0
&	&	cc	&	and	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
wil	wil	vmb	will	will	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
or	or	cc	or	or	0
whether	whether	cs	whither	whether	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
or	or	cc	or	or	0
never	never	av-x	never	never	0
:	:	:	:	:	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
amisse	amisse	av	amiss	amiss	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
interim	interim	n1	interim	interim	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
reply	reply	vvi	reply	reply	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
answere	answere	n1	answer	answer	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
marcheth	marcheth	vvz	marches	march	0
and	and	cc	and	and	0
masketh	masketh	vvz	masketh	mask	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Iohn	Iohn	np1	Iohn	John	0
at	at	p-acp	at	at	0
Stile	Stile	n1	Style	stile	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
better	better	jc	better	better	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
reply	reply	vvi	reply	reply	0
unto	unto	p-acp	unto	unto	0
.	.	.	.	.	1
Where	Where	q-crq	Where	where	0
,	,	,	,	,	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
this	this	d	this	this	0
mans	mans	ng1	men	man	0
right	right	j-jn	right	right	0
and	and	cc	and	and	0
proper	proper	j	proper	proper	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
because	because	c-acp	because	because	0
hee	hee	pns31	he	he	0
is	is	vbz	is	be	0
so	so	av	so	so	0
loth	loth	j	loath	loath	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
care	care	vvb	care	care	0
not	not	xx	not	not	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
it	it	pn31	it	it	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
somuch	somuch	av	somuch	somuch	0
the	the	dt	the	the	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
he	he	pns31	he	he	0
delivereth	delivereth	vvz	delivereth	deliver	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
regarde	regarde	n1	regard	regard	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
credite	credite	n1	credit	credit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
credite	credite	n1	credit	credit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
(	(	(	(	(	0
if	if	cs	if	if	0
any	any	d	any	any	0
credite	credite	n1	credit	credit	0
had	had	vhd	had	have	0
belonged	belonged	vvn	belonged	belong	0
unto	unto	p-acp	unto	unto	0
it	it	pn31	it	it	0
)	)	)	)	)	0
,	,	,	,	,	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
much	much	av-d	much	much	0
better	better	av-jc	better	better	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
put	put	vvn	put	put	0
no	no	dx	no	no	0
name	name	n1	name	name	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
unto	unto	p-acp	unto	unto	0
that	that	cst	that	that	0
his	his	po31	his	his	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
then	then	cs	then	than	0
a	a	dt	a	a	0
wrong	wrong	n-jn	wrong	wrong	0
,	,	,	,	,	0
false	false	j	false	false	0
,	,	,	,	,	0
and	and	cc	and	and	0
counterfeit	counterfeit	j-jn	counterfeit	counterfeit	0
name	name	n1	name	name	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
verie	verie	av	very	very	0
first	first	ord	first	first	0
entrance	entrance	n1	entrance	entrance	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
thus	thus	av	thus	thus	0
misdemeaneth	misdemeaneth	vvz	misdemeaneth	misdemean	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
feareth	feareth	vvz	fears	fear	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
utter	utter	vvi	utter	utter	0
so	so	av	so	so	0
great	great	j	great	great	0
an	an	dt	and	a	0
untruth	untruth	n1	untruth	untruth	0
:	:	:	:	:	0
What	What	r-crq	What	what	0
good	good	j	good	good	0
dealing	dealing	n-vvg	dealing	deal	0
,	,	,	,	,	0
or	or	cc	or	or	0
sin	sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
cere	cere	vvb	cere	cere	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
may	may	vmb	may	may	0
we	we	pns12	we	we	0
expect	expect	vvi	expect	expect	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
resi	resi	n1	resi	resi	0
∣	∣	sy	∣	∣	0
due	due	j-jn	due	due	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
discourse	discourse	n1	discourse	discourse	0
?	?	?	?	?	1
Wherein	Wherein	c-crq	Wherein	wherein	0
also	also	av	also	also	0
,	,	,	,	,	0
whilst	whilst	cs	while	while	0
hee	hee	pns31	he	he	0
strived	strived	vvd	strived	strive	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
more	more	dc	more	more	0
hast	hast	n1	haste	haste	0
then	then	cs	then	than	0
good	good	j	good	good	0
speede	speede	n1	speed	speed	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
shewed	shewed	vvn	showed	show	0
himselfe	himselfe	px31	himself	himself	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
,	,	,	,	,	0
like	like	av-j	like	like	0
canis	canis	fw-la	canis	canis	0
festinans	festinans	fw-la	festinans	festinans	0
,	,	,	,	,	0
caecos	caecos	fw-la	caecos	caecos	0
edens	edens	fw-la	edens	edens	0
catulos	catulos	fw-la	catulos	catulos	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
howsoever	howsoever	c-acp	howsoever	howsoever	0
he	he	pns31	he	he	0
thrusteth	thrusteth	vvz	thrusts	thrust	0
himselfe	himselfe	px31	himself	himself	0
forward	forward	av-j	forward	forward	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
needs	needs	av	needs	needs	0
take	take	vvi	take	take	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Iohannes	Iohannes	np1	Iohannes	Johannes	0
ad	ad	fw-la	ad	ad	0
oppositum	oppositum	fw-la	oppositum	oppositum	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
speaketh	speaketh	vvz	speaks	speak	0
very	very	av	very	very	0
little	little	j	little	little	0
,	,	,	,	,	0
or	or	cc	or	or	0
nothing	nothing	pix	nothing	nothing	0
ad	ad	vvi	and	add	0
propositum	propositum	fw-la	propositum	propositum	0
.	.	.	.	.	1
Insomuch	Insomuch	av	Insomuch	insomuch	0
,	,	,	,	,	0
that	that	cst	that	that	0
sundry	sundry	j	sundry	sundry	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
futilitie	futilitie	n1	futility	futility	0
