To	To	p-acp	To	to	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
Honourable	Honourable	j	Honourable	honourable	0
JAMES	JAMES	np1	JAMES	James	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
,	,	,	,	,	0
Mar	Mar	vvi	Mar	mar	0
∣	∣	sy	∣	∣	0
quess	quess	n1	quess	quess	0
,	,	,	,	,	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ormond	Ormond	np1	Ormond	Ormond	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Ossory	Ossory	np1	Ossory	Ossory	0
and	and	cc	and	and	0
Brecknock	Brecknock	np1	Brecknock	Brecknock	0
,	,	,	,	,	0
Viscount	Viscount	np1	Viscount	Viscount	0
Thurles	Thurles	vvz	Thurles	thurle	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Ba	Ba	uh	Ba	ba	0
∣	∣	sy	∣	∣	0
ron	ron	fw-mi	ron	ron	0
of	of	pp-f	of	of	0
Arklow	Arklow	np1	Arklow	Arklow	0
and	and	cc	and	and	0
Lanthony	Lanthony	np1	Lanthony	Lanthony	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Regalities	Regalities	n2	Regalities	regality	0
and	and	cc	and	and	0
Liberties	Liberties	n2	Liberties	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Tip	Tip	n1	Tip	tip	0
∣	∣	sy	∣	∣	0
perary	perary	n1	perary	perary	0
,	,	,	,	,	0
Chancellor	Chancellor	n1	Chancellor	chancellor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Universitie	Universitie	n1	University	university	0
of	of	pp-f	of	of	0
Dub	Dub	vvb	Dub	dub	0
∣	∣	sy	∣	∣	0
lin	lin	vvi	lin	lin	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
General	General	n1	General	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
General	General	n1	General	general	0
Go	Go	vvb	Go	go	0
∣	∣	sy	∣	∣	0
vernour	vernour	n1	vernour	vernour	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Somerset	Somerset	np1	Somerset	Somerset	0
,	,	,	,	,	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Cities	Cities	n2	Cities	city	0
of	of	pp-f	of	of	0
Bath	Bath	n1	Bath	bath	0
and	and	cc	and	and	0
Wells	Wells	np1	Wells	Wells	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
Most	Most	av-ds	Most	most	0
Honou	Honou	j	Honou	honou	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
Privy	Privy	j	Privy	privy	0
Councils	Councils	n2	Councils	council	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Steward	Steward	n1	Steward	steward	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
House	House	n1	House	house	0
∣	∣	sy	∣	∣	0
hold	hold	vvb	hold	hold	0
,	,	,	,	,	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
MAJESTIES	MAJESTIES	ng1	MAJESTIES	majesty	0
Bed	Bed	n1	Bed	bed	0
∣	∣	sy	∣	∣	0
chamber	chamber	n1	chamber	chamber	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Most	Most	av-ds	Most	most	0
Noble	Noble	j	Noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
His	His	po31	His	his	0
GRACE	GRACE	n1	GRACE	grace	0
,	,	,	,	,	1
