CAto	CAto	np1	CAto	Cato	0
of	of	pp-f	of	of	0
Vtica	Vtica	np1	Vtica	Utica	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
writeth	writeth	vvz	writeth	write	0
)	)	)	)	)	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
demaunded	demaunded	vvd	demanded	demand	0
whom	whom	r-crq	whom	who	0
he	he	pns31	he	he	0
loued	loued	vvd	loved	love	0
best	best	js	best	best	0
,	,	,	,	,	0
answe	answe	vvi	answer	answer	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
,	,	,	,	,	0
his	his	po31	his	his	0
brother	brother	n1	brother	brother	0
then	then	av	then	then	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
still	still	av	still	still	0
continuing	continuing	vvg	continuing	continue	0
to	to	pc-acp	to	to	0
aske	aske	vvi	ask	ask	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	q-crq	who	who	0
next	next	ord	next	next	0
,	,	,	,	,	0
he	he	pns31	he	he	0
likewise	likewise	av	likewise	likewise	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swered	swered	vvd	swered	swer	0
,	,	,	,	,	0
his	his	po31	his	his	0
brother	brother	n1	brother	brother	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gaine	gaine	vvi	gain	gain	0
the	the	dt	the	the	0
third	third	ord	third	three	0
time	time	n1	time	time	0
,	,	,	,	,	0
he	he	pns31	he	he	0
answe	answe	vvn	answer	answer	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
,	,	,	,	,	0
his	his	po31	his	his	0
brother	brother	n1	brother	brother	0
.	.	.	.	.	1
Thrice	Thrice	av	Thrice	thrice	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
sort	sort	n1	sort	sort	0
was	was	vbds	was	be	0
I	I	pns11	I	i	0
ask'd	ask'd	vvd	asked	ask	0
,	,	,	,	,	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
vnask'd	vnask'd	j	unasked	unasked	0
,	,	,	,	,	0
ask'd	ask'd	vvd	asked	ask	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
though	though	cs	though	though	0
vnask'd	vnask'd	j	unasked	unasked	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
or	or	cc	or	or	0
three	three	crd	three	three	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
my	my	po11	my	my	0
threefold	threefold	j	threefold	threefold	0
booke	booke	n1	book	book	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
this	this	d	this	this	0
my	my	po11	my	my	0
self	self	n1	self	self	0
