WHere	WHere	q-crq	WHere	where	0
as	as	p-acp	as	as	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
(	(	(	(	(	0
moste	moste	av-ds	most	most	0
excel	excel	vvi	excel	excel	0
∣	∣	sy	∣	∣	0
lent	lent	n1	lent	lent	0
vertuous	vertuous	j	virtuous	virtuous	0
Quene	Quene	n1	Queen	queen	0
)	)	)	)	)	0
many	many	d	many	many	0
goodly	goodly	j	goodly	goodly	0
and	and	cc	and	and	0
proper	proper	j	proper	proper	0
treatyse	treatyse	n1	treatise	treatise	0
/	/	/	/	/	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
concernynge	concernynge	vvg	concerning	concern	0
holye	holye	j	holy	holy	0
scripture	scripture	n1	scripture	scripture	0
/	/	/	/	/	0
wherein	wherein	c-crq	wherein	wherein	0
is	is	vbz	is	be	0
contey	contey	n1	contey	contey	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
comforte	comforte	n1	comfort	comfort	0
and	and	cc	and	and	0
consolaciō	consolaciō	n1	consolation	consolation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
godlye	godlye	j	godly	godly	0
people	people	n1	people	people	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
other	other	j-jn	other	other	0
prophane	prophane	j	profane	profane	0
artes	artes	n2	arts	art	0
and	and	cc	and	and	0
sciences	sciences	n2	sciences	science	0
ryght	ryght	j-jn	right	right	0
necessary	necessary	j	necessary	necessary	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
knowen	knowen	vvn	known	know	0
&	&	cc	&	and	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
vse	vse	n1	use	use	0
/	/	/	/	/	0
haue	haue	vhi	have	have	0
ben	ben	vbn	been	be	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
paynefull	paynefull	j	painful	painful	0
dyligence	dyligence	n1	diligence	diligence	0
of	of	pp-f	of	of	0
suche	suche	d	such	such	0
clarkes	clarkes	n2	clerks	clerk	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
embusyed	embusyed	vvn	embusyed	embusy	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
very	very	av	very	very	0
earnestlye	earnestlye	av-j	earnestly	earnest	0
and	and	cc	and	and	0
circumspect	circumspect	j	circumspect	circumspect	0
∣	∣	sy	∣	∣	0
lye	lye	zz	lye	lye	0
set	set	vvd	set	set	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
oure	oure	po12	our	our	0
wulgare	wulgare	j	wulgare	wulgare	0
Englysshe	Englysshe	jp	English	english	0
tunge	tunge	n1	tongue	tongue	0
/	/	/	/	/	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
greate	greate	j	great	great	0
enrytchynge	enrytchynge	n-vvg	enrytchynge	enrytchynge	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
langage	langage	fw-fr	langage	langage	0
/	/	/	/	/	0
and	and	cc	and	and	0
also	also	av	also	also	0
the	the	dt	the	the	0
greate	greate	j	great	great	0
vtilite	vtilite	n1	vtilite	vtilite	0
and	and	cc	and	and	0
profet	profet	zz	profet	profet	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
people	people	n1	people	people	0
vsynge	vsynge	vvg	using	use	0
the	the	dt	the	the	0
same	same	d	same	same	0
/	/	/	/	/	0
and	and	cc	and	and	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
monge	monge	p-acp	monge	among	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
thynges	thynges	n2	things	thing	0
/	/	/	/	/	0
oute	oute	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
scyence	scyence	n1	science	science	0
of	of	pp-f	of	of	0
Phisyke	Phisyke	np1	Phisyke	Phisyke	0
haue	haue	vhb	have	have	0
ben	ben	vbn	been	be	0
dyuers	dyuers	j	dyuers	diverse	0
/	/	/	/	/	0
proper	proper	j	proper	proper	0
/	/	/	/	/	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
matters	matters	n2	matters	matter	0
compyled	compyled	vvd	compiled	compile	0
and	and	cc	and	and	0
trans	trans	ng1	trans	trans	0
∣	∣	sy	∣	∣	0
lated	lated	vvn	lated	late	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Laten	Laten	njp	Latin	latin	0
tunge	tunge	n1	tongue	tongue	0
in	in	p-acp	in	in	0
to	to	p-acp	to	to	0
Englyshe	Englyshe	jp	English	english	0
/	/	/	/	/	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
readynge	readynge	n-vvg	reading	read	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
ryght	ryght	j-jn	right	right	0
manye	manye	d	many	many	0
haue	haue	vhb	have	have	0
confessed	confessed	vvn	confessed	confess	0
them	them	pno32	them	they	0
selfes	selfes	n2	selves	self	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
receaued	receaued	vvn	received	receive	0
greate	greate	j	great	great	0
lyght	lyght	vvi	light	light	0
and	and	cc	and	and	0
knowlege	knowlege	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
thynges	thynges	n2	things	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
founde	founde	vvn	found	find	0
no	no	dx	no	no	0
smal	smal	j	small	small	0
com	com	vvb	come	come	0
¦	¦	sy	¦	¦	0
forte	forte	n1	fort	fort	0
and	and	cc	and	and	0
profet	profet	zz	profet	profet	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
behalfe	behalfe	n1	behalf	behalf	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Laten	Laten	njp	Latin	latin	0
speche	speche	n1	speech	speech	0
a	a	dt	a	a	0
boke	boke	n1	book	book	0
entytled	entytled	vvn	entytled	entytle	0
/	/	/	/	/	0
depar	depar	vvb	depar	depar	0
∣	∣	sy	∣	∣	0
tu	tu	fw-la	tu	tu	0
hominis	hominis	fw-la	hominis	hominis	0
:	:	:	:	:	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
saye	saye	vvi	say	say	0
/	/	/	/	/	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
byrthe	byrthe	n1	birth	birth	0
of	of	pp-f	of	of	0
mankynde	mankynde	n1	mankind	mankind	0
/	/	/	/	/	0
compyled	compyled	vvd	compiled	compile	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
famous	famous	j	famous	famous	0
doctor	doctor	n1	doctor	doctor	0
in	in	p-acp	in	in	0
Physycke	Physycke	n1	Physycke	physycke	0
/	/	/	/	/	0
called	called	vvn	called	call	0
Eucharius	Eucharius	npg1	Eucharius	eucharius	0
/	/	/	/	/	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
he	he	pns31	he	he	0
wrote	wrote	vvd	wrote	write	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
mother	mother	n1	mother	mother	0
tunge	tunge	n1	tongue	tongue	0
/	/	/	/	/	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
ynge	ynge	zz	ynge	ynge	0
a	a	zz	a	a	0
Germayn	Germayn	j	German	german	0
/	/	/	/	/	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Germayne	Germayne	j	German	german	0
speche	speche	n1	speech	speech	0
/	/	/	/	/	0
afterwarde	afterwarde	av	afterward	afterward	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
other	other	j-jn	other	other	0
honest	honest	j	honest	honest	0
clarke	clarke	n1	clarke	clarke	0
/	/	/	/	/	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
requeste	requeste	n1	request	request	0
and	and	cc	and	and	0
desyre	desyre	n1	desire	desire	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
frende	frende	n1	friend	friend	0
transposed	transposed	vvn	transposed	transpose	0
in	in	p-acp	in	in	0
to	to	p-acp	to	to	0
Laten	Laten	njp	Latin	latin	0
:	:	:	:	:	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
boke	boke	n1	book	book	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
syngu	syngu	n1	syngu	syngu	0
∣	∣	sy	∣	∣	0
lar	lar	n1	lar	lar	0
vtilite	vtilite	n1	vtilite	vtilite	0
and	and	cc	and	and	0
profete	profete	n1	profete	profete	0
that	that	cst	that	that	0
ensueth	ensueth	vvz	ensueth	ensue	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
rede	rede	vvb	rede	read	0
it	it	pn31	it	it	0
/	/	/	/	/	0
and	and	cc	and	and	0
moste	moste	av-ds	most	most	0
spetiallye	spetiallye	av-j	spetiallye	spetiallye	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
women	women	n2	women	woman	0
(	(	(	(	(	0
for	for	p-acp	for	for	0
whose	whose	rg-crq	whose	who	0
onely	onely	j	only	only	0
cause	cause	n1	cause	cause	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
wryt	wryt	vvn	writ	write	0
∣	∣	sy	∣	∣	0
ten	ten	crd	ten	ten	0
)	)	)	)	)	0
hathe	hathe	vhz	hath	have	0
bene	bene	vbn	be	be	0
sythe	sythe	c-acp	sith	since	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Doutche	Doutche	n1	Doutche	doutche	0
and	and	cc	and	and	0
Frenche	Frenche	jp	French	french	0
speche	speche	n1	speech	speech	0
set	set	vvd	set	set	0
forthe	forthe	av	forth	forth	0
and	and	cc	and	and	0
emprynted	emprynted	vvn	emprynted	emprynt	0
in	in	p-acp	in	in	0
greate	greate	j	great	great	0
nomber	nomber	n1	number	number	0
/	/	/	/	/	0
so	so	av	so	so	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
fewe	fewe	d	few	few	0
matro	matro	n1	matro	matro	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
and	and	cc	and	and	0
women	women	n2	women	woman	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
partes	partes	n2	parts	part	0
/	/	/	/	/	0
but	but	cc-acp	but	but	0
(	(	(	(	(	0
yf	yf	cs	if	if	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
rede	rede	vvi	rede	read	0
)	)	)	)	)	0
wyll	wyll	vmb	will	will	0
haue	haue	vhi	have	have	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
alwayes	alwayes	av	always	always	0
in	in	p-acp	in	in	0
readynesse	readynesse	n1	readiness	readiness	0
:	:	:	:	:	0
consyderynge	consyderynge	vvg	considering	consider	0
then	then	av	then	then	0
that	that	cst	that	that	0
the	the	dt	the	the	0
same	same	d	same	same	0
commodite	commodite	n1	commodity	commodity	0
and	and	cc	and	and	0
profet	profet	zz	profet	profet	0
whiche	whiche	r-crq	which	which	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
theyr	theyr	po32	their	their	0
regyons	regyons	n2	regions	region	0
do	do	vdb	do	do	0
obtayne	obtayne	vvi	obtain	obtain	0
by	by	p-acp	by	by	0
enioyng	enioyng	vvg	enioyng	enioyng	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
lytle	lytle	j	little	little	0
boke	boke	n1	book	book	0
in	in	p-acp	in	in	0
theyr	theyr	po32	their	their	0
maternall	maternall	j	maternal	maternal	0
langage	langage	fw-fr	langage	langage	0
/	/	/	/	/	0
myght	myght	vmd	might	may	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
so	so	av	so	so	0
ensue	ensue	vvi	ensue	ensue	0
vnto	vnto	p-acp	unto	unto	0
all	all	d	all	all	0
womē	womē	n2	women	woman	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
noble	noble	j	noble	noble	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
/	/	/	/	/	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Englyshe	Englyshe	jp	English	english	0
speche	speche	n1	speech	speech	0
/	/	/	/	/	0
as	as	c-acp	as	as	0
concernynge	concernynge	vvg	concerning	concern	0
this	this	d	this	this	0
/	/	/	/	/	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
my	my	po11	my	my	0
symple	symple	j	simple	simple	0
endeuoure	endeuoure	n1	endeavour	endeavour	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
wo	wo	n1	woe	woe	0
∣	∣	sy	∣	∣	0
manhode	manhode	n1	manhood	manhood	0
/	/	/	/	/	0
and	and	cc	and	and	0
chieflye	chieflye	av-jn	chiefly	chief	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
moste	moste	av-ds	most	most	0
bounde	bounde	vvn	bound	bind	0
seruyce	seruyce	n1	service	service	0
/	/	/	/	/	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
vnto	vnto	p-acp	unto	unto	0
youre	youre	po22	your	your	0
moste	moste	av-ds	most	most	0
gracyous	gracyous	j	gracious	gracious	0
hyghnes	hyghnes	n1	highness	highness	0
to	to	pc-acp	to	to	0
translate	translate	vvi	translate	translate	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
oure	oure	po12	our	our	0
tunge	tunge	n1	tongue	tongue	0
.	.	.	.	.	1
Moste	Moste	av-ds	Most	most	0
humbly	humbly	av-j	humbly	humble	0
desyryng	desyryng	vvg	desiring	desire	0
fyrst	fyrst	ord	fyrst	first	0
your	your	po22	your	your	0
graces	graces	ng1	graces	grace	0
hyghnes	hyghnes	n1	highness	highness	0
/	/	/	/	/	0
and	and	cc	and	and	0
then	then	av	then	then	0
consequent	consequent	j	consequent	consequent	0
∣	∣	sy	∣	∣	0
lye	lye	vvb	lie	lie	0
all	all	d	all	all	0
noble	noble	j	noble	noble	0
ladyes	ladyes	n2	ladies	lady	0
and	and	cc	and	and	0
gentylwomen	gentylwomen	n2	gentlewomen	gentlewoman	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
honeste	honeste	j	honest	honest	0
matrones	matrones	n2	matrons	matron	0
to	to	pc-acp	to	to	0
accepte	accepte	vvi	accept	accept	0
my	my	po11	my	my	0
pay	pay	n1	pay	pay	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
and	and	cc	and	and	0
good	good	j	good	good	0
wyll	wyll	n1	will	will	0
employd	employd	vvn	employed	employ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
thynge	thynge	n1	thing	thing	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
doo	doo	vdi	do	do	0
not	not	xx	not	not	0
doubte	doubte	n1	doubt	doubt	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
woonte	woonte	j	wont	wont	0
and	and	cc	and	and	0
incomperable	incomperable	j	incomparable	incomparable	0
benignite	benignite	n1	benignity	benignity	0
/	/	/	/	/	0
good	good	j	good	good	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
/	/	/	/	/	0
and	and	cc	and	and	0
gentylnes	gentylnes	n1	gentleness	gentleness	0
inset	inset	vvi	inset	inset	0
&	&	cc	&	and	0
planted	planted	vvn	planted	plant	0
in	in	p-acp	in	in	0
youre	youre	po22	your	your	0
graces	graces	ng1	graces	grace	0
nature	nature	n1	nature	nature	0
/	/	/	/	/	0
so	so	av	so	so	0
shall	shall	vmb	shall	shall	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
no	no	dx	no	no	0
lyttell	lyttell	j	little	little	0
encour	encour	n1	encour	encour	0
¦	¦	sy	¦	¦	0
ragynge	ragynge	j-vvg	raging	rage	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
hereafter	hereafter	av	hereafter	hereafter	0
with	with	p-acp	with	with	0
farther	farther	jc	farther	far	0
de	de	fw-it	de	de	0
∣	∣	sy	∣	∣	0
liberation	liberation	n1	liberation	liberation	0
and	and	cc	and	and	0
paynes	paynes	n2	pains	pain	0
to	to	pc-acp	to	to	0
reuyse	reuyse	vvi	reuyse	reuyse	0
and	and	cc	and	and	0
ouerse	ouerse	vvi	ouerse	oversee	0
the	the	dt	the	the	0
same	same	d	same	same	0
agayne	agayne	av	again	again	0
/	/	/	/	/	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
more	more	dc	more	more	0
dili	dili	j	dili	dili	0
∣	∣	sy	∣	∣	0
gence	gence	n1	gence	gence	0
/	/	/	/	/	0
to	to	pc-acp	to	to	0
set	set	vvd	set	set	0
it	it	pn31	it	it	0
forthe	forthe	av	forth	forth	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
consyderynge	consyderynge	vvg	considering	consider	0
the	the	dt	the	the	0
manyfolde	manyfolde	j	manifold	manifold	0
/	/	/	/	/	0
daylye	daylye	av-j	daily	daily	0
/	/	/	/	/	0
and	and	cc	and	and	0
imminente	imminente	j	imminent	imminent	0
daun	daun	n1	daun	daun	0
∣	∣	sy	∣	∣	0
georus	georus	n1	georus	georus	0
and	and	cc	and	and	0
parelles	parelles	n2	parelles	parelle	0
/	/	/	/	/	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
women	women	n2	women	woman	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
estate	estate	n1	estate	estate	0
or	or	cc	or	or	0
degre	degre	n1	degree	degree	0
so	so	av	so	so	0
euer	euer	av	ever	ever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
theyr	theyr	po32	their	their	0
labor	labor	n1	labour	labour	0
do	do	vdb	do	do	0
sustayne	sustayne	vvi	sustain	sustain	0
and	and	cc	and	and	0
abyde	abyde	vvi	abide	abide	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
many	many	d	many	many	0
tymes	tymes	n2	times	time	0
with	with	p-acp	with	with	0
parell	parell	n1	parell	parel	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
lyfe	lyfe	n1	life	life	0
/	/	/	/	/	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whiche	whiche	r-crq	which	which	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
examples	examples	n2	examples	example	0
nedelesse	nedelesse	j	nedelesse	nedelesse	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
rehersed	rehersed	vvd	rehearsed	rehearse	0
.	.	.	.	.	1
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
