Deare	Deare	n1	Dear	deer	0
and	and	cc	and	and	0
loving	loving	j-vvg	loving	love	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
YOur	YOur	po22	YOur	your	0
carriage	carriage	n1	carriage	carriage	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
,	,	,	,	,	0
or	or	cc	or	or	0
rather	rather	av-c	rather	rather	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
was	was	vbds	was	be	0
such	such	d	such	such	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
short	short	j	short	short	0
time	time	n1	time	time	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sufficient	sufficient	j	sufficient	sufficient	0
engagement	engagement	n1	engagement	engagement	0
to	to	pc-acp	to	to	0
bind	bind	vvi	bind	bind	0
me	me	pno11	me	i	0
over	over	a-acp	over	over	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
yours	yours	png22	yours	you	0
.	.	.	.	.	1
Doe	Doe	vdb	Do	do	0
not	not	xx	not	not	0
thinke	thinke	vvi	think	think	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
not	not	xx	not	not	0
writing	writing	vvg	writing	write	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
being	being	vbg	being	be	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
a	a	dt	a	a	0
distance	distance	n1	distance	distance	0
,	,	,	,	,	0
is	is	vbz	is	be	0
any	any	d	any	any	0
abatement	abatement	n1	abatement	abatement	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
love	love	n1	love	love	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
spect	spect	vvn	specked	speck	0
:	:	:	:	:	0
No	No	uh-dx	No	no	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
rather	rather	av	rather	rather	0
kindled	kindled	vvn	kindled	kindle	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
fil	fil	vvi	fill	fill	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
employments	employments	n2	employments	employment	0
otherwise	otherwise	av	otherwise	otherwise	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
ceased	ceased	vvn	ceased	cease	0
continually	continually	av-j	continually	continual	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
great	great	j	great	great	0
Ocean	Ocean	n1	Ocean	ocean	0
to	to	pc-acp	to	to	0
converse	converse	vvi	converse	converse	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
God	God	np1	God	God	0
Almighty	Almighty	j-jn	Almighty	almighty	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
behalfe	behalfe	n1	behalf	behalf	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
love	love	vvb	love	love	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
joy	joy	n1	joy	joy	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
soule	soule	n1	soul	soul	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
prosperity	prosperity	n1	prosperity	prosperity	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
doubt	doubt	vvi	doubt	doubt	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
or	or	cc	or	or	0
call	call	vvb	call	call	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
question	question	n1	question	question	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
revive	revive	vvi	revive	revive	0
me	me	pno11	me	i	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
pleased	pleased	vvd	pleased	please	0
to	to	pc-acp	to	to	0
cut	cut	vvi	cut	cut	0
out	out	av	out	out	0
a	a	dt	a	a	0
way	way	n1	way	way	0
thereto	thereto	av	thereto	thereto	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
your	your	po22	your	your	0
faces	faces	n2	faces	face	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
I	I	pns11	I	i	0
fall	fall	vvb	fallen	fall	0
asleep	asleep	j	asleep	asleep	0
,	,	,	,	,	0
and	and	cc	and	and	0
cease	cease	vvb	cease	cease	0
to	to	pc-acp	to	to	0
converse	converse	vvi	converse	converse	0
with	with	p-acp	with	with	0
these	these	d	these	these	0
terrene	terrene	j	terrene	terrene	0
things	things	n2	things	thing	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
season	season	n1	season	season	0
but	but	cc-acp	but	but	0
commend	commend	vvb	commend	commend	0
these	these	d	these	these	0
few	few	d	few	few	0
following	following	j-vvg	following	follow	0
lines	lines	n2	lines	line	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Christian	Christian	np1	Christian	Christian	0
considerati	considerati	fw-la	considerati	considerati	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
last	last	ord	last	last	0
words	words	n2	words	word	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
breath	breath	vvi	breath	breathe	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
legacy	legacy	n1	legacy	legacy	0
freely	freely	av-j	freely	free	0
commit	commit	vvi	commit	commit	0
and	and	cc	and	and	0
bequeath	bequeath	vvi	bequeathe	bequeathe	0
them	them	pno32	them	they	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
You	You	pn22	You	you	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
former	former	j	former	former	0
Epistle	Epistle	n1	Epistle	epistle	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
occasioned	occasioned	vvn	occasioned	occasion	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
seem	seem	vvi	seem	seem	0
to	to	pc-acp	to	to	0
abide	abide	vvi	abide	abide	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
confines	confines	n2	confines	confine	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
few	few	d	few	few	0
despised	despised	j-vvn	despised	despise	0
people	people	n1	people	people	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
poore	poore	j	poor	poor	0
endeavours	endeavours	n2	endeavours	endeavour	0
seem	seem	vvb	seem	seem	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
