GOD	GOD	np1	GOD	God	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
wisdome	wisdome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
love	love	n1	love	love	0
mixed	mixed	vvn	mixed	mix	0
crosses	crosses	n2	crosses	cross	0
with	with	p-acp	with	with	0
comforts	comforts	n2	comforts	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
comforts	comforts	n2	comforts	comfort	0
with	with	p-acp	with	with	0
crosses	crosses	n2	crosses	cross	0
;	;	;	;	;	0
He	He	pns31	He	he	0
hath	hath	vhz	hath	have	0
said	said	vvn	said	say	0
;	;	;	;	;	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
yee	yee	pn22	ye	you	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
trouble	trouble	n1	trouble	trouble	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
yee	yee	pn22	ye	you	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
peace	peace	n1	peace	peace	0
in	in	p-acp	in	in	0
trouble	trouble	n1	trouble	trouble	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
sweet	sweet	j	sweet	sweet	0
mercy	mercy	n1	mercy	mercy	0
;	;	;	;	;	0
behold	behold	vvb	behold	behold	0
a	a	dt	a	a	0
fountaine	fountaine	n1	fountain	fountain	0
of	of	pp-f	of	of	0
joy	joy	n1	joy	joy	0
and	and	cc	and	and	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
ever	ever	av	ever	ever	0
floweth	floweth	vvz	flows	flow	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
sweetnesse	sweetnesse	n1	sweetness	sweetness	0
and	and	cc	and	and	0
life	life	n1	life	life	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
refresh	refresh	vvi	refresh	refresh	0
our	our	po12	our	our	0
soules	soules	n2	souls	soul	0
withall	withall	av	withal	withal	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
.	.	.	.	.	1
Loving	Loving	vvg	Loving	love	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
the	the	dt	the	the	0
love	love	n1	love	love	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
manifested	manifested	vvn	manifested	manifest	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
its	its	pn31|vbz	its	it|be	0
so	so	av	so	so	0
great	great	j	great	great	0
,	,	,	,	,	0
so	so	av	so	so	0
free	free	j	free	free	0
,	,	,	,	,	0
and	and	cc	and	and	0
full	full	j	full	full	0
,	,	,	,	,	0
and	and	cc	and	and	0
undeserved	undeserved	j	undeserved	undeserving	0
,	,	,	,	,	0
and	and	cc	and	and	0
unex	unex	fw-la	unex	unex	0
∣	∣	sy	∣	∣	0
pected	pected	j-vvn-u	pected	pect	0
:	:	:	:	:	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
I	I	pns11	I	i	0
view	view	vvb	view	view	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
sweet	sweet	j	sweet	sweet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
affected	affected	vvn	affected	affect	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
ordered	ordered	vvn	ordered	order	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
sweet	sweet	j	sweet	sweet	0
a	a	dt	a	a	0
mercy	mercy	n1	mercy	mercy	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
;	;	;	;	;	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
kindnesse	kindnesse	n1	kindness	kindness	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
shewed	shewed	vvn	showed	show	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
25.	25.	crd	25.	25.	0
40.	40.	crd	40.	40.	1
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
how	how	c-crq	how	how	0
to	to	pc-acp	to	to	0
require	require	vvi	require	require	0
your	your	po22	your	your	0
love	love	n1	love	love	0
,	,	,	,	,	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
doe	doe	vdi	do	do	0
more	more	av-dc	more	more	0
nor	nor	ccx	nor	nor	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
then	then	cs	then	than	0
to	to	p-acp	to	to	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
best	best	js	best	best	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
sincere	sincere	j	sincere	sincere	0
and	and	cc	and	and	0
hearty	hearty	j	hearty	hearty	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
kindnesse	kindnesse	n1	kindness	kindness	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
doubting	doubting	vvg	doubting	doubt	0
but	but	p-acp	but	but	0
these	these	d	these	these	0
spirituall	spirituall	j	spiritual	spiritual	0
and	and	cc	and	and	0
divine	divine	j-jn	divine	divine	0
Consolations	Consolations	n2	Consolations	consolation	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
savoury	savoury	j	savoury	savoury	0
and	and	cc	and	and	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
blesse	blesse	vvb	bless	bless	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
keepe	keepe	vvb	keep	keep	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
e	e	fw-la	e	e	0
∣	∣	sy	∣	∣	0
vill	vill	vmb	will	will	0
:	:	:	:	:	0
so	so	av	so	so	0
he	he	pns31	he	he	0
prays	prays	vvz	prays	pray	0
that	that	cst	that	that	0
remaines	remaines	vvz	remains	remain	1
