BEloved	BEloved	j-vvn	BEloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
dedicated	dedicated	vvn	dedicated	dedicate	0
this	this	d	this	this	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
one	one	crd	one	one	0
City	City	n1	City	city	0
or	or	cc	or	or	0
place	place	n1	place	place	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
places	places	n2	places	place	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
peo	peo	fw-la	peo	peo	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
are	are	vbr	are	be	0
inhabiting	inhabiting	vvg	inhabiting	inhabit	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
reasons	reasons	n2	reasons	reason	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
many	many	d	many	many	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
neare	neare	j	near	near	0
and	and	cc	and	and	0
deare	deare	j-jn	deer	dear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
dwel	dwel	vvi	dwell	dwell	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
is	is	vbz	is	be	0
generall	generall	j	general	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
concerne	concerne	vvi	concern	concern	0
all	all	d	all	all	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
generall	generall	n1	general	general	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
any	any	d	any	any	0
relation	relation	n1	relation	relation	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Jesus	Jesus	np1	Jesus	Jesus	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
Antichrist	Antichrist	np1	Antichrist	Antichrist	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
large	large	j	large	large	0
beast	beast	n1	beast	beast	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
like	like	av-j	like	like	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
larger	larger	jc	larger	large	0
,	,	,	,	,	0
having	having	vhg	having	have	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
broode	broode	n1	brood	brood	0
sitting	sitting	vvg	sitting	sit	0
under	under	p-acp	under	under	0
his	his	po31	his	his	0
wing	wing	n1	wing	wing	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
deceiving	deceiving	vvg	deceiving	deceive	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
deceived	deceived	vvn	deceived	deceive	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
delusions	delusions	n2	delusions	delusion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
glory	glory	n1	glory	glory	0
sent	sent	vvn	sent	send	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
2	2	crd	2	2	0
Thes.	Thes.	np1	Thes.	Thes.	1
2.11	2.11	crd	2.11	2.11	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
many	many	d	many	many	0
weighty	weighty	j	weighty	weighty	0
considerable	considerable	j	considerable	considerable	0
scriptures	scriptures	n2	scriptures	scripture	0
&	&	cc	&	and	0
grounds	grounds	n2	grounds	ground	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
undertaken	undertaken	vvn	undertaken	undertake	0
.	.	.	.	.	1
Fist	Fist	n1	Fist	fist	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
all	all	d	all	all	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
revealed	revealed	vvd	revealed	reveal	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
1	1	crd	1	1	0
Cor.	Cor.	np1	Cor.	Cor.	1
12.7	12.7	crd	12.7	12.7	0
.	.	.	.	.	1
Chap.	Chap.	np1	Chap.	Chap.	0
13.1	13.1	crd	13.1	13.1	0
.	.	.	.	.	1
Rom.	Rom.	np1	Rom.	Rom.	0
12.10	12.10	crd	12.10	12.10	0
,	,	,	,	,	0
11.	11.	crd	11.	11.	0
1	1	crd	1	1	1
Thes.	Thes.	np1	Thes.	Thes.	0
2.8	2.8	crd	2.8	2.8	0
.	.	.	.	.	0
this	this	d	this	this	0
