EXperience	EXperience	n1	EXperience	experience	0
bea	bea	fw-mi	bea	bea	0
∣	∣	sy	∣	∣	0
reth	reth	n1	reth	reth	0
such	such	d	such	such	0
a	a	dt	a	a	0
soueraigntie	soueraigntie	n1	sovereignty	sovereignty	0
ouer	ouer	p-acp	over	over	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
humane	humane	j	humane	humane	0
and	and	cc	and	and	0
diuine	diuine	j-jn	divine	divine	0
,	,	,	,	,	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
quality	quality	n1	quality	quality	0
or	or	cc	or	or	0
power	power	n1	power	power	0
ei	ei	n1	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
of	of	pp-f	of	of	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
deede	deede	n1	deed	deed	0
,	,	,	,	,	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
uise	uise	n1	uise	uise	0
,	,	,	,	,	0
or	or	cc	or	or	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
cannot	cannot	vmbx	cannot	can	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
knowen	knowen	vvn	known	know	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vnderstanding	vnderstanding	n1	understanding	understanding	0
of	of	pp-f	of	of	0
mē	mē	n2	men	man	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
heauenly	heauenly	j	heavenly	heavenly	0
trueth	trueth	n1	truth	truth	0
iustifieth	iustifieth	vvz	justifieth	justifi	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
effects	effects	n2	effects	effect	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
power	power	n1	power	power	0
,	,	,	,	,	0
made	made	vvd	made	make	0
apparant	apparant	j	apparent	apparent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
&	&	cc	&	and	0
capacities	capacities	n2	capacities	capacity	0
of	of	pp-f	of	of	0
earthly	earthly	j	earthly	earthly	0
creatures	creatures	n2	creatures	creature	0
.	.	.	.	.	1
Adam	Adam	np1	Adam	Adam	0
not	not	xx	not	not	0
well	well	av	well	well	0
staid	staid	vvn	stayed	stay	0
vpō	vpō	p-acp	upon	upon	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
,	,	,	,	,	0
transgressed	transgressed	vvd	transgressed	transgress	0
the	the	dt	the	the	0
cōmandement	cōmandement	n1	commandment	commandment	0
,	,	,	,	,	0
&	&	cc	&	and	0
feeling	feeling	vvg	feeling	feel	0
the	the	dt	the	the	0
plagues	plagues	n2	plagues	plague	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
offence	offence	n1	offence	offence	0
,	,	,	,	,	0
had	had	vhd	had	have	0
thereby	thereby	av	thereby	thereby	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
power	power	n1	power	power	0
&	&	cc	&	and	0
trueth	trueth	n1	truth	truth	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Almightie	Almightie	j-jn	Almighty	almighty	0
Creator	Creator	n1	Creator	creator	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
worlde	worlde	n1	world	world	0
ouerflowing	ouerflowing	j-vvg	overflowing	overflow	0
in	in	p-acp	in	in	0
wickednesse	wickednesse	n1	wickedness	wickedness	0
,	,	,	,	,	0
was	was	vbds	was	be	0
drowned	drowned	vvn	drowned	drown	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
vengeance	vengeance	n1	vengeance	vengeance	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
geeue	geeue	vvi	geeue	give	0
experience	experience	n1	experience	experience	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
that	that	cst	that	that	0
ensued	ensued	vvd	ensued	ensue	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
temne	temne	vvb	temne	temne	0
his	his	po31	his	his	0
worde	worde	n1	word	word	0
and	and	cc	and	and	0
Prophets	Prophets	n2	Prophets	prophet	0
.	.	.	.	.	1
Noah	Noah	np1	Noah	Noah	0
beleeued	beleeued	vvd	believed	believe	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
obeying	obeying	vvg	obeying	obey	0
his	his	po31	his	his	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
prepared	prepared	vvd	prepared	prepare	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
&	&	cc	&	and	0
was	was	vbds	was	be	0
saued	saued	vvn	saved	save	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
flood	flood	n1	flood	flood	0
,	,	,	,	,	0
he	he	pns31	he	he	0
&	&	cc	&	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
family	family	n1	family	family	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
wher	wher	c-crq	where	where	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
to	to	pc-acp	to	to	0
vnderstand	vnderstand	vvi	understand	understand	0
the	the	dt	the	the	0
power	power	n1	power	power	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
∣	∣	sy	∣	∣	0
surance	surance	n1	surance	surance	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
trueth	trueth	n1	truth	truth	0
and	and	cc	and	and	0
fauour	fauour	n1	favour	favour	0
towarde	towarde	p-acp	toward	toward	0
his	his	po31	his	his	0
elect	elect	j-vvn	elect	elect	0
people	people	n1	people	people	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
willed	willed	vvd	willed	will	0
Moses	Moses	np1	Moses	Moses	0
to	to	pc-acp	to	to	0
denounce	denounce	vvi	denounce	denounce	0
his	his	po31	his	his	0
plagues	plagues	n2	plagues	plague	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
Egypt	Egypt	np1	Egypt	Egypt	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
power	power	n1	power	power	0
&	&	cc	&	and	0
trueth	trueth	n1	truth	truth	0
he	he	pns31	he	he	0
accomplished	accomplished	vvd	accomplished	accomplish	0
the	the	dt	the	the	0
same	same	d	same	same	0
vpon	vpon	p-acp	upon	upon	0
man	man	n1	man	man	0
and	and	cc	and	and	0
beast	beast	n1	beast	beast	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
fruit	fruit	n1	fruit	fruit	0
and	and	cc	and	and	0
tree	tree	n1	tree	tree	0
,	,	,	,	,	0
vpon	vpon	p-acp	upon	upon	0
earth	earth	n1	earth	earth	0
and	and	cc	and	and	0
water	water	n1	water	water	0
:	:	:	:	:	0
the	the	dt	the	the	0
experience	experience	n1	experience	experience	0
whereof	whereof	c-crq	whereof	whereof	0
made	made	vvd	made	make	0
Moses	Moses	np1	Moses	Moses	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Israelites	Israelites	np2	Israelites	Israelite	0
so	so	av	so	so	0
hardie	hardie	j	hardy	hardy	0
in	in	p-acp	in	in	0
fayth	fayth	n1	faith	faith	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
tooke	tooke	vvd	took	take	0
their	their	po32	their	their	0
way	way	n1	way	way	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
red	red	j-jn	read	red	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
fieldes	fieldes	n2	fields	field	0
on	on	p-acp	on	on	0
drie	drie	j	dry	dry	0
land	land	n1	land	land	0
.	.	.	.	.	1
Pharao	Pharao	np1	Pharao	Pharaoh	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hardnesse	hardnesse	n1	hardness	hardness	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
heart	heart	n1	heart	heart	0
pursued	pursued	vvd	pursued	pursue	0
the	the	pno32	thee	they	0
Is	Is	vbz	Is	be	0
∣	∣	sy	∣	∣	0
raelites	raelites	n2	raelites	raelite	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
he	he	pns31	he	he	0
and	and	cc	and	and	0
all	all	d	all	all	0
his	his	po31	his	his	0
armie	armie	n1	army	army	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pathes	pathes	n2	paths	path	0
where	where	c-crq	where	where	0
Iacob	Iacob	np1	Iacob	Jacob	0
went	went	vvd	went	go	0
