Most	Most	ds	Most	most	0
Gracious	Gracious	j	Gracious	gracious	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
reported	reported	vvn	reported	report	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ecclesiasticall	Ecclesiasticall	j	Ecclesiastical	ecclesiastical	0
History	History	n1	History	history	0
,	,	,	,	,	0
That	That	cst	That	that	0
when	when	c-crq	when	when	0
that	that	d	that	that	0
admira	admira	fw-gr	admira	admira	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Amphilochius	Amphilochius	np1	Amphilochius	Amphilochius	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Theo	Theo	np1	Theo	Theo	0
∣	∣	sy	∣	∣	0
doret	doret	n1	doret	doret	0
styles	styles	vvz	styles	style	0
him	him	pno31	him	he	0
)	)	)	)	)	0
Metropolitan	Metropolitan	j-jn	Metropolitan	metropolitan	0
of	of	pp-f	of	of	0
Lycaonia	Lycaonia	np1	Lycaonia	Lycaonia	0
,	,	,	,	,	0
Lb.	Lb.	np1	Lb.	Lb.	0
5.	5.	crd	5.	5.	0
c	c	sy	c	c	0
.	.	.	.	.	1
16.	16.	crd	16.	16.	0
had	had	vhd	had	have	0
supplicated	supplicated	vvn	supplicated	supplicate	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
Theodosius	Theodosius	np1	Theodosius	Theodosius	0
;	;	;	;	;	0
Ut	Ut	fw-it	Ut	ut	0
Ar	Ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
rianorum	rianorum	fw-la	rianorum	rianorum	0
coetus	coetus	fw-la	coetus	coetus	0
ex	ex	fw-la	ex	ex	0
urbibus	urbibus	fw-la	urbibus	urbibus	0
eji	eji	fw-la	eji	eji	0
∣	∣	sy	∣	∣	0
cerentur	cerentur	fw-la	cerentur	cerentur	0
,	,	,	,	,	0
i	i	uh	i	i	0
.	.	.	.	.	1
e	e	sy	e	e	0
.	.	.	.	.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
Congre	Congre	n1	Congre	congre	0
∣	∣	sy	∣	∣	0
gations	gations	n2	gations	gation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Arrians	Arrians	n2-jn	Arrians	arrian	0
,	,	,	,	,	0
might	might	n1	might	might	0
e	e	sy	e	e	0
thrust	thrust	vvb	thrust	thrust	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Cities	Cities	n2	Cities	city	0
;	;	;	;	;	0
And	And	cc	And	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
thinking	thinking	vvg	thinking	think	0
it	it	pn31	it	it	0
somewhat	somewhat	av	somewhat	somewhat	0
an	an	dt	and	a	0
unreasonable	unreasonable	j	unreasonable	unreasonable	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quest	quest	n1	quest	quest	0
)	)	)	)	)	0
had	had	vhd	had	have	0
denied	denied	vvn	denied	deny	0
his	his	po31	his	his	0
suite	suite	n1	suit	suit	0
;	;	;	;	;	0
How	How	c-crq	How	how	0
that	that	d	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Amphilo	Amphilo	np1	Amphilo	Amphilo	0
∣	∣	sy	∣	∣	0
chius	chius	n1	chius	chius	0
was	was	vbds	was	be	0
silent	silent	j	silent	silent	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
time	time	n1	time	time	0
;	;	;	;	;	0
Excogitata	Excogitata	np1	Excogitata	Excogitata	0
admirabili	admirabili	fw-la	admirabili	admirabili	0
arte	arte	fw-la	arte	arte	0
:	:	:	:	:	0
Having	Having	vhg	Having	have	0
besought	besought	vvn	besought	beseech	0
himselfe	himselfe	px31	himself	himself	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
device	device	n1	device	device	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
his	his	po31	his	his	0
purpose	purpose	n1	purpose	purpose	0
and	and	cc	and	and	0
designe	designe	n1	design	design	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
this	this	d	this	this	0
;	;	;	;	;	0
He	He	pns31	He	he	0
comming	comming	vvg	coming	come	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
er	er	c-acp	er	ere	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
and	and	cc	and	and	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
;	;	;	;	;	0
and	and	cc	and	and	0
sying	sying	vvg	sying	sie	0
Arcadius	Arcadius	np1	Arcadius	Arcadius	0
the	the	dt	the	the	0
young	young	j	young	young	0
Prince	Prince	n1	Prince	prince	0
(	(	(	(	(	0
and	and	cc	and	and	0
lately	lately	av-j	lately	late	0
designed	designed	vvd	designed	design	0
Caesar	Caesar	np1	Caesar	Caesar	0
)	)	)	)	)	0
standing	standing	vvg	standing	stand	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
Ipsum	Ipsum	fw-la	Ipsum	ipsum	0
quidem	quidem	fw-la	quidem	quidem	0
Imperatorem	Imperatorem	fw-la	Imperatorem	imperatorem	0
de	de	fw-la	de	de	0
more	more	fw-it	more	more	0
salutavit	salutavit	fw-la	salutavit	salutavit	0
,	,	,	,	,	0
nullo	nullo	n1	nullo	nullo	0
honore	honore	fw-la	honore	honore	0
habito	habito	fw-la	habito	habito	0
filio	filio	fw-la	filio	filio	0
,	,	,	,	,	0
i	i	uh	i	i	0
.	.	.	.	.	1
e	e	sy	e	e	0
.	.	.	.	.	1
He	He	pns31	He	he	0
saluted	saluted	vvd	saluted	salute	0
onely	onely	av-j	only	only	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
accor	accor	n1	accor	accor	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
no	no	dx	no	no	0
honour	honour	n1	honour	honour	0
nor	nor	ccx	nor	nor	0
respect	respect	n1	respect	respect	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
observing	observing	vvg	observing	observe	0
,	,	,	,	,	0
and	and	cc	and	and	0
sup	sup	vvi	sup	sup	0
∣	∣	sy	∣	∣	0
posing	posing	j	posing	posing	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
onely	onely	j	only	only	0
forgetfulnesse	forgetfulnesse	n1	forgetfulness	forgetfulness	0
in	in	p-acp	in	in	0
Amphilochius	Amphilochius	np1	Amphilochius	Amphilochius	0
:	:	:	:	:	0
He	He	pns31	He	he	0
puts	puts	vvz	puts	put	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
minde	minde	n1	mind	mind	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
bids	bids	vvz	bids	bid	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
approch	approch	vvi	approach	approach	0
neere	neere	av-j	near	near	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
Sonne	Sonne	n1	Son	son	0
also	also	av	also	also	0
,	,	,	,	,	0
ipsumque	ipsumque	fw-la	ipsumque	ipsumque	0
osculari	osculari	fw-la	osculari	osculari	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
greet	greet	vvi	greet	greet	0
him	him	pno31	him	he	0
too	too	av	too	too	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
which	which	r-crq	which	which	0
Amphilochius	Amphilochius	np1	Amphilochius	Amphilochius	0
replies	replies	vvz	replies	reply	0
;	;	;	;	;	0
That	That	cst	That	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
sufficient	sufficient	j	sufficient	sufficient	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
tendred	tendred	vvn	tendered	tender	0
his	his	po31	his	his	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
spect	spect	vvn	specked	speck	0
and	and	cc	and	and	0
done	done	vdn	done	do	0
his	his	po31	his	his	0
duty	duty	n1	duty	duty	0
to	to	p-acp	to	to	0
himselfe	himselfe	px31	himself	himself	0
.	.	.	.	.	1
Whereat	Whereat	c-crq	Whereat	whereat	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
being	being	vbg	being	be	0
moved	moved	vvn	moved	move	0
,	,	,	,	,	0
changes	changes	vvz	changes	change	0
his	his	po31	his	his	0
former	former	j	former	former	0
opinion	opinion	n1	opinion	opinion	0
;	;	;	;	;	0
and	and	cc	and	and	0
thinks	thinks	vvz	thinks	think	0
now	now	av	now	now	0
,	,	,	,	,	0
the	the	dt	the	the	0
neglect	neglect	n1	neglect	neglect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
then	then	cs	then	than	0
an	an	dt	and	a	0
affront	affront	n1	affront	affront	0
offered	offered	vvn	offered	offer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
alteration	alteration	n1	alteration	alteration	0
of	of	pp-f	of	of	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
with	with	p-acp	with	with	0
change	change	n1	change	change	0
of	of	pp-f	of	of	0
countenance	countenance	n1	countenance	countenance	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
Amphilochius	Amphilochius	np1	Amphilochius	Amphilochius	0
had	had	vhd	had	have	0
found	found	vvn	found	find	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
Theodosius	Theodosius	np1	Theodosius	Theodosius	0
:	:	:	:	:	0
He	He	pns31	He	he	0
unmaskes	unmaskes	vvz	unmasks	unmask	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
Et	Et	fw-la	Et	et	0
propositum	propositum	fw-la	propositum	propositum	0
sui	sui	fw-la	sui	svi	0
facti	facti	fw-la	facti	facti	0
declaravit	declaravit	fw-la	declaravit	declaravit	0
;	;	;	;	;	0
by	by	p-acp	by	by	0
manifesting	manifesting	vvg	manifesting	manifest	0
the	the	dt	the	the	0
drift	drift	n1	drift	drift	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
former	former	j	former	former	0
carriage	carriage	n1	carriage	carriage	0
.	.	.	.	.	1
Nam	Nam	fw-la	Nam	nam	0
cum	cum	fw-la	cum	cum	0
