Sheweth	Sheweth	vvz	Shows	show	0
,	,	,	,	,	0
THAT	THAT	cst	THAT	that	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
strictly	strictly	av-j	strictly	strict	0
obliged	obliged	vvn	obliged	oblige	0
,	,	,	,	,	0
and	and	cc	and	and	0
indispensa	indispensa	fw-la	indispensa	indispensa	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
bound	bound	vvn	bound	bind	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
sent	sent	vvn	sent	send	0
a	a	dt	a	a	0
messenger	messenger	n1	messenger	messenger	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
instruct	instruct	vvi	instruct	instruct	0
his	his	po31	his	his	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
called	called	vvn	called	call	0
by	by	p-acp	by	by	0
His	His	po31	His	his	0
late	late	j	late	late	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesty	jesty	j	jesty	jesty	0
,	,	,	,	,	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
most	most	av-ds	most	most	0
Glorious	Glorious	j	Glorious	glorious	0
Martyr	Martyr	n1	Martyr	martyr	0
,	,	,	,	,	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
ever	ever	av	ever	ever	0
blessed	blessed	j-vvn	blessed	bless	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Ossorie	Ossorie	j	Ossorie	ossorie	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
Remonstrance	Remonstrance	n1	Remonstrance	remonstrance	0
unto	unto	p-acp	unto	unto	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
now-Convened	now-Convened	j	now-Convened	now-convened	0
Parliament	Parliament	n1	Parliament	parliament	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Posterity	Posterity	n1	Posterity	posterity	0
,	,	,	,	,	0
these	these	d	these	these	0
few	few	d	few	few	0
Subsequent	Subsequent	j	Subsequent	subsequent	0
things	things	n2	things	thing	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
,	,	,	,	,	0
First	First	ord	First	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
since	since	c-acp	since	since	0
1625.	1625.	crd	1625.	1625.	1
I	I	pns11	I	i	0
lived	lived	vvd	lived	live	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
ever-honoured	ever-honoured	j	ever-honoured	ever-honoured	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
the	the	dt	the	the	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Pembroke	Pembroke	np1	Pembroke	Pembroke	0
and	and	cc	and	and	0
Mountgomery	Mountgomery	np1	Mountgomery	Mountgomery	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
His	His	po31	His	his	0
Majestie's	Majestie's	n1|vbz	Majesty's	majesty|be	0
house	house	n1	house	house	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Cock-Pit	Cock-Pit	n1	Cock-Pit	cockpit	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
eighteen	eighteen	crd	eighteen	eighteen	0
years	years	n2	years	year	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
seven	seven	crd	seven	seven	0
years	years	n2	years	year	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
time	time	n1	time	time	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
His	His	po31	His	his	0
Majestie's	Majestie's	n1|vbz	Majesty's	majesty|be	0
service	service	n1	service	service	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
respect	respect	n1	respect	respect	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
fitter	fitter	jc	fitter	fit	0
oppor	oppor	n1	oppor	oppor	0
∣	∣	sy	∣	∣	0
tunity	tunity	n1	tunity	tunity	0
to	to	p-acp	to	to	0
observe	observe	vvi	observe	observe	0
His	His	po31	His	his	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
the	the	dt	the	the	0
affairs	affairs	n2	affairs	affair	0
,	,	,	,	,	0
and	and	cc	and	and	0
Trans-actions	Trans-actions	n2	Transactions	transaction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
better	better	av-jc	better	better	0
then	then	cs	then	than	0
most	most	av-ds	most	most	0
others	others	ng2-jn	others	other	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jestie's	jestie's	ng1	jestie's	jestie	0
Chaplains	Chaplains	n2	Chaplains	chaplain	0
,	,	,	,	,	0
that	that	cst	that	that	0
waited	waited	vvd	waited	wait	0
only	only	av-j	only	only	0
their	their	po32	their	their	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
Moneth	Moneth	n1	Month	month	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
returned	returned	vvd	returned	return	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
residence	residence	n1	residence	residence	0
.	.	.	.	.	1
And	And	cc	And	and	0
mine	mine	po11	mine	my	0
Obligations	Obligations	n2	Obligations	obligation	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
late	late	j	late	late	0
Majestie	Majestie	n1	Majesty	majesty	0
are	are	vbr	are	be	0
so	so	av	so	so	0
many	many	d	many	many	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
great	great	j	great	great	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
endeavours	endeavours	n2	endeavours	endeavour	0
discharge	discharge	vvb	discharge	discharge	0
the	the	dt	the	the	0
Dimidium	Dimidium	fw-la	Dimidium	dimidium	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
duties	duties	n2	duties	duty	0
,	,	,	,	,	0
that	that	cst	that	that	0
low	low	av-j	low	low	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
blessed	blessed	j-vvn	blessed	bless	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
King	King	n1	King	king	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
gave	gave	vvd	gave	give	0
me	me	pno11	me	i	0
all	all	d	all	all	0
that	that	d	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
the	the	dt	the	the	0
late	late	j	late	late	0
Arch	Arch	j	Arch	arch	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Canterbury	Canterbury	np1	Canterbury	Canterbury	0
provided	provided	vvd	provided	provide	0
,	,	,	,	,	0
and	and	cc	and	and	0
commended	commended	vvd	commended	commend	0
to	to	p-acp	to	to	0
His	His	po31	His	his	0
Majestie	Majestie	n1	Majesty	majesty	0
a	a	dt	a	a	0
far	far	av-j	far	far	0
better	better	jc	better	better	0
,	,	,	,	,	0
and	and	cc	and	and	0
abler	abler	jc	abler	able	0
