Courteous	Courteous	j	Courteous	courteous	0
Reader	Reader	n1	Reader	reader	0
I	I	pns11	I	i	0
Know	Know	vvb	Know	know	0
not	not	xx	not	not	0
into	into	p-acp	into	into	0
whose	whose	rg-crq	whose	who	0
hands	hands	n2	hands	hand	0
this	this	d	this	this	0
my	my	po11	my	my	0
smal	smal	j	small	small	0
Booke	Booke	n1	Book	book	0
may	may	vmb	may	may	0
light	light	vvi	light	light	0
into	into	p-acp	into	into	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
so	so	av	so	so	0
much	much	av-d	much	much	0
a	a	dt	a	a	0
cofindence	cofindence	n1	cofindence	cofindence	0
in	in	p-acp	in	in	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
that	that	cst	that	that	0
heel	heel	n1	heel	heel	0
never	never	av-x	never	never	0
shame	shame	vvi	shame	shame	0
his	his	po31	his	his	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
be	be	vbi	be	be	0
ashamed	ashamed	j	ashamed	ashamed	0
to	to	pc-acp	to	to	0
own	own	vvi	own	own	0
him	him	pno31	him	he	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
disliking	disliking	j-vvg	disliking	dislike	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pa	pa	n1	pa	pa	0
∣	∣	sy	∣	∣	0
let	let	n1	let	let	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Man	Man	n1	Man	man	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Booke	Booke	n1	Book	book	0
,	,	,	,	,	0
let	let	vvb	let	let	0
him	him	pno31	him	he	0
not	not	xx	not	not	0
unload	unload	vvi	unload	unload	0
his	his	po31	his	his	0
stomack	stomack	n1	stomach	stomach	0
openly	openly	av-j	openly	open	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
will	will	vmb	will	will	0
but	but	cc-acp	but	but	0
shew	shew	vvb	show	show	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
foule	foule	j	foul	foul	0
inside	inside	av-an	inside	inside	0
,	,	,	,	,	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
carries	carries	vvz	carries	carry	0
a	a	dt	a	a	0
fair	fair	j	fair	fair	0
outside	outside	av-an	outside	outside	0
,	,	,	,	,	0
this	this	d	this	this	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
Cordiall	Cordiall	n1	Cordial	cordial	0
gathered	gathered	vvn	gathered	gather	0
from	from	p-acp	from	from	0
Truths	Truths	ng1	Truths	truth	0
Garden	Garden	n1	Garden	garden	0
,	,	,	,	,	0
the	the	dt	the	the	0
Scripture	Scripture	n1	Scripture	scripture	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
hearbs	hearbs	n2	herbs	herb	0
that	that	cst	that	that	0
