RAther	RAther	av-c	RAther	rather	0
then	then	cs	then	than	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
should	should	vmd	should	shall	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
patience	patience	n1	patience	patience	0
and	and	cc	and	and	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
desty	desty	n1	desty	desty	0
,	,	,	,	,	0
suffer	suffer	vvb	suffer	suffer	0
his	his	po31	his	his	0
bloud	bloud	n1	blood	blood	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
thus	thus	av	thus	thus	0
hunted	hunted	vvn	hunted	hunt	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
last	last	ord	last	last	0
drop	drop	n1	drop	drop	0
(	(	(	(	(	0
though	though	cs	though	though	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
own	own	d	own	own	0
part	part	n1	part	part	0
I	I	pns11	I	i	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
ver	ver	fw-la	ver	ver	0
saw	saw	vvd	saw	see	0
his	his	po31	his	his	0
face	face	n1	face	face	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
having	having	vhg	having	have	0
seen	seen	vvn	seen	see	0
the	the	dt	the	the	0
transactions	transactions	n2	transactions	transaction	0
and	and	cc	and	and	0
prosecutions	prosecutions	n2	prosecutions	prosecution	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
busi	busi	n1	busi	busi	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
write	write	vvi	write	write	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
contradict	contradict	vvi	contradict	contradict	0
,	,	,	,	,	0
provoke	provoke	vvb	provoke	provoke	0
,	,	,	,	,	0
contend	contend	vvb	contend	contend	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
or	or	cc	or	or	0
exasperate	exasperate	vvi	exasperate	exasperate	0
the	the	dt	the	the	0
pen	pen	n1	pen	pen	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
,	,	,	,	,	0
But	But	cc-acp	But	but	0
to	to	p-acp	to	to	0
state	state	n1	state	state	0
the	the	dt	the	the	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
sentence	sentence	n1	sentence	sentence	0
and	and	cc	and	and	0
crime	crime	n1	crime	crime	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
coniuncture	coniuncture	n1	conjuncture	conjuncture	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
so	so	av	so	so	0
many	many	av-d	many	many	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
the	the	dt	the	the	0
excellent	excellent	j	excellent	excellent	0
iustice	iustice	n1	justice	justice	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
honourable	honourable	j	honourable	honourable	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
War	War	n1	War	war	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
commen	commen	j	come	common	0
∣	∣	sy	∣	∣	0
surate	surate	j	surate	surate	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
very	very	j	very	very	0
letter	letter	n1	letter	letter	0
and	and	cc	and	and	0
article	article	n1	article	article	0
of	of	pp-f	of	of	0
war	war	n1	war	war	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
candid	candid	j	candid	candid	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Generall	Generall	n1	General	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
Supream	Supream	j	Supreme	supreme	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Councell	Councell	n1	Council	council	0
in	in	p-acp	in	in	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
mitting	mitting	vvg	mitting	mit	0
the	the	dt	the	the	0
sentence	sentence	n1	sentence	sentence	0
upon	upon	p-acp	upon	upon	0
iust	iust	j	just	just	0
and	and	cc	and	and	0
honourable	honourable	j	honourable	honourable	0
grounds	grounds	n2	grounds	ground	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
appears	appears	vvz	appears	appear	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
appears	appears	vvz	appears	appear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
am	am	vbm	am	be	0
sorry	sorry	j	sorry	sorry	0
the	the	dt	the	the	0
designe	designe	n1	design	design	0
of	of	pp-f	of	of	0
Malignants	Malignants	n2	Malignants	malignant	0
should	should	vmd	should	shall	0
so	so	av	so	so	0
secretly	secretly	av-jn	secretly	secret	0
and	and	cc	and	and	0
cunningly	cunningly	av-jn	cunningly	cunning	0
,	,	,	,	,	0
winde	winde	n1	wind	wind	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
iudgment	iudgment	n1	judgement	judgement	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
good	good	j	good	good	0
men	men	n2	men	man	0
amongst	amongst	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
un	un	fw-it	un	un	0
∣	∣	sy	∣	∣	0
discerned	discerned	vvn	discerned	discern	0
,	,	,	,	,	0
and	and	cc	and	and	0
unobserved	unobserved	j	unobserved	unobserved	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
