THe	THe	dt	THe	the	0
great	great	j	great	great	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
and	and	cc	and	and	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
made	made	vvd	made	make	0
what	what	r-crq	what	what	0
ever	ever	av	ever	ever	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
stamped	stamped	vvn	stamped	stamp	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
cha	cha	pns11|vhb	cham	I|have	0
∣	∣	sy	∣	∣	0
racters	racters	n2	racters	racter	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
glory	glory	n1	glory	glory	0
on	on	p-acp	on	on	0
man	man	n1	man	man	0
,	,	,	,	,	0
then	then	av	then	then	0
on	on	p-acp	on	on	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
sublunary	sublunary	j	sublunary	sublunary	0
creatures	creatures	n2	creatures	creature	0
besides	besides	a-acp	beside	beside	0
:	:	:	:	:	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
making	making	vvg	making	make	0
him	him	pno31	him	he	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
works	works	n2	works	work	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
giving	giving	vvg	giving	give	0
him	him	pno31	him	he	0
understanding	understanding	n1	understanding	understanding	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
the	the	dt	the	the	0
beasts	beasts	n2	beasts	beast	0
;	;	;	;	;	0
whereby	whereby	c-crq	whereby	whereby	0
,	,	,	,	,	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
be	be	vbi	be	be	0
able	able	j	able	able	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
earthly	earthly	j	earthly	earthly	0
Monarch	Monarch	n1	Monarch	monarch	0
to	to	pc-acp	to	to	0
rule	rule	vvi	rule	rule	0
