Noble	Noble	j	Noble	noble	0
and	and	cc	and	and	0
Worthy	Worthy	j	Worthy	worthy	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
WHose	WHose	r-crq	WHose	who	0
true	true	j	true	true	0
faithfulness	faithfulness	n1	faithfulness	faithfulness	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Valour	Valour	n1	Valour	valour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Wars	Wars	n2	Wars	war	0
under	under	p-acp	under	under	0
∣	∣	sy	∣	∣	0
taken	taken	vvn	taken	take	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
the	the	dt	the	the	0
best	best	js	best	best	0
King	King	n1	King	king	0
on	on	p-acp	on	on	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
And	And	cc	And	and	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
blame	blame	vvb	blame	blame	0
not	not	xx	not	not	0
all	all	d	all	all	0
the	the	dt	the	the	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
,	,	,	,	,	0
and	and	cc	and	and	0
Commissioned	Commissioned	np1	Commissioned	Commissioned	0
Officers	Officers	n2	Officers	officer	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
very	very	av	very	very	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
very	very	av	very	very	0
honest	honest	j	honest	honest	0
,	,	,	,	,	0
&	&	cc	&	and	0
very	very	av	very	very	0
religious	religious	j	religious	religious	0
men	men	n2	men	man	0
;	;	;	;	;	0
and	and	cc	and	and	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
have	have	vhb	have	have	0
told	told	vvn	told	tell	0
me	me	pno11	me	i	0
,	,	,	,	,	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
dle	dle	n1	dle	dle	0
and	and	cc	and	and	0
wish	wish	vvi	wish	wish	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
that	that	cst	that	that	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
∣	∣	sy	∣	∣	0
diers	diers	zz	diers	diers	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
meddle	meddle	vvi	meddle	meddle	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
lands	lands	n2	lands	land	0
or	or	cc	or	or	0
houses	houses	n2	houses	house	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
.	.	.	.	.	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
preserve	preserve	vvi	preserve	preserve	0
his	his	po31	his	his	0
undubitable	undubitable	j	undubitable	undubitable	0
Right	Right	n-jn	Right	right	0
unsnatched	unsnatched	vvd	unsnatched	unsnatch	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
wicked	wicked	j	wicked	wicked	0
Rebels	Rebels	n2	Rebels	rebel	0
;	;	;	;	;	0
doth	doth	vdz	does	do	0
undoubtedly	undoubtedly	av-vvn-u	undoubtedly	undoubted	0
merit	merit	vvi	merit	merit	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
judgement	judgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
men	men	n2	men	man	0
,	,	,	,	,	0
no	no	dx	no	no	0
small	small	j	small	small	0
Reward	Reward	n1	Reward	reward	0
,	,	,	,	,	0
far	far	av-j	far	far	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
the	the	dt	the	the	0
reach	reach	n1	reach	reach	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
under	under	a-acp	under	under	0
∣	∣	sy	∣	∣	0
standing	standing	vvg	standing	stand	0
can	can	vmb	can	can	0
express	express	vvi	express	express	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
must	must	vmb	must	must	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
leave	leave	n1	leave	leave	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
That	That	cst	That	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
heartily	heartily	av-j	heartily	hearty	0
sorry	sorry	j	sorry	sorry	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
man	man	n1	man	man	0
could	could	vmd	could	can	0
justly	justly	av-j	justly	just	0
say	say	vvi	say	say	0
,	,	,	,	,	0
That	That	cst	That	that	0
your	your	po22	your	your	0
great	great	j	great	great	0
Deserts	Deserts	n2	Deserts	desert	0
were	were	vbdr	were	be	0
any	any	d	any	any	0
wayes	wayes	n2	ways	way	0
stained	stained	vvn	stained	stain	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
tincture	tincture	n1	tincture	tincture	0
of	of	pp-f	of	of	0
Sacriledge	Sacriledge	n1	Sacrilege	sacrilege	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
I	I	pns11	I	i	0
assure	assure	vvb	assure	assure	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
never	never	av-x	never	never	0
permit	permit	vvi	permit	permit	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
conceived	conceived	vvd	conceived	conceive	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
least	least	ds	least	least	0
affinity	affinity	n1	affinity	affinity	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
ugly	ugly	j	ugly	ugly	0
Bastard-Brat	Bastard-Brat	n1	Bastard-Brat	bastard-brat	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
undertaken	undertaken	vvn	undertaken	undertake	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sincerity	sincerity	n1	sincerity	sincerity	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Conscience	Conscience	n1	Conscience	conscience	0
,	,	,	,	,	0
and	and	cc	and	and	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
and	and	cc	and	and	0
uttermost	uttermost	j	uttermost	uttermost	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
ill	ill	j-jn	ill	ill	0
thought	thought	n1	thought	thought	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
all	all	d	all	all	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
least	least	av-ds	least	least	0
covetous	covetous	j	covetous	covetous	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
inoffensively	inoffensively	av-j	inoffensively	inoffensive	0
your	your	po22	your	your	0
due	due	j-jn	due	due	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
the	the	dt	the	the	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ty	ty	vvi	ty	tie	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
compose	compose	vvi	compose	compose	0
this	this	d	this	this	0
subse	subse	n1	subse	subse	0
∣	∣	sy	∣	∣	0
quent	quent	j	quent	quent	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
Sacriledge	Sacriledge	n1	Sacrilege	sacrilege	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
hor	hor	uh	hor	hor	0
∣	∣	sy	∣	∣	0
rible	rible	j	rible	rible	0
&	&	cc	&	and	0
how	how	c-crq	how	how	0
odious	odious	j	odious	odious	0
a	a	dt	a	a	0
sin	sin	n1	since	sin	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
how	how	c-crq	how	how	0
dero	dero	fw-la	dero	dero	0
∣	∣	sy	∣	∣	0
gatory	gatory	n1	gatory	gatory	0
and	and	cc	and	and	0
prejudicial	prejudicial	j	prejudicial	prejudicial	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Honour	Honour	n1	Honour	honour	0
and	and	cc	and	and	0
Service	Service	n1	Service	service	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
dangerous	dangerous	j	dangerous	dangerous	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
it	it	pn31	it	it	0
damnifieth	damnifieth	vvz	damnifieth	damnifi	0
those	those	d	those	those	0
that	that	cst	that	that	0
commit	commit	vvb	commit	commit	0
it	it	pn31	it	it	0
;	;	;	;	;	0
the	the	dt	the	the	0
same	same	d	same	same	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
Canker	Canker	n1	Canker	canker	0
,	,	,	,	,	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
eat	eat	vvi	eat	eat	0
,	,	,	,	,	0
and	and	cc	and	and	0
consume	consume	vvi	consume	consume	0
,	,	,	,	,	0
all	all	d	all	all	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
many	many	d	many	many	0
Generations	Generations	n2	Generations	generation	0
pass	pass	vvi	pass	pass	0
away	away	av	away	away	0
;	;	;	;	;	0
a	a	dt	a	a	0
sword	sword	n1	sword	sword	0
,	,	,	,	,	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
cut	cut	vvi	cut	cut	0
down	down	a-acp	down	down	0
