FƲnerals	FƲnerals	ng1	FƲnerals	fʋnerals	0
may	may	vmb	may	may	0
well	well	av	well	well	0
be	be	vbi	be	be	0
stiled	stiled	vvn	styled	style	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
Sacraments	Sacraments	n2	Sacraments	sacrament	0
)	)	)	)	)	0
Vi	Vi	crd	Vi	vi	0
∣	∣	sy	∣	∣	0
sible	sible	j-u	sible	sible	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
teach	teach	vvb	teach	teach	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Eye	Eye	n1	Eye	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
outward	outward	j	outward	outward	0
Senses	Senses	n2	Senses	sense	0
.	.	.	.	.	1
The	The	dt	The	the	0
Dead	Dead	j	Dead	dead	0
speak	speak	vvi	speak	speak	0
aloud	aloud	av	aloud	aloud	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Living	Living	j-vvg	Living	live	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Glass	Glass	n1	Glass	glass	0
,	,	,	,	,	0
represent	represent	vvi	represent	represent	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
what	what	r-crq	what	what	0
their	their	po32	their	their	0
condition	condition	n1	condition	condition	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
circulation	circulation	n1	circulation	circulation	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
little	little	j	little	little	0
time	time	n1	time	time	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
.	.	.	.	.	1
Shortly	Shortly	np1	Shortly	Shortly	0
,	,	,	,	,	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
Silence	Silence	n1	Silence	silence	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
others	others	ng2-jn	others	other	0
fall	fall	vvb	fallen	fall	0
before	before	p-acp	before	before	0
us	us	pno12	us	we	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
easily	easily	av-j	easily	easy	0
and	and	cc	and	and	0
naturally	naturally	av-j	naturally	natural	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
infer'd	infer'd	vvn	inferred	infer	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
standing	standing	j-vvg	standing	stand	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
long	long	j	long	long	0
after	after	p-acp	after	after	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
how	how	c-crq	how	how	0
apt	apt	j	apt	apt	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
to	to	pc-acp	to	to	0
flatter	flatter	vvi	flatter	flatter	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
spinning	spinning	vvg	spinning	spin	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Thred	Thred	n1	Thread	thread	0
of	of	pp-f	of	of	0
Life	Life	n1	Life	life	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
great	great	j	great	great	0
length	length	n1	length	length	0
!	!	!	!	!	1
A	A	dt	A	a	0
man	man	n1	man	man	0
would	would	vmd	would	will	0
wonder	wonder	vvi	wonder	wonder	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Wilderness	Wilderness	n1	Wilderness	wilderness	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
so	so	av	so	so	0
many	many	d	many	many	0
Thousands	Thousands	crd	Thousands	thousand	0
died	died	vvn	died	die	0
,	,	,	,	,	0
Moses	Moses	np1	Moses	Moses	0
should	should	vmd	should	shall	0
then	then	av	then	then	0
pray	pray	vvi	pray	pray	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
so	so	av	so	so	0
teach	teach	vvb	teach	teach	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
number	number	vvi	number	number	0
our	our	po12	our	our	0
days	days	n2	days	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
apply	apply	vvi	apply	apply	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
unto	unto	p-acp	unto	unto	0
wisdom	wisdom	n1	wisdom	wisdom	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
90.12	90.12	crd	90.12	90.12	0
.	.	.	.	.	1
If	If	cs	If	if	0
they	they	pns32	they	they	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
so	so	av	so	so	0
many	many	d	many	many	0
dying	dying	j-vvg	dying	die	0
Objects	Objects	n2	Objects	object	0
continually	continually	av-j	continually	continual	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	a-acp	before	fore	0
them	them	pno32	them	they	0
,	,	,	,	,	0
needed	needed	vvd	needed	need	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
stirred	stirred	vvn	stirred	stir	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
man	man	n1	man	man	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
,	,	,	,	,	0
surely	surely	av-j	surely	sure	0
much	much	d	much	much	0
more	more	dc	more	more	0
have	have	vhb	have	have	0
we	we	pns12	we	we	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
such	such	d	such	such	0
spectacles	spectacles	n2	spectacles	spectacle	0
(	(	(	(	(	0
though	though	cs	though	though	0
many	many	d	many	many	0
)	)	)	)	)	0
are	are	vbr	are	be	0
more	more	av-dc	more	more	0
infrequent	infrequent	j	infrequent	infrequent	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
Correct	Correct	n1	Correct	correct	0
this	this	d	this	this	0
folly	folly	n1	folly	folly	0
and	and	cc	and	and	0
madness	madness	n1	madness	madness	0
which	which	r-crq	which	which	0
possesseth	possesseth	vvz	possesses	possess	0
the	the	dt	the	the	0
hearts	hearts	n2	hearts	heart	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
live	live	vvb	live	live	0
,	,	,	,	,	0
Eccles.	Eccles.	np1	Eccles.	Eccles.	1
9.3	9.3	crd	9.3	9.3	0
.	.	.	.	.	1
Who	Who	q-crq	Who	who	0
turn	turn	vvb	turn	turn	0
away	away	av	away	away	0
their	their	po32	their	their	0
