NO	NO	dx	NO	no	0
heart	heart	n1	heart	heart	0
can	can	vmb	can	can	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
conceiue	conceiue	vvi	conceive	conceive	0
,	,	,	,	,	0
much	much	av-d	much	much	0
lesse	lesse	av-dc	less	less	0
anie	anie	d	any	any	0
tōgue	tōgue	n1	tongue	tongue	0
is	is	vbz	is	be	0
able	able	j	able	able	0
with	with	p-acp	with	with	0
words	words	n2	words	word	0
to	to	pc-acp	to	to	0
expresse	expresse	vvi	express	express	0
,	,	,	,	,	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
cō	cō	vvb	con	con	0
¦	¦	sy	¦	¦	0
fort	fort	n1	fort	fort	0
,	,	,	,	,	0
ioy	ioy	n1	joy	joy	0
and	and	cc	and	and	0
vtilitie	vtilitie	n1	utility	utility	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
daungerous	daungerous	j	dangerous	dangerous	0
pilgrimage	pilgrimage	n1	pilgrimage	pilgrimage	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
27.4	27.4	crd	27.4	27.4	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
beholding	beholding	vvg	beholding	behold	0
the	the	dt	the	the	0
faire	faire	j	fair	fair	0
beautie	beautie	n1	beauty	beauty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
visiting	visiting	vvg	visiting	visit	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
Temple	Temple	n1	Temple	temple	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
learning	learning	vvg	learning	learn	0
his	his	po31	his	his	0
dutie	dutie	n1	duty	duty	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
,	,	,	,	,	0
his	his	po31	his	his	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
neighbours	neighbours	n2	neighbours	neighbour	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
expressed	expressed	vvn	expressed	express	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
great	great	j	great	great	0
weight	weight	n1	weight	weight	0
and	and	cc	and	and	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
deliuer	deliuer	vvi	deliver	deliver	0
vs	vs	pno12	us	we	0
from	from	p-acp	from	from	0
euerie	euerie	d	every	every	0
euill	euill	j-jn	evil	evil	0
worke,2	worke,2	n1	worke,2	worke,2	0
.	.	.	.	.	1
Tim.	Tim.	np1	Tim.	Tim.	0
4.18	4.18	crd	4.18	4.18	0
.	.	.	.	.	0
quencheth	quencheth	vvz	quenches	quench	0
all	all	d	all	all	0
the	the	dt	the	the	0
firie	firie	j	firy	fiery	0
darts	darts	n2	darts	dart	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wicked	wicked	j	wicked	wicked	0
,	,	,	,	,	0
checketh	checketh	vvz	checketh	check	0
and	and	cc	and	and	0
choketh	choketh	vvz	choketh	choke	0
all	all	d	all	all	0
fickle	fickle	j	fickle	fickle	0
and	and	cc	and	and	0
transitorie	transitorie	j	transitory	transitory	0
vanities	vanities	n2	vanities	vanity	0
,	,	,	,	,	0
and	and	cc	and	and	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
keth	keth	zz	keth	keth	0
glad	glad	j	glad	glad	0
,	,	,	,	,	0
cheereth	cheereth	vvz	cheereth	cheer	0
and	and	cc	and	and	0
cherisheth	cherisheth	vvz	cherishes	cherish	0
the	the	dt	the	the	0
conscience	conscience	n1	conscience	conscience	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
changes	changes	n2	changes	change	0
and	and	cc	and	and	0
chaunces	chaunces	n2	chances	chance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
mortall	mortall	j-jn	mortal	mortal	0
life	life	n1	life	life	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
singular	singular	j	singular	singular	0
force	force	n1	force	force	0
and	and	cc	and	and	0
operation	operation	n1	operation	operation	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
4.12	4.12	crd	4.12	4.12	0
.	.	.	.	.	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
entreth	entreth	vvz	entereth	enter	0
through	through	p-acp	through	through	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
saith	saith	vvz	says	say	0
)	)	)	)	)	0
euen	euen	av	even	even	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
diuiding	diuiding	vvg	dividing	divide	0
asunder	asunder	av	asunder	asunder	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ioynts	ioynts	n2	joints	joint	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
marrow	marrow	n1	marrow	marrow	0
,	,	,	,	,	0
purifying	purifying	n-vvg	purifying	purify	0
our	our	po12	our	our	0
