GENTLEMEN	GENTLEMEN	np1	GENTLEMEN	Gentlemen	0
THE	THE	dt	THE	the	0
generall	generall	j	general	general	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
match	match	n1	match	match	0
∣	∣	sy	∣	∣	0
lesse	lesse	av-dc	less	less	0
history	history	n1	history	history	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
sought	sought	vvn	sought	seek	0
after	after	a-acp	after	after	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
vnderstand	vnderstand	vvb	understand	understand	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
well	well	av	well	well	0
vnder	vnder	p-acp	under	under	0
∣	∣	sy	∣	∣	0
stood	stood	vvd	stood	stand	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
best	best	av-j	best	best	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
their	their	po32	their	their	0
iudgment	iudgment	n1	judgement	judgement	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
and	and	cc	and	and	0
professours	professours	n2	professors	professor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Art	Art	n1	Art	art	0
military	military	j	military	military	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
,	,	,	,	,	0
are	are	vbr	are	be	0
vnskilfull	vnskilfull	j	unskilful	unskilful	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latin	latin	jp	latin	latin	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
the	the	dt	the	the	0
language	language	n1	language	language	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
first	first	ord	first	first	0
this	this	d	this	this	0
history	history	n1	history	history	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
light	light	vvi	light	light	0
;	;	;	;	;	0
was	was	vbds	was	be	0
a	a	av	a	a	0
motiue	motiue	n1	motive	motive	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
proper	proper	j	proper	proper	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
subiect	subiect	n-jn	subject	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
profession	profession	n1	profession	profession	0
.	.	.	.	.	1
And	And	np1	And	And	0
,	,	,	,	,	0
houbeit	houbeit	n1	houbeit	houbeit	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
ben	ben	vbn	been	be	0
halfe	halfe	av-jn	half	half	0
perswaded	perswaded	vvn	persuaded	persuade	0
by	by	p-acp	by	by	0
diuers	diuers	j	diverse	diverse	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
freinds	freinds	n2	friends	friend	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
present	present	j	present	present	0
ill	ill	n-jn	ill	ill	0
accepted	accepted	vvn	accepted	accept	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
authors	authors	ng1	authors	author	0
sake	sake	n1	sake	sake	0
who	who	r-crq	who	who	0
first	first	ord	first	first	0
compiled	compiled	vvd	compiled	compile	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
latin	latin	jp	latin	latin	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
subiect	subiect	n-jn	subject	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
history	history	n1	history	history	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
treateth	treateth	vvz	treateth	treat	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
action	action	n1	actium	action	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
most	most	av-ds	most	most	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
professe	professe	vvb	profess	profess	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
enemyes	enemyes	n2	enemies	enemy	0
in	in	p-acp	in	in	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
actually	actually	av-j	actually	actual	0
thew	thew	n1	thew	thew	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
