Worshipfull	Worshipfull	j	Worshipful	worshipful	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THere	THere	pc-acp	THere	there	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
remar	remar	n1	remar	remar	0
∣	∣	sy	∣	∣	0
kable	kable	j	kable	kable	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
licie	licie	n1	licie	licie	0
which	which	q-crq	which	which	0
are	are	vbr	are	be	0
used	used	vvn	used	use	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Trueth	Trueth	n1	Truth	truth	0
the	the	dt	the	the	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
pists	pists	vvz	pists	pist	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
bearing	bearing	vvg	bearing	bear	0
down	down	a-acp	down	down	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
upholding	upholding	vvg	upholding	uphold	0
the	the	dt	the	the	0
Dagon	Dagon	np1	Dagon	Dagon	0
&	&	cc	&	and	0
Diana	Diana	np1	Diana	Diana	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
idolatrous	idolatrous	j	idolatrous	idolatrous	0
worship	worship	n1	worship	worship	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
claime	claime	n1	claim	claim	0
of	of	pp-f	of	of	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
nerable	nerable	j	nerable	nerable	0
.	.	.	.	.	1
Antiquitie	Antiquitie	n1	Antiquity	antiquity	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
only	only	j	only	only	0
on	on	p-acp	on	on	0
their	their	po32	their	their	0
,	,	,	,	,	0
side	side	n1	side	side	0
,	,	,	,	,	0
being	being	vbg	being	be	0
herein	herein	av	herein	herein	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Gibeonites	Gibeonites	np1	Gibeonites	Gibeonites	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
tho	tho	cs	though	though	0
they	they	pns32	they	they	0
dwelt	dwelt	vvd	dwelled	dwell	0
near	near	av-j	near	near	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
pretē	pretē	vvb	preten	preten	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
wer	wer	vbdr	were	be	0
come	come	vvn	come	come	0
frō	frō	p-acp	from	from	0
a	a	dt	a	a	0
far	far	j	far	far	0
,	,	,	,	,	0
or	or	cc	or	or	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Pharisees	Pharisees	np2	Pharisees	Pharisee	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
deryved	deryved	j	deryved	deryved	0
the	the	dt	the	the	0
leaven	leaven	n1	leaven	leaven	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
new	new	j	new	new	0
and	and	cc	and	and	0
corrupt	corrupt	j	corrupt	corrupt	0
doctrine	doctrine	n1	doctrine	doctrine	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
chayre	chayre	n1	chair	chair	0
of	of	pp-f	of	of	0
Moses	Moses	np1	Moses	Moses	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
.	.	.	.	.	1
The	The	dt	The	the	0
second	second	ord	second	second	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
imputation	imputation	n1	imputation	imputation	0
of	of	pp-f	of	of	0
No	No	dx	No	no	0
∣	∣	sy	∣	∣	0
veltie	veltie	n1	veltie	veltie	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
laying	laying	vvg	laying	lay	0
that	that	d	that	that	0
foule	foule	j	foul	foul	0
as	as	p-acp	as	as	0
∣	∣	sy	∣	∣	0
persion	persion	n1	persion	persion	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
faire	faire	j	fair	fair	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
trueth	trueth	n1	truth	truth	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
profession	profession	n1	profession	profession	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
tho	tho	cs	though	though	0
like	like	av-j	like	like	0
Elihues	Elihues	npg1	Elihues	elihues	0
confession	confession	n1	confession	confession	0
of	of	pp-f	of	of	0
himself	himself	px31	himself	himself	0
Iob	Iob	np1	Iob	Job	0
,	,	,	,	,	0
32.	32.	crd	32.	32.	0
6.	6.	crd	6.	6.	1
)	)	)	)	)	0
the	the	dt	the	the	0
same	same	d	same	same	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
young	young	j	young	young	0
and	and	cc	and	and	0
of	of	a-acp	of	off	0
yesterday	yesterday	av-an	yesterday	yesterday	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
theirs	theirs	png32	theirs	they	0
(	(	(	(	(	0
like	like	av-j	like	like	0
Iobs	Iobs	n2	Jobs	job	0
other	other	j-jn	other	other	0
friends	friends	n2	friends	friend	0
)	)	)	)	)	0
wr	wr	zz	wr	wr	0
onlie	onlie	av-j	only	only	0
old	old	j	old	old	0
or	or	cc	or	or	0
ancient	ancient	j	ancient	ancient	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
imputation	imputation	n1	imputation	imputation	0
indeed	indeed	av	indeed	indeed	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
new	new	j	new	new	0
tricke	tricke	n1	trick	trick	0
of	of	pp-f	of	of	0
enemies	enemies	n2	enemies	enemy	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Trueth	Trueth	n1	Truth	truth	0
,	,	,	,	,	0
seing	seing	vvg	sing	sing	0
we	we	pns12	we	we	0
see	see	vvb	see	see	0
the	the	dt	the	the	0
same	same	d	same	same	0
aspersion	aspersion	n1	aspersion	aspersion	0
cast	cast	vvn	cast	cast	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
Saviours	Saviours	ng1	Saviours	saviour	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Apostles	Apostles	n2	Apostles	apostle	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
Act	Act	n1	Act	act	0
17.	17.	crd	17.	17.	0
19.	19.	crd	19.	19	0
and	and	cc	and	and	0
whereby	whereby	c-crq	whereby	whereby	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
so	so	av	so	so	0
Pagans	Pagans	n2-jn	Pagans	pagan	0
laboured	laboured	vvd	laboured	labour	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
religiō	religiō	n1	religion	religion	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
odious	odious	j	odious	odious	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
content	content	j	content	content	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tryed	tryed	vvn	tried	try	0
by	by	p-acp	by	by	0
An	An	dt	And	a	0
∣	∣	sy	∣	∣	0
tiquitie	tiquitie	n1	tiquitie	tiquitie	0
,	,	,	,	,	0
the	the	dt	the	the	0
old	old	j	old	old	0
way	way	n1	way	way	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Ieremie	Ieremie	np1	Ieremie	Jeremy	0
eakes	eakes	vvz	eakes	eake	0
6.	6.	crd	6.	6.	0
16.	16.	crd	16.	16.	1
)	)	)	)	)	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
good	good	j	good	good	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Tertullian	Tertullian	np1	Tertullian	Tertullian	0
sayeth	sayeth	vvz	sayeth	say	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	0
ad	ad	fw-la	ad	ad	0
praxeam	praxeam	fw-la	praxeam	praxeam	0
)	)	)	)	)	0
That	That	cst	That	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
onelie	onelie	av-j	only	only	0
is	is	vbz	is	be	0
trueth	trueth	n1	truth	truth	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
first	first	ord	first	first	0
and	and	cc	and	and	0
most	most	ds	most	most	0
an	an	zz	an	an	0
∣	∣	sy	∣	∣	0
cient	cient	n1	cient	cient	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	d	that	that	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
good	good	j	good	good	0
seed	seed	n1	seed	seed	0
onelie	onelie	av-j	only	only	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
sowen	sowen	vvn	sown	sow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Masters	Masters	ng1	Master's	master	0
field	field	n1	field	field	0
,	,	,	,	,	0
it	it	pn31	it	it	0
being	being	vbg	being	be	0
tares	tares	fw-la	tares	tares	0
onlie	onlie	av-j	only	only	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
sowen	sowen	vvn	sown	sow	0
later	later	jc	later	late	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
envyous	envyous	j	envious	envious	0
enemie	enemie	n1	enemy	enemy	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
distinguish	distinguish	vvi	distinguish	distinguish	0
between	between	p-acp	between	between	0
Antiquitie	Antiquitie	n1	Antiquity	antiquity	0
of	of	pp-f	of	of	0
Trueth	Trueth	n1	Truth	truth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
Legitime	Legitime	fw-la	Legitime	legitime	0
,	,	,	,	,	0
&	&	cc	&	and	0
first	first	ord	first	first	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
&	&	cc	&	and	0
between	between	p-acp	between	between	0
Antiquitie	Antiquitie	n1	Antiquity	antiquity	0
of	of	pp-f	of	of	0
Errour	Errour	n1	Error	error	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
later	later	jc	later	late	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
bastard	bastard	n1	bastard	bastard	0
broode	broode	n1	brood	brood	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
made	made	vvd	made	make	0
our	our	po12	our	our	0
Saviour	Saviour	n1	Saviour	saviour	0
to	to	pc-acp	to	to	0
oppose	oppose	vvi	oppose	oppose	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
,	,	,	,	,	0
Math.	Math.	np1	Math.	Math.	1
5.	5.	crd	5.	5.	0
(	(	(	(	(	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
said	said	vvn	said	say	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
.	.	.	.	.	1
)	)	)	)	)	0
this	this	d	this	this	0
other	other	j-jn	other	other	0
speech	speech	n1	speech	speech	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
(	(	(	(	(	0
but	but	cc-acp	but	but	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
begin	begin	vvi	begin	begin	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
sort	sort	n1	sort	sort	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
primitive	primitive	j	primitive	primitive	0
antiquitie	antiquitie	n1	antiquity	antiquity	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
was	was	vbds	was	be	0
somtimes	somtimes	av	sometimes	sometime	0
a	a	dt	a	a	0
faithfull	faithfull	j	faithful	faithful	0
Citie	Citie	n1	City	city	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Isaiah	Isaiah	np1	Isaiah	Isaiah	0
calleth	calleth	vvz	calls	call	0
her	her	pno31	her	she	0
,	,	,	,	,	0
1.	1.	crd	1.	1.	0
21.	21.	crd	21.	21.	1
)	)	)	)	)	0
but	but	cc-acp	but	but	0
afterwards	afterwards	av	afterwards	afterward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
sort	sort	n1	sort	sort	0
became	became	vvd	became	become	0
a	a	dt	a	a	0
Harlot	Harlot	n1	Harlot	harlot	0
,	,	,	,	,	0
&	&	cc	&	and	0
as	as	p-acp	as	as	0
Ezekiel	Ezekiel	np1	Ezekiel	Ezekiel	0
also	also	av	also	also	0
speaketh	speaketh	vvz	speaks	speak	0
23.	23.	crd	23.	23.	0
43.	43.	crd	43.	43.	0
waxed	waxed	vvn	waxed	wax	0
old	old	j	old	old	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
adulteries	adulteries	n2	adulteries	adultery	0
:	:	:	:	:	0
even	even	av	even	even	0
