MOST	MOST	av-ds	MOST	most	0
MAGNIFICENT	MAGNIFICENT	j	MAGNIFICENT	magnificent	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
WHsoever	WHsoever	av	WHsoever	whsoever	0
doth	doth	vdz	does	do	0
behold	behold	vvi	behold	behold	0
clearly	clearly	av-j	clearly	clear	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Ʋnderstanding	Ʋnderstanding	n1	Ʋnderstanding	ʋnderstanding	0
the	the	dt	the	the	0
wonder	wonder	n1	wonder	wonder	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
works	works	vvz	works	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Eternal	Eternal	j	Eternal	eternal	0
Moderatour	Moderatour	n1	Moderator	moderator	0
,	,	,	,	,	0
and	and	cc	and	and	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
m	m	crd	m	m	0
∣	∣	sy	∣	∣	0
mediately	mediately	av-j	mediately	mediate	0
delighted	delighted	vvd	delighted	delight	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sweetness	sweetness	n1	sweetness	sweetness	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Contemplation	Contemplation	n1	Contemplation	contemplation	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
delighted	delighted	vvn	delighted	delight	0
,	,	,	,	,	0
the	the	dt	the	the	0
farther	farther	av-jc	farther	far	0
he	he	pns31	he	he	0
searcheth	searcheth	vvz	searches	search	0
into	into	p-acp	into	into	0
them	them	pno32	them	they	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
searching	searching	vvg	searching	search	0
daily	daily	av-j	daily	daily	0
he	he	pns31	he	he	0
learns	learns	vvz	learns	learn	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
ready	ready	j	ready	ready	0
and	and	cc	and	and	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
consecrate	consecrate	vvi	consecrate	consecrate	0
his	his	po31	his	his	0
knowledge	knowledge	n1	knowledge	knowledge	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
good	good	j	good	good	0
;	;	;	;	;	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
help	help	n1	help	help	0
of	of	pp-f	of	of	0
drawing	drawing	vvg	drawing	draw	0
and	and	cc	and	and	0
engraving	engraving	vvg	engraving	engrave	0
to	to	pc-acp	to	to	0
transmit	transmit	vvi	transmit	transmit	0
his	his	po31	his	his	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
perience	perience	n1	perience	perience	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
posterity	posterity	n1	posterity	posterity	0
.	.	.	.	.	1
The	The	dt	The	the	0
Antients	Antients	n2-j	Ancients	ancient	0
discovered	discovered	vvn	discovered	discover	0
much	much	av-d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
left	left	vvd	left	leave	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
still	still	av	still	still	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
discovered	discovered	vvn	discovered	discover	0
.	.	.	.	.	1
My	My	po11	My	my	0
Ʋncle	Ʋncle	n1	Ʋncle	ʋncle	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Pious	Pious	j	Pious	pious	0
Memory	Memory	n1	Memory	memory	0
,	,	,	,	,	0
first	first	ord	first	first	0
led	led	vvn	led	lead	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
admirable	admirable	j	admirable	admirable	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
rection	rection	n1	rection	rection	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
devoted	devoted	vvn	devoted	devote	0
his	his	po31	his	his	0
mind	mind	n1	mind	mind	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
study	study	n1	study	study	0
of	of	pp-f	of	of	0
Phy	Phy	q-crq	Phy	why	0
∣	∣	sy	∣	∣	0
sick	sick	j	sick	sick	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
youth	youth	n1	youth	youth	0
,	,	,	,	,	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
vanity	vanity	n1	vanity	vanity	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
firm	firm	av-j	firm	firm	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
attained	attained	vvd	attained	attain	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
small	small	j	small	small	0
