ƲNiversities	ƲNiversities	n2	ƲNiversities	ʋniversity	0
being	being	vbg	being	be	0
Nurseries	Nurseries	n2	Nurseries	nursery	0
of	of	pp-f	of	of	0
Pie	Pie	n1	Pie	pie	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
and	and	cc	and	and	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
have	have	vhb	have	have	0
Kings	Kings	n2	Kings	king	0
and	and	cc	and	and	0
Nobles	Nobles	n2-j	Nobles	noble	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Nursing	Nursing	n-vvg	Nursing	nurse	0
Fathers	Fathers	np1	Fathers	Fathers	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Generous	Generous	j	Generous	generous	0
Inclina	Inclina	np1	Inclina	Inclina	0
∣	∣	sy	∣	∣	0
tions	tions	n2	tions	tion	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
Acts	Acts	n2	Acts	act	0
of	of	pp-f	of	of	0
Honor	Honor	n1	Honour	honour	0
highly	highly	av-j	highly	high	0
to	to	pc-acp	to	to	0
encourage	encourage	vvi	encourage	encourage	0
the	the	dt	the	the	0
Republick	Republick	n1	Republic	republic	0
of	of	pp-f	of	of	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
have	have	vhb	have	have	0
founded	founded	vvn	founded	found	0
Colleges	Colleges	n2	Colleges	college	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
so	so	av	so	so	0
many	many	d	many	many	0
Societies	Societies	n2	Societies	society	0
,	,	,	,	,	0
skilful	skilful	j	skilful	skilful	0
in	in	p-acp	in	in	0
variety	variety	n1	variety	variety	0
of	of	pp-f	of	of	0
Arts	Arts	n2	Arts	art	0
and	and	cc	and	and	0
Sciences	Sciences	n2	Sciences	science	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
refine	refine	vvi	refine	refine	0
and	and	cc	and	and	0
improve	improve	vvi	improve	improve	0
the	the	dt	the	the	0
rough	rough	j	rough	rough	0
intellectu	intellectu	fw-la	intellectu	intellectu	0
∣	∣	sy	∣	∣	0
als	als	av	also	also	0
and	and	cc	and	and	0
degenerate	degenerate	j	degenerate	degenerate	0
Morals	Morals	n2	Morals	moral	0
of	of	pp-f	of	of	0
illiterate	illiterate	j	illiterate	illiterate	0
and	and	cc	and	and	0
ill	ill	av-jn	ill	ill	0
principl'd	principl'd	vvn	principled	principle	0
men	men	n2	men	man	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
our	our	po12	our	our	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Schools	Schools	n2	Schools	school	0
of	of	pp-f	of	of	0
most	most	ds	most	most	0
vertuous	vertuous	j	virtuous	virtuous	0
Education	Education	n1	Education	education	0
are	are	vbr	are	be	0
celebrated	celebrated	vvn	celebrated	celebrate	0
frequent	frequent	j	frequent	frequent	0
Devotions	Devotions	n2	Devotions	devotion	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
Students	Students	n2	Students	student	0
do	do	vdb	do	do	0
dedicate	dedicate	vvi	dedicate	dedicate	0
themselves	themselves	px32	themselves	themselves	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
perfection	perfection	n1	perfection	perfection	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
Professors	Professors	n2	Professors	professor	0
and	and	cc	and	and	0
Lecturers	Lecturers	np1	Lecturers	Lecturers	0
do	do	vdb	do	do	0
read	read	vvi	read	read	0
privately	privately	av-j	privately	private	0
in	in	p-acp	in	in	0
Societies	Societies	n2	Societies	society	0
,	,	,	,	,	0
and	and	cc	and	and	0
publickly	publickly	av-j	publicly	public	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Schools	Schools	n2	Schools	school	0
,	,	,	,	,	0
many	many	d	many	many	0
Lectures	Lectures	n2	Lectures	lecture	0
in	in	p-acp	in	in	0
Logick	Logick	n1	Logic	logic	0
,	,	,	,	,	0
Natural	Natural	j	Natural	natural	0
Philosophy	Philosophy	n1	Philosophy	philosophy	0
,	,	,	,	,	0
Mathematicks	Mathematicks	n1	Mathematics	mathematics	0
,	,	,	,	,	0
Metaphysicks	Metaphysicks	n2	Metaphysics	metaphysic	0
,	,	,	,	,	0
and	and	cc	and	and	0
several	several	j	several	several	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
Tongues	Tongues	n2	Tongues	tongue	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
Divinity	Divinity	n1	Divinity	divinity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Consummation	Consummation	n1	Consummation	consummation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
in	in	p-acp	in	in	0
Duty	Duty	n1	Duty	duty	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
Justice	Justice	n1	Justice	justice	0
without	without	p-acp	without	without	0
Flattery	Flattery	n1	Flattery	flattery	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Ʋniversities	Ʋniversities	n2	Ʋniversities	ʋniversity	0
(	(	(	(	(	0
having	having	vhg	having	have	0
seen	seen	vvn	seen	see	0
many	many	d	many	many	0
in	in	p-acp	in	in	0
Foreign	Foreign	j	Foreign	foreign	0
Countries	Countries	n2	Countries	country	0
)	)	)	)	)	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Famous	Famous	j	Famous	famous	0
and	and	cc	and	and	0
Flourishing	Flourishing	j-vvg	Flourishing	flourish	0
,	,	,	,	,	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
happiness	happiness	n1	happiness	happiness	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
having	having	vhg	having	have	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Magnificent	Magnificent	j	Magnificent	magnificent	0
Buildings	Buildings	n2	Buildings	building	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Endowments	Endowments	n2	Endowments	endowment	0
,	,	,	,	,	0
and	and	cc	and	and	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
Learned	Learned	j	Learned	learned	0
Professors	Professors	n2	Professors	professor	0
of	of	pp-f	of	of	0
Arts	Arts	n2	Arts	art	0
and	and	cc	and	and	0
Sciences	Sciences	n2	Sciences	science	0
,	,	,	,	,	0
and	and	cc	and	and	0
Students	Students	n2	Students	student	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
best	best	js	best	best	0
method	method	n1	method	method	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
pounded	pounded	vvn	pounded	pound	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
obtaining	obtaining	vvg	obtaining	obtain	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
ren	ren	fw-it	ren	ren	0
∣	∣	sy	∣	∣	0
dred	dred	j	dreaded	dread	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Proficients	Proficients	n2	Proficients	proficient	0
in	in	p-acp	in	in	0
reference	reference	n1	reference	reference	0
to	to	p-acp	to	to	0
Piety	Piety	n1	Piety	piety	0
and	and	cc	and	and	0
good	good	j	good	good	0
Li	Li	crd	Li	li	0
∣	∣	sy	∣	∣	0
terature	terature	n1	terature	terature	0
,	,	,	,	,	0
accomplishing	accomplishing	vvg	accomplishing	accomplish	0
their	their	po32	their	their	0
Intellectuals	Intellectuals	n2-j	Intellectuals	intellectual	0
and	and	cc	and	and	0
Morals	Morals	n2	Morals	moral	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
the	the	dt	the	the	0
advantage	advantage	n1	advantage	advantage	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
many	many	d	many	many	0
Ʋniversities	Ʋniversities	n2	Ʋniversities	ʋniversity	0
in	in	p-acp	in	in	0
France	France	np1	France	France	0
,	,	,	,	,	0
Italy	Italy	np1	Italy	Italy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Low	Low	j	Low	low	0
Countries	Countries	n2	Countries	country	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
very	very	av	very	very	0
Eminent	Eminent	j	Eminent	eminent	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Faculty	Faculty	n1	Faculty	faculty	0
of	of	pp-f	of	of	0
Phisick	Phisick	n1	Physic	physic	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
having	having	vhg	having	have	0
many	many	d	many	many	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
fessors	fessors	zz	fessors	fessors	0
(	(	(	(	(	0
highly	highly	av-j	highly	high	0
versed	versed	vvn	versed	verse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Practical	Practical	j	Practical	practical	0
Part	Part	n1	Part	part	0
)	)	)	)	)	0
who	who	r-crq	who	who	0
carry	carry	vvb	carry	carry	0
the	the	dt	the	the	0
Students	Students	n2	Students	student	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
their	their	po32	their	their	0
Associates	Associates	n2	Associates	associate	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Patients	Patients	n2	Patients	patient	0
,	,	,	,	,	0
demanding	demanding	vvg	demanding	demand	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
what	what	r-crq	what	what	0
their	their	po32	their	their	0
Diseases	Diseases	n2	Diseases	disease	0
are	are	vbr	are	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
what	what	r-crq	what	what	0
Methods	Methods	n2	Methods	method	0
and	and	cc	and	and	0
Medicines	Medicines	n2	Medicines	medicine	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Cured	Cured	j-vvn	Cured	cure	0
:	:	:	:	:	0
When	When	c-crq	When	when	0
the	the	dt	the	the	0
Students	Students	n2	Students	student	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
their	their	po32	their	their	0
Judgment	Judgment	n1	Judgement	judgement	0
,	,	,	,	,	0
the	the	dt	the	the	0
Professors	Professors	n2	Professors	professor	0
speak	speak	vvb	speak	speak	0
their	their	po32	their	their	0
sense	sense	n1	sense	sense	0
in	in	p-acp	in	in	0
reference	reference	n1	reference	reference	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Diseases	Diseases	n2	Diseases	disease	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Cures	Cures	n2	Cures	cure	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
Ingeniously	Ingeniously	av-j	Ingeniously	ingenious	0
without	without	p-acp	without	without	0
doing	doing	vdg	doing	do	0
injustice	injustice	n1	injustice	injustice	0
to	to	p-acp	to	to	0
Foreign	Foreign	j	Foreign	foreign	0
Nations	Nations	n2	Nations	nation	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
conceive	conceive	vvb	conceive	conceive	0
the	the	dt	the	the	0
Phisitians	Phisitians	n2	Physicians	physician	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Famous	Famous	j	Famous	famous	0
Ʋniversities	Ʋniversities	n2	Ʋniversities	ʋniversity	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Renowned	Renowned	j-vvn	Renowned	renown	0
College	College	n1	College	college	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
,	,	,	,	,	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
inferior	inferior	j-jn	inferior	inferior	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
,	,	,	,	,	0
if	if	cs	if	if	0
not	not	xx	not	not	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Theory	Theory	n1	Theory	theory	0
and	and	cc	and	and	0
Practise	Practise	n1	practice	practice	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
Members	Members	n2	Members	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ʋniversities	Ʋniversities	n2	Ʋniversities	ʋniversity	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
Masters	Masters	n2	Master's	master	0
of	of	pp-f	of	of	0
Learning	Learning	n1	Learning	learning	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Liberal	Liberal	j	Liberal	liberal	0
Education	Education	n1	Education	education	0
too	too	av	too	too	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
Gentle	Gentle	j	Gentle	gentle	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
Scholars	Scholars	n2	Scholars	scholar	0
,	,	,	,	,	0
endued	endued	vvn	endued	endue	0
with	with	p-acp	with	with	0
Generous	Generous	j	Generous	generous	0
Principles	Principles	n2	Principles	principle	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
Compleasant	Compleasant	j	Compleasant	compleasant	0
humour	humour	n1	humour	humour	0
,	,	,	,	,	0
treating	treating	vvg	treating	treat	0
Strangers	Strangers	n2	Strangers	stranger	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
Civility	Civility	n1	Civility	civility	0
and	and	cc	and	and	0
Kindness	Kindness	n1	Kindness	kindness	0
imaginable	imaginable	j	imaginable	imaginable	0
.	.	.	.	.	1
The	The	dt	The	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Living	Living	vvg	Living	live	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
Experience	Experience	n1	Experience	experience	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
Years	Years	n2	Years	year	0
,	,	,	,	,	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
Delight	Delight	n1	Delight	delight	0
and	and	cc	and	and	0
Satisfaction	Satisfaction	n1	Satisfaction	satisfaction	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
Friendly	Friendly	j	Friendly	friendly	0
Converse	Converse	n1	Converse	converse	0
of	of	pp-f	of	of	0
Scholars	Scholars	n2	Scholars	scholar	0
entertaining	entertaining	vvg	entertaining	entertain	0
each	each	d	each	each	0
other	other	n-jn	other	other	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
younger	younger	jc	younger	young	0
and	and	cc	and	and	0
disinterest	disinterest	n1	disinterest	disinterest	0
years	years	n2	years	year	0
with	with	p-acp	with	with	0
kind	kind	n1	kind	kind	0
Looks	Looks	vvz	Looks	look	0
,	,	,	,	,	0
and	and	cc	and	and	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sant	sant	zz	sant	sant	0
Language	Language	n1	Language	language	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
so	so	av	so	so	0
many	many	d	many	many	0
expresses	expresses	vvz	expresses	express	0
of	of	pp-f	of	of	0
entire	entire	j	entire	entire	0
Love	Love	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
affectionate	affectionate	j	affectionate	affectionate	0
esteems	esteems	vvz	esteems	esteem	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
Dedicated	Dedicated	vvn	Dedicated	dedicate	0
this	this	d	this	this	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
Ʋniversities	Ʋniversities	n2	Ʋniversities	ʋniversity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
one	one	pi	one	one	0
in	in	p-acp	in	in	0
Piety	Piety	n1	Piety	piety	0
,	,	,	,	,	0
Learning	Learning	n1	Learning	learning	0
and	and	cc	and	and	0
Education	Education	n1	Education	education	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
wishing	wishing	vvg	wishing	wish	0
them	them	pno32	them	they	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
very	very	j	very	very	0
Heart	Heart	n1	Heart	heart	0
and	and	cc	and	and	0
Soul	Soul	n1	Soul	soul	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
flourish	flourish	vvi	flourish	flourish	0
in	in	p-acp	in	in	0
Reli	Reli	np1	Reli	Reli	0
∣	∣	sy	∣	∣	0
gion	gion	n1	gion	gion	0
and	and	cc	and	and	0
all	all	d	all	all	0
Arts	Arts	n2	Arts	art	0
and	and	cc	and	and	0
Sciences	Sciences	n2	Sciences	science	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
and	and	cc	and	and	0
Moon	Moon	n1	Moon	moon	0
endureth	endureth	vvz	endureth	endure	0
)	)	)	)	)	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
improved	improved	vvn	improved	improve	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
Service	Service	n1	Service	service	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Earnest	Earnest	j	Earnest	earnest	0
Prayer	Prayer	n1	Prayer	prayer	0
of	of	pp-f	of	of	1
