AS	AS	p-acp	AS	as	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
coming	coming	vvg	coming	come	0
,	,	,	,	,	0
a	a	dt	a	a	0
while	while	n1	while	while	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Italy	Italy	np1	Italy	Italy	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
England	England	np1	England	England	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
waste	waste	vvi	waste	waste	0
all	all	d	all	all	0
that	that	cst	that	that	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
sit	sit	vvi	fit	sit	0
on	on	p-acp	on	on	0
Horsback	Horsback	n1	Horseback	horseback	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
foolish	foolish	j	foolish	foolish	0
and	and	cc	and	and	0
illiterate	illiterate	j	illiterate	illiterate	0
Fables	Fables	n2	Fables	fable	0
,	,	,	,	,	0
I	I	pns11	I	i	0
chose	chose	vvd	chosen	choose	0
ra	ra	zz	ra	ra	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
one	one	crd	one	one	0
while	while	n1	while	while	0
to	to	pc-acp	to	to	0
revolve	revolve	vvi	revolve	revolve	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
something	something	pi	something	something	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
common	common	j	common	common	0
Studies	Studies	n2	Studies	study	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
while	while	n1	while	while	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
I	I	pns11	I	i	0
left	left	vvd	left	leave	0
here	here	av	here	here	0
,	,	,	,	,	0
some	some	d	some	some	0
no	no	av-dx	no	no	0
lesse	lesse	av-dc	less	less	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
than	than	cs	than	than	0
pleasant	pleasant	j	pleasant	pleasant	0
;	;	;	;	;	0
Amongst	Amongst	p-acp	among	among	0
these	these	d	these	these	0
,	,	,	,	,	0
you	you	pn22	you	you	0
,	,	,	,	,	0
my	my	po11	my	my	0
More	More	n1	More	moor	0
,	,	,	,	,	0
came	came	vvd	came	come	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
though	though	cs	though	though	0
absent	absent	j	absent	absent	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
gives	gives	vvz	gives	give	0
me	me	pno11	me	i	0
such	such	d	such	such	0
de	de	fw-mi	de	de	0
∣	∣	sy	∣	∣	0
light	light	n1	light	light	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
absence	absence	n1	absence	absence	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
when	when	c-crq	when	when	0
present	present	j	present	present	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ever	ever	av	ever	ever	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
company	company	n1	company	company	0
;	;	;	;	;	0
than	than	cs	than	than	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
perish	perish	vvi	perish	perish	0
,	,	,	,	,	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
my	my	po11	my	my	0
life	life	n1	life	life	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ever	ever	av	ever	ever	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
more	more	av-dc	more	more	0
delectable	delectable	j	delectable	delectable	0
:	:	:	:	:	0
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
being	being	vbg	being	be	0
satisfy'd	satisfy'd	vvn	satisfied	satisfy	0
that	that	d	that	that	0
something	something	pi	something	something	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
that	that	cst	that	that	0
time	time	n1	time	time	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
wise	wise	j	wise	wise	0
proper	proper	j	proper	proper	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
serious	serious	j	serious	serious	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
I	I	pns11	I	i	0
resolv'd	resolv'd	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
some	some	d	some	some	0
sport	sport	n1	sport	sport	0
with	with	p-acp	with	with	0
The	The	dt	The	the	0
Praise	Praise	n1	Praise	praise	0
of	of	pp-f	of	of	0
Folly	Folly	n1	Folly	folly	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
who	who	r-crq	who	who	0
the	the	dt	the	the	0
Devil	Devil	n1	Devil	devil	0
put	put	vvd	put	put	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
thy	thy	po21	thy	thy	0
head	head	n1	head	head	0
?	?	?	?	?	0
you'l	you'l	pn22|vmb	you'll	you|will	0
say	say	vvi	say	say	0
;	;	;	;	;	0
The	The	dt	The	the	0
first	first	ord	first	first	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
was	was	vbds	was	be	0
your	your	po22	your	your	0
sirname	sirname	n1	surname	surname	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
More	More	dc	More	more	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
comes	comes	vvz	comes	come	0
so	so	av	so	so	0
near	near	av-j	near	near	0
the	the	dt	the	the	0
word	word	n1	word	word	0
Moriae	Moriae	np1	Moriae	Moriae	0
(	(	(	(	(	0
Folly	Folly	n1	Folly	folly	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
far	far	av-j	far	far	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
thing	thing	n1	thing	thing	0
;	;	;	;	;	0
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
so	so	av	so	so	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
will	will	vmb	will	will	0
clear	clear	vvi	clear	clear	0
you	you	pn22	you	you	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
next	next	ord	next	next	0
place	place	n1	place	place	0
,	,	,	,	,	0
I	I	pns11	I	i	0
conceiv'd	conceiv'd	vvd	conceived	conceive	0
this	this	d	this	this	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
wit	wit	n1	wit	wit	0
,	,	,	,	,	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
least	least	ds	least	least	0
approv'd	approv'd	vvn	approved	approve	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
,	,	,	,	,	0
inasmuch	inasmuch	av	inasmuch	inasmuch	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
delighted	delighted	vvn	delighted	delight	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
mirth	mirth	n1	mirth	mirth	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
unlearn	unlearn	vvb	unlearn	unlearn	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
mistaken	mistaken	vvn	mistaken	mistake	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
altogether	altogether	av	altogether	altogether	0
insipid	insipid	j	insipid	insipid	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
life	life	n1	life	life	0
,	,	,	,	,	0
have	have	vhb	have	have	0
play'd	play'd	vvd	played	play	0
the	the	dt	the	the	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Democritus	Democritus	np1	Democritus	Democritus	0
:	:	:	:	:	0
And	And	cc	And	and	0
though	though	cs	though	though	0
,	,	,	,	,	0
such	such	d	such	such	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
excellence	excellence	n1	excellence	excellence	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Judgement	Judgement	n1	Judgement	judgement	0
,	,	,	,	,	0
that	that	cst	that	that	0
'twas	'twas	pn31|vbds	'twas	it|be	0
ever	ever	av	ever	ever	0
con	con	fw-mi	con	con	0
∣	∣	sy	∣	∣	0
