OUr	OUr	po12	OUr	our	0
dear	dear	j-jn	dear	dear	0
Sisters	Sisters	n2	Sisters	sister	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Co	Co	zz	Co	co	0
∣	∣	sy	∣	∣	0
venant	venant	n1	venant	venant	0
of	of	pp-f	of	of	0
Light	Light	n1	Light	light	0
&	&	cc	&	and	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
God	God	np1	God	God	0
,	,	,	,	,	0
our	our	po12	our	our	0
God	God	n1	God	god	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
visited	visited	vvn	visited	visit	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
given	given	vvn	given	give	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
Knowledge	Knowledge	n1	Knowledge	knowledge	0
of	of	pp-f	of	of	0
himself	himself	px31	himself	himself	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Face	Face	n1	Face	face	0
of	of	pp-f	of	of	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
velation	velation	n1	velation	velation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Spirit	Spirit	n1	Spirit	spirit	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
good	good	j	good	good	0
Understanding	Understanding	n1	Understanding	understanding	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Sufferings	Sufferings	n2	Sufferings	suffering	0
,	,	,	,	,	0
Death	Death	n1	Death	death	0
and	and	cc	and	and	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
surrection	surrection	n1	surrection	surrection	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
hear-say	hear-say	j	hearsay	hearsay	0
,	,	,	,	,	0
or	or	cc	or	or	0
reading	reading	vvg	reading	read	0
only	only	av-j	only	only	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
all	all	d	all	all	0
the	the	dt	the	the	0
Antichristian	Antichristian	jp	Antichristian	antichristian	0
Brood	Brood	n1	Brood	brood	0
hath	hath	vhz	hath	have	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
free	free	j	free	free	0
and	and	cc	and	and	0
universal	universal	j	universal	universal	0
Grace	Grace	n1	Grace	grace	0
are	are	vbr	are	be	0
brought	brought	vvn	brought	bring	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Fellowship	Fellowship	n1	Fellowship	fellowship	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Sufferings	Sufferings	n2	Sufferings	suffering	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
seen	seen	vvn	seen	see	0
him	him	pno31	him	he	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
pierced	pierced	vvn	pierced	pierce	0
,	,	,	,	,	0
and	and	cc	and	and	0
mourned	mourned	vvd	mourned	mourn	0
over	over	p-acp	over	over	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
ful	ful	j	full	full	0
Obedience	Obedience	n1	Obedience	obedience	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
that	that	cst	that	that	0
raised	raised	vvd	raised	raise	0
Jesus	Jesus	np1	Jesus	Jesus	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Dead	Dead	j	Dead	dead	0
,	,	,	,	,	0
are	are	vbr	are	be	0
come	come	vvn	come	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Witnesses	Witnesses	n2	Witnesses	witness	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
is	is	vbz	is	be	0
alive	alive	j	alive	alive	0
,	,	,	,	,	0
and	and	cc	and	and	0
lives	lives	vvz	lives	live	0
for	for	p-acp	for	for	0
evermore	evermore	av	evermore	evermore	0
;	;	;	;	;	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
lives	lives	vvz	lives	live	0
,	,	,	,	,	0
we	we	pns12	we	we	0
live	live	vvb	live	live	0
also	also	av	also	also	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
Partakers	Partakers	n2	Partakers	partaker	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Love	Love	n1	Love	love	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
extends	extends	vvz	extends	extend	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Creation	Creation	n1	Creation	creation	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Aboundings	Aboundings	n2-vvg	Aboundings	abounding	0
thereof	thereof	av	thereof	thereof	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Mercies	Mercies	n2	Mercies	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
sensible	sensible	j	sensible	sensible	0
feeling	feeling	n1	feeling	feeling	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
endures	endures	vvz	endures	endure	0
forever	forever	av	forever	forever	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
ministers	ministers	n2	ministers	minister	0
therein	therein	av	therein	therein	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
weary	weary	j	weary	weary	0
of	of	pp-f	of	of	0
Well-doing	Well-doing	j	Welldoing	welldoing	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
has	has	vhz	has	have	0
strengthned	strengthned	vvn	strengthened	strengthen	0
us	us	pno12	us	we	0
thereto	thereto	av	thereto	thereto	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
Salutation	Salutation	n1	Salutation	salutation	0
of	of	pp-f	of	of	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
feigned	feigned	n1	feigned	feigned	0
Love	Love	n1	Love	love	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
declaring	declaring	vvg	declaring	declare	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Epistles	Epistles	n2	Epistles	epistle	0
from	from	p-acp	from	from	0
Rode-Island	Rode-Island	n1	Rode-Island	rode-island	0
,	,	,	,	,	0
New-York	New-York	np1	New-York	New-York	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
away	away	av	away	away	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
