BEleved	BEleved	vvd	Believed	believe	0
,	,	,	,	,	0
the	the	dt	the	the	0
good	good	j	good	good	0
effects	effects	n2	effects	effect	0
that	that	cst	that	that	0
my	my	po11	my	my	0
Books	Books	n2	Books	book	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
wrote	wrote	vvd	wrote	write	0
from	from	p-acp	from	from	0
tim	tim	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
had	had	vhd	had	have	0
ta	ta	dt	ta	a	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Protector	Protector	n1	Protector	protector	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
party	party	n1	party	party	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
always	always	av	always	always	0
been	been	vbn	been	be	0
crossed	crossed	vvn	crossed	cross	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
Plotters	Plotters	n2	Plotters	plotter	0
as	as	c-acp	as	as	0
have	have	vhb	have	have	0
sought	sought	vvn	sought	seek	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
involve	involve	vvi	involve	involve	0
the	the	dt	the	the	0
Kingdom	Kingdom	n1	Kingdom	kingdom	0
in	in	p-acp	in	in	0
blood	blood	n1	blood	blood	0
again	again	av	again	again	0
:	:	:	:	:	0
the	the	dt	the	the	0
Plotters	Plotters	n2	Plotters	plotter	0
foolishly	foolishly	av-j	foolishly	foolish	0
thinking	thinking	vvg	thinking	think	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
well	well	av	well	well	0
pleased	pleased	vvn	pleased	please	0
with	with	p-acp	with	with	0
blood	blood	n1	blood	blood	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
possible	possible	j	possible	possible	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
King	King	n1	King	king	0
and	and	cc	and	and	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
to	to	pc-acp	to	to	0
agree	agree	vvi	agree	agree	0
and	and	cc	and	and	0
come	come	vvi	come	come	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
mutual	mutual	j	mutual	mutual	0
love	love	n1	love	love	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gain	gain	n1	gain	gain	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
speak	speak	vvb	speak	speak	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
the	the	dt	the	the	0
too	too	av	too	too	0
too	too	av	too	too	0
sad	sad	j	sad	sad	0
consequence	consequence	n1	consequence	consequence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
Plot	Plot	n1	Plot	plot	0
,	,	,	,	,	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
altered	altered	vvn	altered	alter	0
the	the	dt	the	the	0
good	good	j	good	good	0
affection	affection	n1	affection	affection	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
High	High	j	High	high	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
others	others	ng2-jn	others	other	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
about	about	p-acp	about	about	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
wrought	wrought	vvn	wrought	wrought	0
on	on	p-acp	on	on	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
blessing	blessing	n1	blessing	blessing	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
book	book	n1	book	book	0
called	called	vvd	called	call	0
The	The	dt	The	the	0
Voice	Voice	n1	Voice	voice	0
of	of	pp-f	of	of	0
Michael	Michael	np1	Michael	Michael	0
the	the	dt	the	the	0
Arch	Arch	n1	Arch	arch	0
∣	∣	sy	∣	∣	0
angel	angel	n1	angel	angel	0
,	,	,	,	,	0
and	and	cc	and	and	0
those	those	d	those	those	0
motions	motions	n2	motions	motion	0
for	for	p-acp	for	for	0
peace	peace	n1	peace	peace	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
sides	sides	n2	sides	side	0
I	I	pns11	I	i	0
propounded	propounded	vvd	propounded	propound	0
then	then	av	then	then	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
tending	tending	vvg	tending	tend	0
to	to	p-acp	to	to	0
union	union	n1	union	union	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
King	King	n1	King	king	0
&	&	cc	&	and	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
.	.	.	.	.	1
And	And	cc	And	and	0
these	these	d	these	these	0
motives	motives	n2	motives	motive	0
about	about	p-acp	about	about	0
three	three	crd	three	three	0
months	months	n2	months	month	0
agone	agone	av	ago	ago	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
well	well	av	well	well	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
sented	sented	vvn	scented	scent	0
.	.	.	.	.	1
Upon	Upon	p-acp	Upon	upon	0
which	which	r-crq	which	which	0
reception	reception	n1	reception	reception	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wrote	wrote	vvd	wrote	write	0
some	some	d	some	some	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
accordingly	accordingly	av-vvg	accordingly	accord	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
shew	shew	n1	show	show	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
those	those	d	those	those	0
motives	motives	n2	motives	motive	0
good	good	j	good	good	0
effect	effect	n1	effect	effect	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
conception	conception	n1	conception	conception	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
true	true	j	true	true	0
,	,	,	,	,	0
peaceable	peaceable	j	peaceable	peaceable	0
,	,	,	,	,	0
loyal	loyal	j	loyal	loyal	0
affections	affections	n2	affections	affection	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
party	party	n1	party	party	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
discovered	discovered	vvn	discovered	discover	0
hereafter	hereafter	av	hereafter	hereafter	0
,	,	,	,	,	0
if	if	cs	if	if	0
God	God	np1	God	God	0
permit	permit	vvb	permit	permit	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
now	now	av	now	now	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
further	further	jc	further	further	0
discovery	discovery	n1	discovery	discovery	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
,	,	,	,	,	0
even	even	av	even	even	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
speedily	speedily	av-j	speedily	speedy	0
do	do	vdi	do	do	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
an	an	dt	and	a	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
evil	evil	n-jn	evil	evil	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wrote	wrote	vvd	wrote	write	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
not	not	xx	not	not	0
doubting	doubting	vvg	doubting	doubt	0
but	but	p-acp	but	but	0
that	that	d	that	that	0
my	my	po11	my	my	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
was	was	vbds	was	be	0
as	as	p-acp	as	as	0
pass	pass	vvi	pass	pass	0
∣	∣	sy	∣	∣	0
able	able	j	able	able	0
as	as	c-acp	as	as	0
before	before	a-acp	before	before	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
coming	coming	vvg	coming	come	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
no	no	dx	no	no	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
the	the	dt	the	the	0
unsavouriness	unsavouriness	n1	unsavoriness	unsavoriness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
Plot	Plot	n1	Plot	plot	0
was	was	vbds	was	be	0
so	so	av	so	so	0
hainous	hainous	j	heinous	heinous	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
we	we	pns12	we	we	0
now	now	av	now	now	0
which	which	r-crq	which	which	0
mention	mention	n1	mention	mention	0
their	their	po32	their	their	0
peace	peace	n1	peace	peace	0
with	with	p-acp	with	with	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
are	are	vbr	are	be	0
counted	counted	vvn	counted	count	0
their	their	po32	their	their	0
adversaries	adversaries	n2	adversaries	adversary	0
;	;	;	;	;	0
though	though	cs	though	though	0
haply	haply	av	haply	haply	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
anether	anether	av	anether	anether	0
mind	mind	n1	mind	mind	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
admitted	admitted	vvn	admitted	admit	0
,	,	,	,	,	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swaded	swaded	vvd	swaded	swade	0
that	that	d	that	that	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
is	is	vbz	is	be	0
unwilling	unwilling	j	unwilling	unwilling	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
concernment	concernment	n1	concernment	concernment	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
look	look	vvb	look	look	0
upon	upon	p-acp	upon	upon	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
fancie	fancie	n1	fancy	fancy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
kept	kept	vvd	kept	keep	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
blame	blame	vvb	blame	blame	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
(	(	(	(	(	0
being	being	vbg	being	be	0
debar'd	debar'd	vvd	debarred	debar	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
printing	printing	vvg	printing	print	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
And	And	cc	And	and	0
though	though	cs	though	though	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
blame	blame	vvi	blame	blame	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
rather	rather	av-c	rather	rather	0
suffer	suffer	vvi	suffer	suffer	0
,	,	,	,	,	0
then	then	av	then	then	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Highness	Highness	n1	Highness	highness	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
minde	minde	n1	mind	mind	0
shewed	shewed	vvd	showed	show	0
in	in	p-acp	in	in	0
