STEPHEN	STEPHEN	np1	STEPHEN	Stephen	0
DENISON	DENISON	np1	DENISON	Denison	0
wisheth	wisheth	vvz	wishes	wish	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
crease	crease	n1	crease	crease	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
true	true	j	true	true	0
happinesse	happinesse	n1	happiness	happiness	0
and	and	cc	and	and	0
prospe	prospe	n1	prospe	prospe	0
∣	∣	sy	∣	∣	0
ritie	ritie	n1	ritie	ritie	0
.	.	.	.	.	1
DEare	DEare	n1	DEare	deer	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
my	my	po11	my	my	0
purpose	purpose	n1	purpose	purpose	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
some	some	d	some	some	0
publicke	publicke	j	public	public	0
testimonie	testimonie	n1	testimony	testimony	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
die	die	vvb	die	die	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
kind	kind	n1	kind	kind	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
shewed	shewed	vvd	showed	show	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
:	:	:	:	:	0
and	and	cc	and	and	0
considering	considering	vvg	considering	consider	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
offered	offered	vvn	offered	offer	0
such	such	d	such	such	0
an	an	dt	and	a	0
opportuni	opportuni	fw-la	opportuni	opportuni	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
do	do	vdi	do	do	0
lesse	lesse	av-dc	less	less	0
,	,	,	,	,	0
hen	hen	n1	hen	hen	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
▪	▪	▪	▪	▪	0
iue	iue	vvb	iue	iue	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
