TO	TO	p-acp	TO	to	0
THE	THE	dt	THE	the	0
MOST	MOST	av-ds	MOST	most	0
High	High	j	High	high	0
and	and	cc	and	and	0
Mighty	Mighty	j	Mighty	mighty	0
Monarch	Monarch	n1	Monarch	monarch	0
,	,	,	,	,	0
Charles	Charles	np1	Charles	Charles	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Great	Great	j	Great	great	0
Britaine	Britaine	np1	Britaine	Britain	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Jreland	Jreland	np1	Jreland	Jreland	0
,	,	,	,	,	0
Defender	Defender	n1	Defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
Royall	Royall	j	Royal	royal	0
Consort	Consort	n1	Consort	consort	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
gra	gra	j	gram	great	0
∣	∣	sy	∣	∣	0
tious	tious	j	tious	tious	0
Queen	Queen	n1	Queen	queen	0
Mary	Mary	uh	Marry	mary	0
,	,	,	,	,	0
the	the	dt	the	the	0
High	High	j	High	high	0
and	and	cc	and	and	0
Mighty	Mighty	j	Mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
Charles	Charles	np1	Charles	Charles	0
,	,	,	,	,	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Wales	Wales	np1	Wales	Wales	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
illustrious	illustrious	j	illustrious	illustrious	0
Prince	Prince	n1	Prince	prince	0
Iames	Iames	np1	Iames	Iames	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Yorke	Yorke	np1	Yorke	York	0
,	,	,	,	,	0
the	the	dt	the	the	0
High	High	j	High	high	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Princesses	Princesses	n2	Princesses	princess	0
Mary	Mary	vvi	Marry	marry	0
and	and	cc	and	and	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
the	the	dt	the	the	0
Royall	Royall	j	Royal	royal	0
posterity	posterity	n1	posterity	posterity	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Soveraigne	Soveraigne	j-jn	Sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
King	King	n1	King	king	0
Charles	Charles	np1	Charles	Charles	0
:	:	:	:	:	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Allyes	Allyes	n2	Allies	ally	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
High	High	j	High	high	0
and	and	cc	and	and	0
Mighty	Mighty	j	Mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
Christerne	Christerne	np1	Christerne	Christerne	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Den	Den	n1	Den	den	0
∣	∣	sy	∣	∣	0
marke	marke	n1	mark	mark	0
:	:	:	:	:	0
The	The	dt	The	the	0
high	high	j	high	high	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
Charles	Charles	np1	Charles	Charles	0
Prince	Prince	n1	Prince	prince	0
Electour	Electour	n1	Elector	elector	0
Palatine	Palatine	jp	Palatine	palatine	0
:	:	:	:	:	0
The	The	dt	The	the	0
high	high	j	high	high	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
Henry	Henry	np1	Henry	Henry	0
Prince	Prince	n1	Prince	prince	0
of	of	pp-f	of	of	0
Orange	Orange	n1	Orange	orange	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Prince	Prince	n1	Prince	prince	0
De	De	fw-fr	De	de	0
Lorreine	Lorreine	j	Lorreine	lorreine	0
Duke	Duke	n1	Duke	duke	0
Chereuze	Chereuze	vvi	Chereuze	chereuze	0
.	.	.	.	.	1
