MOst	MOst	ds	MOst	most	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
&	&	cc	&	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
novvned	novvned	j-vvn	novvned	novvn	0
Princess	Princess	n1	Princess	princess	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beeing	beeing	vbg	being	be	0
troubled	troubled	vvn	troubled	trouble	0
and	and	cc	and	and	0
wearied	wearied	vvn	wearied	weary	0
with	with	p-acp	with	with	0
feare	feare	n1	fear	fear	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
my	my	po11	my	my	0
children	children	n2	children	child	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
find	find	vvi	find	find	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
thought	thought	vvn	thought	think	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
doe	doe	vdi	do	do	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
,	,	,	,	,	0
then	then	cs	then	than	0
euerie	euerie	d	every	every	0
man	man	n1	man	man	0
will	will	vmb	will	will	0
doe	doe	vdi	do	do	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
vvas	vvas	vbds	was	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
way	way	n1	way	way	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
truely	truely	av-j	truly	true	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
serued	serued	vvd	served	serve	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
written	written	j-vvn	written	write	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
for	for	p-acp	for	for	0
vvant	vvant	n1	want	want	0
of	of	pp-f	of	of	0
vvarning	vvarning	n-vvg	warning	warn	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
fall	fall	vvi	fallen	fall	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
stum	stum	fw-la	stum	stum	0
∣	∣	sy	∣	∣	0
bled	bled	vvd	bled	bleed	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
think	think	vvi	think	think	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fault	fault	n1	fault	fault	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
knew	knew	vvd	knew	know	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
such	such	d	such	such	0
downe-falls	downe-falls	j	downfalls	downfalls	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
could	could	vmd	could	can	0
hardly	hardly	av	hardly	hardly	0
climbe	climbe	vvi	climb	climb	0
the	the	dt	the	the	0
hill	hill	n1	hill	hill	0
to	to	p-acp	to	to	0
heauen	heauen	n1	heaven	heaven	0
without	without	p-acp	without	without	0
helpe	helpe	n1	help	help	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
told	told	vvn	told	tell	0
them	them	pno32	them	they	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
I	I	pns11	I	i	0
writ	writ	vvd	writ	write	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
and	and	cc	and	and	0
ready	ready	j	ready	ready	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
Heauen	Heauen	n1	Heaven	heaven	0
wel	wel	av	well	well	0
war	war	vvi	war	war	0
∣	∣	sy	∣	∣	0
anted	anted	vvn	anted	ant	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
scriptures	scriptures	n2	scriptures	scripture	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
olde	olde	j	old	old	0
and	and	cc	and	and	0
new	new	j	new	new	0
