Beloved	Beloved	j-vvn	Beloved	belove	0
,	,	,	,	,	0
YOu	YOu	pn22	YOu	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
whom	whom	ro-crq	whom	who	0
my	my	po11	my	my	0
lot	lot	n1	lot	lot	0
hath	hath	vhz	hath	have	0
fallen	fallen	vvn	fallen	fall	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
fourteen	fourteen	crd	fourteen	fourteen	0
years	years	n2	years	year	0
and	and	cc	and	and	0
upwards	upwards	av-j	upward	upward	0
;	;	;	;	;	0
un	un	fw-fr	un	un	0
∣	∣	sy	∣	∣	0
to	to	pc-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
weaknesse	weaknesse	n1	weakness	weakness	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
fear	fear	n1	fear	fear	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
much	much	d	much	much	0
trembling	trembling	j-vvg	trembling	tremble	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
presence	presence	n1	presence	presence	0
and	and	cc	and	and	0
indulgence	indulgence	n1	indulgence	indulgence	0
of	of	pp-f	of	of	0
Preaching-li	Preaching-li	n1	Preaching-li	preaching-li	0
∣	∣	sy	∣	∣	0
berties	berties	n2	berties	berty	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
successe	successe	n1	success	success	0
)	)	)	)	)	0
all	all	d	all	all	0
the	the	dt	the	the	0
