THAT	THAT	cst	THAT	that	0
the	the	dt	the	the	0
Providence	Providence	n1	Providence	providence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
gracious	gracious	j	gracious	gracious	0
God	God	np1	God	God	0
,	,	,	,	,	0
having	having	vhg	having	have	0
stirred	stirred	vvn	stirred	stir	0
me	me	pno11	me	i	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
consider	consider	vvi	consider	consider	0
,	,	,	,	,	0
and	and	cc	and	and	0
lament	lament	vvi	lament	lament	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
dreadful	dreadful	j	dreadful	dreadful	0
Ruin	Ruin	n1	Ruin	ruin	0
and	and	cc	and	and	0
Destruction	Destruction	n1	Destruction	destruction	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Loyal	Loyal	j	Loyal	loyal	0
Seamen	Seamen	n2	Seamen	seaman	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Lives	Lives	n2	Lives	life	0
and	and	cc	and	and	0
Pay	Pay	vvi	Pay	pay	0
,	,	,	,	,	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
these	these	d	these	these	0
Nations	Nations	n2	Nations	nation	0
did	did	vdd	did	do	0
behold	behold	vvi	behold	behold	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
Represent	Represent	vvi	Represent	represent	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
Humility	Humility	n1	Humility	humility	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nours	nours	ng1	nours	nours	0
;	;	;	;	;	0
and	and	cc	and	and	0
considering	considering	vvg	considering	consider	0
also	also	av	also	also	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Miseries	Miseries	ng1	Misery's	misery	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Judgment	Judgment	n1	Judgement	judgement	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
Reason	Reason	n1	Reason	reason	0
and	and	cc	and	and	0
Common	Common	j	Common	common	0
Sense	Sense	n1	Sense	sense	0
;	;	;	;	;	0
and	and	cc	and	and	0
also	also	av	also	also	0
sometimes	sometimes	av	sometime	sometime	0
against	against	p-acp	against	against	0
those	those	d	those	those	0
other	other	j-jn	other	other	0
Four	Four	crd	Four	four	0
Things	Things	n2	Things	thing	0
that	that	cst	that	that	0
used	used	vvd	used	use	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
esteemed	esteemed	vvn	esteemed	esteem	0
of	of	pp-f	of	of	0
as	as	p-acp	as	as	0
Jewels	Jewels	n2	Jewels	jewel	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
Liberty	Liberty	n1	Liberty	liberty	0
,	,	,	,	,	0
Property	Property	n1	Property	property	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Lives	Lives	n2	Lives	life	0
:	:	:	:	:	0
To	To	pc-acp	To	to	0
say	say	vvi	say	say	0
nothing	nothing	pix	nothing	nothing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Fifth	Fifth	ord	Fifth	five	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
dread	dread	vvi	dread	dread	0
the	the	dt	the	the	0
Consequent	Consequent	j	Consequent	consequent	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
