KINDE	KINDE	j	KIND	kind	0
Bro	Bro	np1	Bro	Bro	0
:	:	:	:	:	0
after	after	p-acp	after	after	0
many	many	d	many	many	0
dayes	dayes	n2	days	day	0
not	not	xx	not	not	0
hauing	hauing	vhg	having	have	0
visited	visited	vvn	visited	visit	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
let	let	n1	let	let	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
lykwise	lykwise	av	lykwise	likewise	0
receaued	receaued	vvd	received	receive	0
any	any	d	any	any	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
Good	Good	j	Good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
high	high	j	high	high	0
tyme	tyme	n1	time	time	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wryte	wryte	vvi	write	write	0
these	these	d	these	these	0
few	few	d	few	few	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
acquainte	acquainte	vvi	acquaint	acquaint	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
now	now	av	now	now	0
matter	matter	n1	matter	matter	0
worth	worth	j	worth	worth	0
labour	labour	n1	labour	labour	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
knowne	knowne	vvn	known	know	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
,	,	,	,	,	0
and	and	cc	and	and	0
manifest	manifest	vvi	manifest	manifest	0
what	what	r-crq	what	what	0
hath	hath	vhz	hath	have	0
be	be	vbi	be	be	0
fallen	fallen	vvn	fallen	fall	0
me	me	pno11	me	i	0
longe	longe	av-j	long	long	0
since	since	p-acp	since	since	0
my	my	po11	my	my	0
arriuall	arriuall	n1	arrival	arrival	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
partes	partes	n2	parts	part	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
ill	ill	j-jn	ill	ill	0
part	part	n1	part	part	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
certi	certi	fw-la	certi	certi	0
∣	∣	sy	∣	∣	0
fyed	fyed	vvn	fyed	fy	0
you	you	pn22	you	you	0
so	so	av	so	so	0
much	much	av-d	much	much	0
ere	ere	c-acp	ere	ere	0
now	now	av	now	now	0
:	:	:	:	:	0
euen	euen	av	even	even	0
then	then	av	then	then	0
(	(	(	(	(	0
perchan	perchan	av	perchan	perchan	0
∣	∣	sy	∣	∣	0
ce	ce	fw-fr	ce	ce	0
)	)	)	)	)	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
first	first	ord	first	first	0
heard	heard	vvd	herd	hear	0
some	some	d	some	some	0
rumor	rumor	n1	rumor	rumor	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
cerning	cerning	j	cerning	cerning	0
the	the	dt	the	the	0
Catholicke	Catholicke	jp	Catholic	catholic	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
ra	ra	uh	ra	ra	0
∣	∣	sy	∣	∣	0
shly	shly	av-j	shly	sh	0
moue	moue	vvb	move	move	0
such	such	d	such	such	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
or	or	cc	or	or	0
with	with	p-acp	with	with	0
out	out	av	out	out	0
firme	firme	j	firm	firm	0
foun	foun	n1	foum	foum	0
∣	∣	sy	∣	∣	0
dation	dation	n1	dation	dation	0
