WHereas	WHereas	cs	WHereas	whereas	0
formerly	formerly	av-j	formerly	former	0
there	there	a-acp	there	there	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
some	some	d	some	some	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
mise	mise	n2	mice	mouse	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
coming	coming	n-vvg	coming	come	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
parts	parts	n2	parts	part	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
my	my	po11	my	my	0
Respects	Respects	n2	Respects	respect	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Worship	Worship	n1	Worship	worship	0
for	for	p-acp	for	for	0
Kindnesses	Kindnesses	n2	Kindnesses	kindness	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
;	;	;	;	;	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
did	did	vdd	did	do	0
largely	largely	av-j	largely	large	0
declare	declare	vvi	declare	declare	0
your	your	po22	your	your	0
Desire	Desire	n1	Desire	desire	0
of	of	pp-f	of	of	0
having	having	vhg	having	have	0
me	me	pno11	me	i	0
your	your	po22	your	your	0
Minister	Minister	n1	Minister	minister	0
at	at	p-acp	at	at	0
Paul's	Paul's	npg1	Paul's	Paul	0
Walden	Walden	np1	Walden	Walden	0
:	:	:	:	:	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
readily	readily	av-j	readily	ready	0
have	have	vhi	have	have	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Kindnesses	Kindnesses	n2	Kindnesses	kindness	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Vica	Vica	np1	Vica	Vica	0
∣	∣	sy	∣	∣	0
ridge-House	ridge-House	n1	ridge-House	ridge-house	0
was	was	vbds	was	be	0
so	so	av	so	so	0
ruinous	ruinous	j	ruinous	ruinous	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Promise	Promise	n1	Promise	promise	0
being	being	vbg	being	be	0
past	past	j	past	past	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
being	being	vbg	being	be	0
else	else	av	else	else	0
∣	∣	sy	∣	∣	0
where	where	c-crq	where	where	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
confess	confess	vvi	confess	confess	0
my	my	po11	my	my	0
self	self	n1	self	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
indebted	indebted	vvn	indebted	indebt	0
since	since	a-acp	since	since	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvb	give	give	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
Sermon	Sermon	n1	Sermon	sermon	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
long	long	av-j	long	long	0
