MOst	MOst	ds	MOst	most	0
honoured	honoured	j-vvn	honoured	honour	0
Prince	Prince	n1	Prince	prince	0
;	;	;	;	;	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
no	no	dx	no	no	0
wonder	wonder	n1	wonder	wonder	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
implore	implore	vvi	implore	implore	0
your	your	po22	your	your	0
Ioynt	Ioynt	n1	Joint	joint	0
Patronage	Patronage	n1	Patronage	patronage	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
my	my	po11	my	my	0
La	La	uh	La	la	0
∣	∣	sy	∣	∣	0
bours	bours	n1	bours	bours	0
,	,	,	,	,	0
sith	sith	c-acp	sith	sith	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
his	his	po31	his	his	0
Ionathan	Ionathan	np1	Ionathan	Jonathan	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
a	a	dt	a	a	0
companion	companion	n1	companion	companion	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
friend	friend	n1	friend	friend	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
his	his	po31	his	his	0
Trauells	Trauells	n2	Travels	travel	0
;	;	;	;	;	0
manifesting	manifesting	vvg	manifesting	manifest	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
as	as	a-acp	as	as	0
faithfull	faithfull	j	faithful	faithful	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
fauoured	fauoured	vvn	favoured	favour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
therefore	therefore	av	therefore	therefore	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
his	his	po31	his	his	0
Associate	Associate	n1	Associate	associate	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Peregrination	Peregrination	n1	Peregrination	peregrination	0
,	,	,	,	,	0
so	so	av	so	so	0
ioyne	ioyne	vvb	join	join	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Patronizing	Patronizing	j-vvg	Patronizing	patronize	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
:	:	:	:	:	0
Moreo	Moreo	np1	Moreo	Moreo	0
∣	∣	sy	∣	∣	0
uer	uer	p-acp	ver	for	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
chiefe	chiefe	j-jn	chief	chief	0
instrument	instrument	n1	instrument	instrument	0
of	of	pp-f	of	of	0
hindring	hindring	vvg	hindering	hinder	0
the	the	dt	the	the	0
mariage	mariage	n1	marriage	marriage	0
with	with	p-acp	with	with	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
furthering	furthering	j-vvg	furthering	further	0
this	this	d	this	this	0
with	with	p-acp	with	with	0
France	France	np1	France	France	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
you	you	pn22	you	you	0
brought	brought	vvd	brought	bring	0
happinesse	happinesse	n1	happiness	happiness	0
vnto	vnto	p-acp	unto	unto	0
this	this	d	this	this	0
Iland	Iland	n1	Island	island	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
it	it	pn31	it	it	0
yeeldeth	yeeldeth	vvz	yields	yield	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
;	;	;	;	;	0
so	so	av	so	so	0
also	also	av	also	also	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
men	men	n2	men	man	0
∣	∣	sy	∣	∣	0
tioned	tioned	vvn	tioned	tion	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
ioynt	ioynt	j	joint	joint	0
Subiect	Subiect	n-jn	Subject	subject	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
vouchsafe	vouchsafe	vvb	vouchsafe	vouchsafe	0
therefore	therefore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
ioynt	ioynt	j	joint	joint	0
Patron	Patron	n1	Patron	patron	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
A	A	dt	A	a	0
fourth	fourth	ord	fourth	four	0
Motiue	Motiue	n1	Motive	motive	0
which	which	r-crq	which	which	0
encourageth	encourageth	vvz	encourageth	encourage	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
request	request	n1	request	request	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
Fauourite	Fauourite	n1	Favourite	favourite	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
King	King	n1	King	king	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
so	so	av	so	so	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
aprincipall	aprincipall	j-jn	aprincipall	aprincipall	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
uourer	uourer	n1	uourer	uourer	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
good	good	j	good	good	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
embalmed	embalmed	vvn	embalmed	embalm	0
with	with	p-acp	with	with	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
memory	memory	n1	memory	memory	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
immortall	immortall	j	immortal	immortal	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
doubting	doubting	vvg	doubting	doubt	0
therefore	therefore	av	therefore	therefore	0
but	but	p-acp	but	but	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
grace	grace	vvi	grace	grace	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
with	with	p-acp	with	with	0
milde	milde	j	mild	mild	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
though	though	cs	though	though	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
written	written	vvn	written	write	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cease	cease	vvb	cease	cease	0
to	to	pc-acp	to	to	0
trouble	trouble	vvi	trouble	trouble	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
alwaies	alwaies	av	always	always	0
rest	rest	vvi	rest	rest	0
an	an	dt	and	a	0
humble	humble	j	humble	humble	0
suiter	suiter	n1	suitor	suitor	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
grace	grace	n1	grace	grace	0
for	for	p-acp	for	for	0
accep	accep	vvi	accept	accept	0
∣	∣	sy	∣	∣	0
tance	tance	n1	tance	tance	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
happinesse	happinesse	n1	happiness	happiness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
present	present	j	present	present	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
future	future	j-jn	future	future	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
blessed	blessed	vvn	blessed	bless	0
inter	inter	fw-la	inter	inter	0
∣	∣	sy	∣	∣	0
nally	nally	av-j	nally	nal	0
,	,	,	,	,	0
externally	externally	av-j	externally	external	0
,	,	,	,	,	0
and	and	cc	and	and	0
eternally	eternally	av-j	eternally	eternal	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
would	would	vmd	would	will	0
multiplie	multiplie	vvi	multiply	multiply	0
all	all	d	all	all	0
temporall	temporall	j	temporal	temporal	0
and	and	cc	and	and	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rituall	rituall	j	ritual	ritual	0
graces	graces	n2	graces	grace	0
vpon	vpon	p-acp	upon	upon	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
.	.	.	.	.	1
