Christian	Christian	np1	Christian	Christian	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
IT	IT	pn31	IT	it	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
indecorum	indecorum	fw-la	indecorum	indecorum	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
custom	custom	n1	custom	custom	0
now	now	av	now	now	0
ob	ob	fw-la	ob	ob	0
∣	∣	sy	∣	∣	0
taineth	taineth	vvz	taineth	tain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
abroad	abroad	av	abroad	abroad	0
a	a	dt	a	a	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
direction	direction	n1	direction	direction	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
seek	seek	vvi	seek	seek	0
its	its	po31	its	its	0
entertainment	entertainment	n1	entertainment	entertainment	0
:	:	:	:	:	0
whether	whether	cs	whither	whether	0
this	this	d	this	this	0
be	be	vbb	be	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imputed	imputed	vvn	imputed	impute	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
unkind	unkind	j	unkind	unkind	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
of	of	pp-f	of	of	0
Readers	Readers	n2	Readers	reader	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
unreasonable	unreasonable	j	unreasonable	unreasonable	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
Writers	Writers	n2	Writers	writer	0
,	,	,	,	,	0
it	it	pn31	it	it	0
concerns	concerns	vvz	concerns	concern	0
me	me	pno11	me	i	0
very	very	av	very	very	0
little	little	j	little	little	0
to	to	pc-acp	to	to	0
enquire	enquire	vvi	inquire	inquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
thee	thee	pno21	thee	thou	0
as	as	p-acp	as	as	0
little	little	j	little	little	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
them	them	pno32	them	they	0
I	I	pns11	I	i	0
send	send	vvb	send	send	0
it	it	pn31	it	it	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
intended	intended	vvd	intended	intend	0
honestly	honestly	av-j	honestly	honest	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
desired	desired	vvd	desired	desire	0
this	this	d	this	this	0
plain	plain	j	plain	plain	0
discourse	discourse	n1	discourse	discourse	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
publish'd	publish'd	vvn	published	publish	0
;	;	;	;	;	0
and	and	cc	and	and	0
though	though	cs	though	though	0
perhaps	perhaps	av	perhaps	perhaps	0
