Right	Right	n-jn	Right	right	0
dearely	dearely	av-jn	dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
THe	THe	dt	THe	the	0
Great	Great	j	Great	great	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Heaven	Heaven	n1	Heaven	heaven	0
and	and	cc	and	and	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
wisdome	wisdome	n1	wisdom	wisdom	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
perfections	perfections	n2	perfections	perfection	0
,	,	,	,	,	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
thinke	thinke	vvi	think	think	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
bestow	bestow	vvi	bestow	bestow	0
you	you	pn22	you	you	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Youth	Youth	n1	Youth	youth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Quintessence	Quintessence	n1	Quintessence	quintessence	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
strength	strength	n1	strength	strength	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Old	Old	j	Old	old	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
dry	dry	j	dry	dry	0
stick	stick	n1	stick	stick	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
Bud	Bud	vvi	Bud	bud	0
,	,	,	,	,	0
Bloome	Bloome	n1	Bloom	bloom	0
Blossomes	Blossomes	n2	Blossoms	blossom	0
,	,	,	,	,	0
and	and	cc	and	and	0
bring	bring	vvi	bring	bring	0
forth	forth	av	forth	forth	0
such	such	d	such	such	0
pleasant	pleasant	j	pleasant	pleasant	0
Al	Al	d	All	all	0
∣	∣	sy	∣	∣	0
monds	monds	n1	monds	monds	0
as	as	c-acp	as	as	0
indeed	indeed	av	indeed	indeed	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
bodies	bodies	n2	bodies	body	0
are	are	vbr	are	be	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
deare	deare	n1	deer	deer	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
precious	precious	j	precious	precious	0
.	.	.	.	.	1
The	The	dt	The	the	0
preservation	preservation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Naturall	Naturall	j	Natural	natural	0
lives	lives	n2	lives	life	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
care	care	n1	care	care	0
af	af	pp-f	of	of	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
subordination	subordination	n1	subordination	subordination	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
the	the	dt	the	the	0
seeking	seeking	n-vvg	seeking	seek	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
Instrument	Instrument	n1	Instrument	instrument	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
way	way	n1	way	way	0
leading	leading	vvg	leading	lead	0
to	to	p-acp	to	to	0
glory	glory	n1	glory	glory	0
and	and	cc	and	and	0
blisse	blisse	n1	bliss	bliss	0
hereafter	hereafter	av	hereafter	hereafter	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
gard	gard	n1	guard	guard	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
singular	singular	j	singular	singular	0
and	and	cc	and	and	0
speciall	speciall	j	special	special	0
manner	manner	n1	manner	manner	0
.	.	.	.	.	1
My	My	po11	My	my	0
deare	deare	j-jn	deer	dear	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
Naturall	Naturall	j	Natural	natural	0
Affection	Affection	n1	Affection	affection	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
so	so	av	so	so	0
far	far	av-j	far	far	0
carry	carry	vvi	carry	carry	0
me	me	pno11	me	i	0
forth	forth	av	forth	forth	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
spirituall	spirituall	j	spiritual	spiritual	0
and	and	cc	and	and	0
Ardent	Ardent	j	Ardent	ardent	0
desires	desires	n2	desires	desire	0
transport	transport	vvb	transport	transport	0
me	me	pno11	me	i	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
enlargednesse	enlargednesse	n1	enlargedness	enlargedness	0
of	of	pp-f	of	of	0
heart	heart	n1	heart	heart	0
and	and	cc	and	and	0
spirit	spirit	n1	spirit	spirit	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
there	there	a-acp	there	there	0
all	all	d	all	all	0
good	good	j	good	good	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Bodies	Bodies	n2	Bodies	body	0
and	and	cc	and	and	0
Soules	Soules	n2	Souls	soul	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Eternity	Eternity	n1	Eternity	eternity	0
through	through	p-acp	through	through	0
free	free	j	free	free	0
grace	grace	n1	grace	grace	0
in	in	p-acp	in	in	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
said	said	vvn	said	say	0
,	,	,	,	,	0
Israel	Israel	np1	Israel	Israel	0
loved	loved	vvd	loved	love	0
Joseph	Joseph	np1	Joseph	Joseph	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
all	all	d	all	all	0
his	his	po31	his	his	0
Children	Children	n2	Children	child	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
old	old	j	old	old	0
Age	Age	n1	Age	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
made	made	vvd	made	make	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
Coat	Coat	n1	Coat	coat	0
of	of	pp-f	of	of	0
ma	ma	fw-fr	ma	ma	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
colours	colours	n2	colours	colour	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
37.3	37.3	crd	37.3	37.3	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
,	,	,	,	,	0
if	if	cs	if	if	0
because	because	p-acp	because	because	0
Joseph	Joseph	np1	Joseph	Joseph	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Fathers	Fathers	ng1	Father's	father	0
old	old	j	old	old	0
Age	Age	n1	Age	age	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
Argument	Argument	n1	Argument	argument	0
to	to	p-acp	to	to	0
Israel	Israel	np1	Israel	Israel	0
to	to	pc-acp	to	to	0
love	love	vvi	love	love	0
him	him	pno31	him	he	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
a	a	dt	a	a	0
large	large	j	large	large	0
love	love	n1	love	love	0
;	;	;	;	;	0
Then	Then	av	Then	then	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
ought	ought	pi	ought	aught	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
)	)	)	)	)	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
blamed	blamed	vvn	blamed	blame	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
manifest	manifest	vvi	manifest	manifest	0
my	my	po11	my	my	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
extraordinary	extraordinary	j	extraordinary	extraordinary	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
having	having	vhg	having	have	0
the	the	dt	the	the	0
same	same	d	same	same	0
reason	reason	n1	reason	reason	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
before	before	a-acp	before	before	0
exprest	exprest	vvn	expressed	express	0
.	.	.	.	.	1
True	True	j	True	true	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
cloath	cloath	n1	cloth	cloth	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
Garments	Garments	n2	Garments	garment	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
colours	colours	n2	colours	colour	0
,	,	,	,	,	0
(	(	(	(	(	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
rich	rich	j	rich	rich	0
and	and	cc	and	and	0
costly	costly	j	costly	costly	0
manner	manner	n1	manner	manner	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
blesse	blesse	vvi	bless	bless	0
