Your	Your	po22	Your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
,	,	,	,	,	0
and	and	cc	and	and	0
obedient	obedient	j	obedient	obedient	0
subiect	subiect	j-jn	subject	subject	0
Lewys	Lewys	np1	Lewys	Lewis	0
Euans	Euans	np1	Euans	Euans	0
,	,	,	,	,	0
faythfully	faythfully	av-j	faithfully	faithful	0
wisheth	wisheth	vvz	wishes	wish	0
here	here	av	here	here	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
long	long	av-j	long	long	0
reigne	reigne	vvi	reign	reign	0
,	,	,	,	,	0
all	all	d	all	all	0
honor	honor	n1	honour	honour	0
,	,	,	,	,	0
much	much	d	much	much	0
heith	heith	n1	heith	heith	0
,	,	,	,	,	0
and	and	cc	and	and	0
continuall	continuall	j	continual	continual	0
prosperitie	prosperitie	n1	prosperity	prosperity	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
heauen	heauen	n1	heaven	heaven	0
euerlasting	euerlasting	j	everlasting	everlasting	0
ioye	ioye	n1	joy	joy	0
,	,	,	,	,	0
and	and	cc	and	and	0
blysse	blysse	n1	bliss	bliss	0
eternall	eternall	j	eternal	eternal	0
.	.	.	.	.	1
THE	THE	dt	THE	the	0
INCLINA	INCLINA	np1	INCLINA	INCLINA	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
Mankind	Mankind	n1	Mankind	mankind	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
graciouse	graciouse	j	gracious	gracious	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
uereigne	uereigne	n-jn	uereigne	uereigne	0
good	good	j	good	good	0
Ladye	Ladye	n1	Lady	lady	0
)	)	)	)	)	0
is	is	vbz	is	be	0
diuers	diuers	j	diverse	diverse	0
,	,	,	,	,	0
and	and	cc	and	and	0
straunge	straunge	j	strange	strange	0
:	:	:	:	:	0
some	some	d	some	some	0
are	are	vbr	are	be	0
giuen	giuen	vvn	given	give	0
to	to	p-acp	to	to	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
uide	uide	fw-la	uide	uide	0
for	for	c-acp	for	for	0
their	their	po32	their	their	0
priuate	priuate	j	private	private	0
gaine	gaine	n1	gain	gain	0
and	and	cc	and	and	0
desires	desires	n2	desires	desire	0
:	:	:	:	:	0
some	some	d	some	some	0
for	for	c-acp	for	for	0
high	high	j	high	high	0
roome	roome	n1	room	room	0
,	,	,	,	,	0
estimation	estimation	n1	estimation	estimation	0
and	and	cc	and	and	0
honor	honor	n1	honour	honour	0
:	:	:	:	:	0
some	some	d	some	some	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
safegard	safegard	n1	safeguard	safeguard	0
