SIrach	SIrach	np1	SIrach	SIrach	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
the	the	dt	the	the	0
seuenth	seuenth	ord	seuenth	seven	0
Chapter	Chapter	n1	Chapter	chapter	0
,	,	,	,	,	0
war	war	n1	war	war	0
∣	∣	sy	∣	∣	0
neth	neth	n1	neth	neth	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
willingly	willingly	av-j	willingly	willing	0
visite	visite	vvi	visit	visit	0
the	the	dt	the	the	0
sick	sick	j	sick	sick	0
.	.	.	.	.	1
And	And	cc	And	and	0
our	our	po12	our	our	0
sauiour	sauiour	n1	saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
Matth.	Matth.	np1	Matth.	Matth.	0
25.	25.	crd	25.	25.	0
will	will	n1	will	will	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
accept	accept	vvi	accept	accept	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
this	this	d	this	this	0
woorke	woorke	n1	work	work	0
of	of	pp-f	of	of	0
cha	cha	pns11	cham	i	0
∣	∣	sy	∣	∣	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
visite	visite	vvi	visit	visit	0
the	the	dt	the	the	0
sicke	sicke	j	sick	sick	0
,	,	,	,	,	0
euen	euen	av	even	even	0
hough	hough	uh	hough	hough	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
r	r	zz	r	r	0
Lord	Lord	n1	Lord	lord	0
Christ	Christ	np1	Christ	Christ	0
him	him	pno31	him	he	0
self	self	n1	self	self	0
saith	saith	vvz	says	say	0
)	)	)	)	)	0
What	What	q-crq	What	what	0
so	so	av	so	so	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
amongst	amongst	p-acp	among	among	0
these	these	d	these	these	0
my	my	po11	my	my	0
llest	llest	js	llest	ll	0
brethrē	brethrē	n2	brothers	brethren	0
,	,	,	,	,	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
you	you	pn22	you	you	0
don	don	vdn	dONE	do	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
.	.	.	.	.	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
then	then	av	then	then	0
,	,	,	,	,	0
welbeloued	welbeloued	j	well-beloved	well-beloved	0
brother	brother	n1	brother	brother	0
,	,	,	,	,	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
to	to	pc-acp	to	to	0
visite	visite	vvi	visit	visit	0
the	the	dt	the	the	0
sick	sick	j	sick	sick	0
,	,	,	,	,	0
is	is	vbz	is	be	0
such	such	d	such	such	0
ighe	ighe	j	ighe	ighe	0
and	and	cc	and	and	0
speciall	speciall	j	special	special	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
charitie	charitie	n1	charity	charity	0
,	,	,	,	,	0
such	such	d	such	such	0
a	a	dt	a	a	0
one	one	pi	one	one	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
at	at	p-acp	at	at	0
Doomes	Doomes	ng1	Dooms	doom	0
day	day	n1	day	day	0
allowe	allowe	vvi	allow	allow	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
vs	vs	pno12	us	we	0
e	e	sy	e	e	0
his	his	po31	his	his	0
disciples	disciples	n2	disciples	disciple	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
not	not	xx	not	not	0
alonly	alonly	av-j	alonely	alone	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
whole	whole	j-jn	whole	whole	0
rtes	rtes	n2	rtes	rte	0
delight	delight	vvb	delight	delight	0
to	to	pc-acp	to	to	0
shewe	shewe	vvi	show	show	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
e	e	uh	e	e	0
diligent	diligent	j	diligent	diligent	0
care	care	n1	care	care	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
what	what	r-crq	what	what	0
t	t	sy	tO	t	0
,	,	,	,	,	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
properly	properly	av-j	properly	proper	0
and	and	cc	and	and	0
rightly	rightly	av-jn	rightly	right	0
visite	visite	vvi	visit	visit	0
the	the	dt	the	the	0
sicke	sicke	j	sick	sick	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
specially	specially	av-j	specially	special	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
two	two	crd	two	two	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
wayes	wayes	n2	ways	way	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
euery	euery	d	every	every	0
sicke	sicke	j	sick	sick	0
body	body	n1	body	body	0
hath	hath	vhz	hath	have	0
specially	specially	av-j	specially	special	0
neede	neede	n1	need	need	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
remedies	remedies	n2	remedies	remedy	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
his	his	po31	his	his	0
soul	soul	n1	soul	soul	0
be	be	vbi	be	be	0
holpē	holpē	vvn	helped	help	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
be	be	vbb	be	be	0
once	once	a-acp	once	once	0
holpen	holpen	vvn	helped	help	0
,	,	,	,	,	0
then	then	av	then	then	0
will	will	vmb	will	will	0
the	the	dt	the	the	0
body	body	n1	body	body	0
be	be	vbb	be	be	0
easily	easily	av-j	easily	easy	0
holpen	holpen	vvn	helped	help	0
afterward	afterward	av	afterwards	afterward	0
.	.	.	.	.	1
Therfore	Therfore	av	Therefore	therefore	0
,	,	,	,	,	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
remedie	remedie	vvi	remedy	remedy	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
exhort	exhort	vvi	exhort	exhort	0
the	the	dt	the	the	0
sicke	sicke	j	sick	sick	0
body	body	n1	body	body	0
to	to	p-acp	to	to	0
repentance	repentance	n1	repentance	repentance	0
,	,	,	,	,	0
&	&	cc	&	and	0
make	make	vvi	make	make	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
vnderstand	vnderstand	vvi	understand	understand	0
his	his	po31	his	his	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
teach	teach	vvb	teach	teach	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
helpe	helpe	n1	help	help	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
that	that	cst	that	that	0
againe	againe	av	again	again	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
comfort	comfort	vvi	comfort	comfort	0
and	and	cc	and	and	0
lift	lift	vvi	lift	lift	0
vp	vp	a-acp	up	up	0
his	his	po31	his	his	0
fearefull	fearefull	j	fearful	fearful	0
conscience	conscience	n1	conscience	conscience	0
