forcible	forcible	j	forcible	forcible	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
therefore	therefore	av	therefore	therefore	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
time	time	n1	time	time	0
,	,	,	,	,	0
du	du	fw-fr	du	du	0
∣	∣	sy	∣	∣	0
ring	ring	vvi	ring	ring	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
life	life	n1	life	life	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prouide	prouide	vvi	provide	provide	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
prouision	prouision	n1	provision	provision	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
necessarie	necessarie	j	necessary	necessary	0
for	for	p-acp	for	for	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
death	death	n1	death	death	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
to	to	pc-acp	to	to	0
furnish	furnish	vvi	furnish	furnish	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
fence	fence	vvi	fence	fence	0
vs	vs	pno12	us	we	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
great	great	j	great	great	0
forces	forces	n2	forces	force	0
that	that	cst	that	that	0
the	the	dt	the	the	0
diuell	diuell	n1	devil	devil	0
will	will	vmb	will	will	0
then	then	av	then	then	0
make	make	vvi	make	make	0
against	against	p-acp	against	against	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
euen	euen	av	even	even	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
carrying	carrying	vvg	carrying	carry	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
way	way	n1	way	way	0
:	:	:	:	:	0
knowing	knowing	vvg	knowing	know	0
this	this	d	this	this	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
certaintie	certaintie	n1	certainty	certainty	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
then	then	av	then	then	0
faile	faile	vvi	fail	fail	0
,	,	,	,	,	0
that	that	cst	that	that	0
then	then	av	then	then	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
place	place	n1	place	place	0
left	left	vvn	left	leave	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
for	for	p-acp	for	for	0
shame	shame	n1	shame	shame	0
,	,	,	,	,	0
leaue	leaue	vvb	leave	leave	0
,	,	,	,	,	0
and	and	cc	and	and	0
giue	giue	vvb	give	give	0
vp	vp	a-acp	up	up	0
his	his	po31	his	his	0
siege	siege	n1	siege	siege	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
euer	euer	av	ever	ever	0
returning	returning	vvg	returning	return	0
anymore	anymore	av	anymore	anymore	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
the	the	dt	the	the	0
armour	armour	n1	armour	armour	0
&	&	cc	&	and	0
weapons	weapons	n2	weapons	weapon	0
wherwith	wherwith	c-crq	wherewith	wherewith	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
principally	principally	av-j	principally	principal	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
are	are	vbr	are	be	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
lay	lay	vvb	lay	lay	0
hold	hold	vvb	hold	hold	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
fauour	fauour	n1	favour	favour	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
insteede	insteede	av	instead	instead	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
buckler	buckler	n1	buckler	buckler	0
and	and	cc	and	and	0
target	target	n1	target	target	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
couer	couer	vvi	cover	cover	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
vs	vs	pno12	us	we	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
venimous	venimous	j	venomous	venomous	0
and	and	cc	and	and	0
fierie	fierie	j	fiery	fiery	0
darts	darts	n2	darts	dart	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
mortall	mortall	j-jn	mortal	mortal	0
and	and	cc	and	and	0
bitter	bitter	j	bitter	bitter	0
enimie	enimie	n1	enemy	enemy	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
word	word	n1	word	word	0
,	,	,	,	,	0
couragiously	couragiously	av-j	courageously	courageous	0
and	and	cc	and	and	0
manfully	manfully	av-j	manfully	manful	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
vp	vp	a-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
foile	foile	vvi	foil	foil	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
did	did	vdd	did	do	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
these	these	d	these	these	0
two	two	crd	two	two	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
either	either	av-d	either	either	0
defend	defend	vvi	defend	defend	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
or	or	cc	or	or	0
driue	driue	vvi	driven	drive	0
backe	backe	av	back	back	0
his	his	po31	his	his	0
forces	forces	n2	forces	force	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
get	get	vvb	get	get	0
the	the	dt	the	the	0
full	full	j	full	full	0
victorie	victorie	n1	victory	victory	0
ouer	ouer	p-acp	over	over	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
caus	caus	n1	cause	cause	0
(	(	(	(	(	0
my	my	po11	my	my	0
brethren	brethren	n2	brothers	brethren	0
)	)	)	)	)	0
why	why	q-crq	why	why	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
collected	collected	vvn	collected	collect	0
and	and	cc	and	and	0
gathered	gathered	vvn	gathered	gather	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
scrip	scrip	n1	scrip	scrip	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
,	,	,	,	,	0
certaine	certaine	j	certain	certain	0
fit	fit	j	fit	fit	0
places	places	n2	places	place	0
to	to	pc-acp	to	to	0
cfort	cfort	vvi	cfort	cfort	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
confirme	confirme	vvi	confirm	confirm	0
you	you	pn22	you	you	0
against	against	p-acp	against	against	0
those	those	d	those	those	0
tempta	tempta	fw-la	tempta	tempta	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
assaulted	assaulted	vvn	assaulted	assault	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
point	point	n1	point	point	0
and	and	cc	and	and	0
moment	moment	n1	moment	moment	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
deferre	deferre	vvi	defer	defer	0
vntill	vntill	c-acp	until	until	0
this	this	d	this	this	0
last	last	ord	last	last	0
houre	houre	n1	hour	hour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
fur	fur	n1	fur	fur	0
∣	∣	sy	∣	∣	0
nish	nish	vvb	nish	nish	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
doing	doing	vdg	doing	do	0
herein	herein	av	herein	herein	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
doe	doe	vdb	do	do	0
foolish	foolish	j	foolish	foolish	0
Captaines	Captaines	n2	Captains	captain	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
put	put	vvd	put	put	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
furnishing	furnishing	n-vvg	furnishing	furnish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
places	places	n2	places	place	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
mitted	mitted	vvn	mitted	mit	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
necessarie	necessarie	j	necessary	necessary	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
garding	garding	vvg	guarding	guard	0
and	and	cc	and	and	0
keeping	keeping	vvg	keeping	keep	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
vntill	vntill	c-acp	until	until	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
uironed	uironed	vvn	uironed	uiron	0
and	and	cc	and	and	0
compassed	compassed	vvn	compassed	compass	0
about	about	a-acp	about	about	0
with	with	p-acp	with	with	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
their	their	po32	their	their	0
foes	foes	n2	foes	foe	0
:	:	:	:	:	0
whereup	whereup	zz	whereup	whereup	0
∣	∣	sy	∣	∣	0
on	on	zz	on	on	0
it	it	pn31	it	it	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
commeth	commeth	vvz	comes	come	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
,	,	,	,	,	0
that	that	cst	that	that	0
seeing	seeing	vvg	seeing	see	0
themselues	themselues	px32	themselves	themselves	0
destitute	destitute	j	destitute	destitute	0
and	and	cc	and	and	0
bereft	bereft	vvn	bereft	bereave	0
of	of	pp-f	of	of	0
necessarie	necessarie	j	necessary	necessary	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
and	and	cc	and	and	0
instruments	instruments	n2	instruments	instrument	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
cause	cause	n1	cause	cause	0
finding	finding	vvg	finding	find	0
themselues	themselues	px32	themselves	themselves	0
amazed	amazed	vvn	amazed	amaze	0
and	and	cc	and	and	0
astoni	astoni	fw-la	astoni	astoni	0
∣	∣	sy	∣	∣	0
shd	shd	j-vvn	shd	shd	0
,	,	,	,	,	0
they	they	pns32	they	they	0
quickely	quickely	av-j	quickly	quick	0
leaue	leaue	vvi	leave	leave	0
their	their	po32	their	their	0
holdes	holdes	n2	holds	hold	0
,	,	,	,	,	0
and	and	cc	and	and	0
yeeld	yeeld	vvi	yield	yield	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
foes	foes	n2	foes	foe	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
following	following	vvg	following	follow	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emet	Emet	n1	Emet	emet	0
or	or	cc	or	or	0
pissemire	pissemire	vvi	pissemire	pissemire	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
make	make	vvi	make	make	0
prouision	prouision	n1	provision	provision	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
season	season	n1	season	season	0
and	and	cc	and	and	0
conuenient	conuenient	j	convenient	convenient	0
time	time	n1	time	time	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
that	that	cst	that	that	0
the	the	dt	the	the	0
winter	winter	n1	winter	winter	0
following	following	vvg	following	follow	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
well	well	av	well	well	0
proui	proui	uh	proui	proui	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
thinges	thinges	n2	things	thing	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
necessa	necessa	fw-la	necessa	necessa	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
passing	passing	vvg	passing	pass	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
easie	easie	j	easy	easy	0
vndergoing	vndergoing	j-vvg	undergoing	undergo	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
roughnesse	roughnesse	n1	roughness	roughness	0
and	and	cc	and	and	0
sharpnesse	sharpnesse	n1	sharpness	sharpness	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
,	,	,	,	,	0
marke	marke	vvb	mark	mark	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
treatise	treatise	n1	treatise	treatise	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
and	and	cc	and	and	0
send	send	vvi	send	send	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
those	those	d	those	those	0
places	places	n2	places	place	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
alledged	alledged	vvn	alleged	allege	0
against	against	p-acp	against	against	0
distrust	distrust	n1	distrust	distrust	0
and	and	cc	and	and	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
sumption	sumption	n1	sumption	sumption	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
capitall	capitall	j	capital	capital	0
and	and	cc	and	and	0
principall	principall	j-jn	principal	principal	0
temptations	temptations	n2	temptations	temptation	0
,	,	,	,	,	0
that	that	cst	that	that	0
Sathan	Sathan	np1	Sathan	Satan	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
dinarilie	dinarilie	av-jn	dinarilie	dinarilie	0
vseth	vseth	vvz	uses	use	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
battering	battering	j-vvg	battering	batter	0
and	and	cc	and	and	0
ouerthrowing	ouerthrowing	vvg	overthrowing	overthrow	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
setting	setting	vvg	setting	set	0
before	before	p-acp	before	before	0
our	our	po12	our	our	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
either	either	d	either	either	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
and	and	cc	and	and	0
greatnes	greatnes	n1	greatness	greatness	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
to	to	pc-acp	to	to	0
throw	throw	vvi	throw	throw	0
vs	vs	pno12	us	we	0
headlong	headlong	av-j	headlong	headlong	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
distrust	distrust	n1	distrust	distrust	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
