WHen	WHen	c-crq	WHen	when	0
it	it	pn31	it	it	0
chaūced	chaūced	vvd	chanced	chance	0
a	a	dt	a	a	0
copye	copye	n1	copy	copy	0
of	of	pp-f	of	of	0
thys	thys	d	this	this	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Virgill	Virgill	np1	Virgill	Virgil	0
,	,	,	,	,	0
traunslated	traunslated	vvn	translated	translate	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
graces	graces	ng1	graces	grace	0
father	father	n1	father	father	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
hono	hono	fw-it	hono	hono	0
¦	¦	sy	¦	¦	0
rable	rable	n1	rabble	rabble	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
of	of	pp-f	of	of	0
myne	myne	png11	mine	i	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
hāds	hāds	n2	hands	hand	0
:	:	:	:	:	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
held	held	vvn	held	hold	0
ye	ye	pn22	you	you	0
same	same	d	same	same	0
as	as	c-acp	as	as	0
no	no	dx	no	no	0
smal	smal	j	small	small	0
treasure	treasure	n1	treasure	treasure	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
heard	heard	vvn	herd	hear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
lyke	lyke	av-j	like	like	0
as	as	c-acp	as	as	0
others	others	n2-jn	others	other	0
the	the	dt	the	the	0
monumētes	monumētes	n2	monuments	monument	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
noble	noble	j	noble	noble	0
wyt	wyt	n1	wit	wit	0
of	of	pp-f	of	of	0
hys	hys	png31	his	he	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
thys	thys	d	this	this	0
kynde	kynde	n1	kind	kind	0
no	no	dx	no	no	0
doute	doute	n1	doubt	doubt	0
