THESE	THESE	d	THESE	these	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
purposely	purposely	av	purposely	purposely	0
commen	commen	vvn	come	come	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	pc-acp	to	to	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
faithfull	faithfull	j	faithful	faithful	0
flock	flock	n1	flock	flock	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
were	were	vbdr	were	be	0
pleased	pleased	vvn	pleased	please	0
(	(	(	(	(	0
about	about	p-acp	about	about	0
three	three	crd	three	three	0
yeares	yeares	n2	years	year	0
agoe	agoe	av	ago	ago	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
chuse	chuse	vvi	choose	choose	0
me	me	pno11	me	i	0
(	(	(	(	(	0
minimus	minimus	fw-la	minimus	minimus	0
Apostolo	Apostolo	np1	Apostolo	Apostolo	0
∣	∣	sy	∣	∣	0
um	um	pno32	um	they	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
Pastor	Pastor	n1	Pastor	pastor	0
to	to	pc-acp	to	to	0
feed	feed	vvi	feed	feed	0
your	your	po22	your	your	0
soules	soules	n2	souls	soul	0
.	.	.	.	.	1
And	And	cc	And	and	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
set	set	vvn	set	set	0
my	my	po11	my	my	0
shoulders	shoulders	n2	shoulders	shoulder	0
unto	unto	p-acp	unto	unto	0
my	my	po11	my	my	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
and	and	cc	and	and	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
poore	poore	j	poor	poor	0
talent	talent	n1	talon	talon	0
,	,	,	,	,	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
have	have	vhb	have	have	0
laboured	laboured	vvn	laboured	labour	0
to	to	pc-acp	to	to	0
build	build	vvi	built	build	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
perfect	perfect	j	perfect	perfect	0
building	building	n1	building	building	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
Christ	Christ	np1	Christ	Christ	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
corner	corner	n1	corner	corner	0
stone	stone	n1	stone	stone	0
.	.	.	.	.	1
I	I	pns11	I	i	0
blesse	blesse	vvb	bless	bless	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
;	;	;	;	;	0
that	that	d	that	that	0
you	you	pn22	you	you	0
use	use	vvb	use	use	0
the	the	dt	the	the	0
means	means	n2	means	mean	0
for	for	p-acp	for	for	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
know	know	vvi	know	know	0
∣	∣	sy	∣	∣	0
ledge	ledge	n1	ledge	ledge	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
labour	labour	n1	labour	labour	0
to	to	pc-acp	to	to	0
thrive	thrive	vvi	thrive	thrive	0
herein	herein	av	herein	herein	0
;	;	;	;	;	0
hold	hold	vvb	hold	hold	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gods	Gods	ng1	Gods	god	0
blessing	blessing	n1	blessing	blessing	0
will	will	vmb	will	will	0
guide	guide	vvi	guide	guide	0
,	,	,	,	,	0
and	and	cc	and	and	0
goe	goe	vvi	go	go	0
along	along	a-acp	along	along	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
;	;	;	;	;	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
babes	babes	n2	babes	babe	0
and	and	cc	and	and	0
children	children	n2	children	child	0
in	in	p-acp	in	in	0
Christianity	Christianity	np1	Christianity	Christianity	0
▪	▪	▪	▪	▪	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
all	all	d	all	all	0
grow	grow	vvi	grow	grow	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
tall	tall	j	tall	tall	0
Christians	Christians	np1	Christians	Christians	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
joy	joy	n1	joy	joy	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
the	the	dt	the	the	0
following	following	j-vvg	following	follow	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
stirre	stirre	vvi	stir	stir	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
growth	growth	n1	growth	growth	0
in	in	p-acp	in	in	0
grace	grace	n1	grace	grace	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
ever	ever	av	ever	ever	0
my	my	po11	my	my	0
endeavours	endeavours	n2	endeavours	endeavour	0
,	,	,	,	,	0
and	and	cc	and	and	0
pray	pray	vvb	pray	pray	0
∣	∣	sy	∣	∣	0
ers	ers	j	ers	ers	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
my	my	po11	my	my	0
witnesse	witnesse	n1	witness	witness	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
sought	sought	vvn	sought	seek	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
resolved	resolved	vvn	resolved	resolve	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
to	to	pc-acp	to	to	0
spend	spend	vvi	spend	spend	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
spent	spent	vvn	spent	spend	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Had	Had	vhd	Had	have	0
I	I	pns11	I	i	0
sent	sent	vvn	sent	send	0
this	this	d	this	this	0
sub	sub	fw-la	sub	sub	0
∣	∣	sy	∣	∣	0
ject	ject	n1	ject	ject	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
view	view	n1	view	view	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
these	these	d	these	these	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
troubles	troubles	n2	troubles	trouble	0
;	;	;	;	;	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
distast	distast	n1	distaste	distaste	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
preached	preached	vvn	preached	preach	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
God	God	np1	God	God	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
speciall	speciall	j	special	special	0
providence	providence	n1	providence	providence	0
)	)	)	)	)	0
having	having	vhg	having	have	0
brought	brought	vvn	brought	bring	0
me	me	pno11	me	i	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
(	(	(	(	(	0
a	a	dt	a	a	0
willing	willing	j	willing	willing	0
people	people	n1	people	people	0
)	)	)	)	)	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
encouraged	encouraged	vvn	encouraged	encourage	0
to	to	pc-acp	to	to	0
recommend	recommend	vvi	recommend	recommend	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
protection	protection	n1	protection	protection	0
;	;	;	;	;	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
siring	siring	vvg	siring	sire	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
finde	finde	vvi	find	find	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
affection	affection	n1	affection	affection	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
now	now	av	now	now	0
Printed	Printed	vvn	Printed	print	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
attention	attention	n1	attention	attention	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
Preached	Preached	vvn	Preached	preach	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
my	my	po11	my	my	0
booke	booke	n1	book	book	0
is	is	vbz	is	be	0
brought	brought	vvn	brought	bring	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
bloody	bloody	j	bloody	bloody	0
time	time	n1	time	time	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
our	our	po12	our	our	0
crying	crying	j-vvg	crying	cry	0
sins	sins	n2	sins	sin	0
have	have	vhb	have	have	0
caused	caused	vvn	caused	cause	0
clouds	clouds	n2	clouds	cloud	0
to	to	pc-acp	to	to	0
rise	rise	vvi	rise	rise	0
every	every	d	every	every	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
poure	poure	vvb	pour	pour	0
down	down	a-acp	down	down	0
showers	showers	n2	showers	shower	0
of	of	pp-f	of	of	0
blood	blood	n1	blood	blood	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
land	land	n1	land	land	0
;	;	;	;	;	0
It	It	pn31	It	it	0
comes	comes	vvz	comes	come	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
criti	criti	n1	criti	criti	0
∣	∣	sy	∣	∣	0
call	call	vvb	call	call	0
age	age	n1	age	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
meete	meete	vvi	meet	meet	0
with	with	p-acp	with	with	0
many	many	d	many	many	0
Annomus	Annomus	np1	Annomus	Annomus	0
,	,	,	,	,	0
many	many	d	many	many	0
Antagonists	Antagonists	n2	Antagonists	antagonist	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
sent	sent	vvn	sent	send	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
