Reverend	Reverend	n-jn	Reverend	reverend	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
THese	THese	d	THese	these	0
meditations	meditations	n2	meditations	meditation	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
themselves	themselves	px32	themselves	themselves	0
yours	yours	png22	yours	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
drawn	drawn	vvn	drawn	draw	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
command	command	n1	command	command	0
and	and	cc	and	and	0
call	call	vvi	call	call	0
.	.	.	.	.	1
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
commanded	commanded	vvn	commanded	command	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
ears	ears	n2	ears	ear	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
are	are	vbr	are	be	0
commended	commended	vvn	commended	commend	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
.	.	.	.	.	1
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
receive	receive	vvb	receive	receive	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
own	own	d	own	own	0
again	again	av	again	again	0
,	,	,	,	,	0
although	although	cs	although	although	0
not	not	xx	not	not	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
deserve	deserve	vvb	deserve	deserve	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
desire	desire	vvi	desire	desire	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
stow	stow	zz	stow	stow	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
conscious	conscious	j	conscious	conscious	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
own	own	d	own	own	0
insuffici	insuffici	fw-fr	insuffici	insuffici	0
∣	∣	sy	∣	∣	0
encies	encies	n2	encies	ency	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
withal	withal	av	withal	withal	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
candid	candid	j	candid	candid	0
ingenui	ingenui	fw-la	ingenui	ingenui	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
who	who	r-crq	who	who	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
insincerity	insincerity	n1	insincerity	insincerity	0
.	.	.	.	.	1
I	I	pns11	I	i	0
throw	throw	vvb	throw	throw	0
this	this	d	this	this	0
childe	childe	n1	child	child	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
age	age	n1	age	age	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
arms	arms	n2	arms	arm	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pious	pious	j	pious	pious	0
Patronage	Patronage	n1	Patronage	patronage	0
:	:	:	:	:	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
finde	finde	vvi	find	find	0
a	a	dt	a	a	0
room	room	n1	room	room	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hearts	hearts	n2	hearts	heart	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
word	word	n1	word	word	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
lips	lips	n2	lips	lip	0
,	,	,	,	,	0
either	either	av-d	either	either	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
to	to	pc-acp	to	to	0
excuse	excuse	vvi	excuse	excuse	0
it	it	pn31	it	it	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
murmurings	murmurings	n2	murmurings	murmur	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Momus	Momus	np1	Momus	Momus	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
cavils	cavils	n2	cavils	cavil	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Critick	Critick	n1	Critic	critic	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
check	check	vvi	check	check	0
,	,	,	,	,	0
or	or	cc	or	or	0
chide	chide	vvi	chide	chide	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
with	with	p-acp	with	with	0
black-mouthes	black-mouthes	n2	black-mouthes	black-mouthe	0
blame	blame	vvb	blame	blame	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hearing	hearing	n-vvg	hearing	hear	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
