SAint	SAint	n1	SAint	saint	0
Paul	Paul	np1	Paul	Paul	0
telling	telling	vvg	telling	tell	0
us	us	pno12	us	we	0
what	what	q-crq	what	what	0
enemies	enemies	n2	enemies	enemy	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
expect	expect	vvi	expect	expect	0
to	to	pc-acp	to	to	0
encounter	encounter	vvi	encounter	encounter	0
withall	withall	av	withal	withal	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
life	life	n1	life	life	0
,	,	,	,	,	0
Ephes.	Ephes.	np1	Ephes.	Ephes.	1
6.12	6.12	crd	6.12	6.12	0
.	.	.	.	.	0
among	among	p-acp	among	among	0
others	others	n2-jn	others	other	0
lets	lets	n2	lets	let	0
fall	fall	vvi	fallen	fall	0
this	this	d	this	this	0
hidden	hidden	j-vvn	hidden	hide	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
wrastle	wrastle	vvi	wrestle	wrestle	0
against	against	p-acp	against	against	0
,	,	,	,	,	0
the	the	dt	the	the	0
worldly	worldly	j	worldly	worldly	0
or	or	cc	or	or	0
the	the	dt	the	the	0
sublunary	sublunary	j	sublunary	sublunary	0
rulers	rulers	n2	rulers	ruler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
darkness	darkness	n1	darkness	darkness	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
age	age	n1	age	age	0
is	is	vbz	is	be	0
every	every	d	every	every	0
age	age	n1	age	age	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
fall	fall	n1	fallen	fall	0
of	of	pp-f	of	of	0
Adam	Adam	np1	Adam	Adam	0
'tis	'tis	pn31|vbz	it's	it|be	0
the	the	dt	the	the	0
same	same	d	same	same	0
world	world	n1	world	world	0
still	still	av	still	still	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
same	same	d	same	same	0
enemies	enemies	n2	enemies	enemy	0
only	only	av-j	only	only	0
God	God	np1	God	God	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
higher	higher	jc	higher	high	0
then	then	cs	then	than	0
the	the	dt	the	the	0
highest	highest	js	highest	high	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
exalted	exalted	vvn	exalted	exalt	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
Prin	Prin	n1	Prin	prin	0
∣	∣	sy	∣	∣	0
cipalities	cipalities	n2	cipalities	cipality	0
and	and	cc	and	and	0
Powers	Powers	n2	Powers	power	0
,	,	,	,	,	0
restraines	restraines	vvz	restrains	restrain	0
or	or	cc	or	or	0
lets	lets	vvz	lets	let	0
loose	loose	av-j	lose	loose	0
the	the	dt	the	the	0
malice	malice	n1	malice	malice	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
enemies	enemies	n2	enemies	enemy	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
sins	sins	n2	sins	sin	0
are	are	vbr	are	be	0
lighter	lighter	jc	lighter	light	0
or	or	cc	or	or	0
heavier	heavier	jc	heavier	heavy	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
scales	scales	n2	scales	scale	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
justice	justice	n1	justice	justice	0
.	.	.	.	.	0
,	,	,	,	,	0
sometimes	sometimes	av	sometime	sometime	0
the	the	dt	the	the	0
Trojans	Trojans	njp2	Trojans	trojan	0
,	,	,	,	,	0
sometimes	sometimes	av	sometime	sometime	0
the	the	dt	the	the	0
Graecians	Graecians	njp2	Grecians	grecian	0
got	got	vvd	god	get	0
the	the	dt	the	the	0
worst	worst	js	worst	worst	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Homers	Homers	npg1	Homers	Homer	0
deity	deity	n1	deity	deity	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
clined	clined	vvn	clined	cline	0
the	the	dt	the	the	0
balance	balance	n1	balance	balance	0
upon	upon	p-acp	upon	upon	0
mount	mount	n1	mount	mount	0
Ida.	Ida.	np1	Ida.	Ida	1
Tis	Tis	pn31|vbz	This	it|be	0
a	a	dt	a	a	0
truth	truth	n1	truth	truth	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
Holy	Holy	j	Holy	holy	0
writ	writ	n1	writ	writ	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
sometimes	sometimes	av	sometime	sometime	0
Israel	Israel	np1	Israel	Israel	0
,	,	,	,	,	0
sometimes	sometimes	av	sometime	sometime	0
Amaleck	Amaleck	np1	Amaleck	Amaleck	0
(	(	(	(	(	0
understand	understand	vvb	understand	understand	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
enemy	enemy	n1	enemy	enemy	0
)	)	)	)	)	0
prevailed	prevailed	vvd	prevailed	prevail	0
.	.	.	.	.	1
So	So	av	So	so	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
unna	unna	n1	unna	unna	0
∣	∣	sy	∣	∣	0
turall	turall	j	turall	turall	0
broiles	broiles	n2	broils	broil	0
,	,	,	,	,	0
sometimes	sometimes	av	sometime	sometime	0
the	the	dt	the	the	0
balance	balance	n1	balance	balance	0
hath	hath	vhz	hath	have	0
inclined	inclined	vvn	inclined	incline	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
,	,	,	,	,	0
sometimes	sometimes	av	sometime	sometime	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
side	side	n1	side	side	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mean	mean	j	mean	mean	0
time	time	n1	time	time	0
both	both	d	both	both	0
sides	sides	n2	sides	side	0
did	did	vdd	did	do	0
abuse	abuse	vvi	abuse	abuse	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
abused	abused	vvn	abused	abuse	0
(	(	(	(	(	0
God	God	n1	God	god	0
justly	justly	av-j	justly	just	0
suffering	suffering	vvg	suffering	suffer	0
it	it	pn31	it	it	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
others	others	ng2-jn	others	other	0
,	,	,	,	,	0
I	I	pns11	I	i	0
mean	mean	vvb	mean	mean	0
,	,	,	,	,	0
those	those	d	those	those	0
now	now	av	now	now	0
