THese	THese	d	THese	these	0
Books	Books	n2	Books	book	0
of	of	pp-f	of	of	0
Constan	Constan	np1	Constan	Constan	0
∣	∣	sy	∣	∣	0
cy	cy	n1	cy	cy	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
both	both	av-d	both	both	0
began	began	vvd	began	begin	0
and	and	cc	and	and	0
finished	finished	vvn	finished	finish	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
troubles	troubles	n2	troubles	trouble	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
meet	meet	vvi	meet	meet	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
,	,	,	,	,	0
and	and	cc	and	and	0
devote	devote	vvb	devote	devote	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
the	the	dt	the	the	0
great	great	j	great	great	0
Sena	Sena	np1	Sena	Sena	0
∣	∣	sy	∣	∣	0
tours	tours	ng2	tours	tours	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
City	City	n1	City	city	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Dignity	Dignity	n1	Dignity	dignity	0
,	,	,	,	,	0
Prudence	Prudence	n1	Prudence	prudence	0
,	,	,	,	,	0
and	and	cc	and	and	0
Vir	Vir	fw-la	Vir	vir	0
∣	∣	sy	∣	∣	0
tue	tue	uh	tue	tue	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
motives	motives	n2	motives	motive	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
;	;	;	;	;	0
to	to	pc-acp	to	to	0
∣	∣	sy	∣	∣	0
gether	gether	av	gether	gether	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
humanity	humanity	n1	humanity	humanity	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
often	often	av	often	often	0
expe	expe	j	expe	expe	0
∣	∣	sy	∣	∣	0
rienced	rienced	j	rienced	rienced	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
peculiar	peculiar	j	peculiar	peculiar	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
;	;	;	;	;	0
towards	towards	p-acp	towards	towards	0
all	all	d	all	all	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
good	good	j	good	good	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
.	.	.	.	.	1
You	You	pn22	You	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
disdain	disdain	vvi	disdain	disdain	0
the	the	dt	the	the	0
gift	gift	n1	gift	gift	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
small	small	j	small	small	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
will	will	vmb	will	will	0
derive	derive	vvi	derive	derive	0
a	a	dt	a	a	0
kind	kind	n1	kind	kind	0
of	of	pp-f	of	of	0
value	value	n1	valve	value	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Donour	Donour	n1	Donour	donour	0
:	:	:	:	:	0
See	See	vvb	See	see	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
very	very	av	very	very	0
best	best	js	best	best	0
,	,	,	,	,	0
and	and	cc	and	and	0
greatest	greatest	js	greatest	great	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
things	things	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
Scholastical	Scholastical	j	Scholastical	scholastical	0
stores	stores	vvz	stores	store	0
would	would	vmd	would	will	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
afford	afford	vvi	afford	afford	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
clude	clude	vvb	clude	clude	0
,	,	,	,	,	0
possibly	possibly	av-j	possibly	possible	0
the	the	dt	the	the	0
novelty	novelty	n1	novelty	novelty	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
some	some	d	some	some	0
way	way	n1	way	way	0
recommend	recommend	vvb	recommend	recommend	0
it	it	pn31	it	it	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
(	(	(	(	(	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
mistaken	mistaken	vvn	mistaken	mistake	0
)	)	)	)	)	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
have	have	vhb	have	have	0
attempt	attempt	n1	attempt	attempt	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
the	the	dt	the	the	0
opening	opening	n-vvg	opening	open	0
,	,	,	,	,	0
and	and	cc	and	and	0
clearing	clearing	vvg	clearing	clear	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
Wisdom	Wisdom	n1	Wisdom	wisdom	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	j	long	long	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
cluded	cluded	vvn	cluded	clude	0
,	,	,	,	,	0
and	and	cc	and	and	0
overgrown	overgrown	vvn	overgrown	overgrow	0
with	with	p-acp	with	with	0
thorns	thorns	n2	thorns	thorn	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
certainly	certainly	av-j	certainly	certain	0
is	is	vbz	is	be	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
inconjunction	inconjunction	n1	inconjunction	inconjunction	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
)	)	)	)	)	0
will	will	vmb	will	will	0
lead	lead	vvi	led	lead	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
tran	tran	vvd	tran	tran	0
∣	∣	sy	∣	∣	0
quility	quility	n1	quility	quility	0
,	,	,	,	,	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
my	my	po11	my	my	0
own	own	d	own	own	0
part	part	n1	part	part	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wanted	wanted	vvd	wanted	want	0
not	not	xx	not	not	0
a	a	dt	a	a	0
